id,w_ses
06069,1.1517
06071,0.3418
06073,1.4006
06075,1.8160
06077,0.3967
06079,1.0792
06081,2.2769
06083,1.0388
06085,2.0038
06087,1.4648
06089,-0.5451
06091,0.0450
06093,-0.5994
06095,1.0128
06097,1.0681
06099,-0.0187
06101,0.0251
06103,-0.8545
06105,-0.7695
06107,0.0711
06109,-0.2650
06111,1.6049
06113,1.3562
06115,-1.2426
08001,0.9067
08003,-0.2586
08005,1.4139
08007,0.1125
08009,0.2630
08011,-1.1327
08013,1.8881
08015,0.2252
08017,1.4785
08019,0.6391
08021,1.0514
08023,0.3340
08025,0.1341
08027,-0.2992
08029,0.2640
08031,1.2256
08033,-0.6350
08035,2.3506
08037,2.2469
08039,1.3357
08041,1.0311
08043,-0.0374
08045,1.3470
08047,1.7237
08049,1.1719
08051,2.0819
08055,-1.4606
08057,-0.3778
08059,1.4369
08061,-0.1519
08063,0.5362
08065,1.2525
08067,1.3441
08069,1.2492
08071,0.7937
08073,0.5224
08075,0.3960
08077,0.8350
08081,0.2292
08083,0.3024
08085,0.4448
08087,0.7780
08089,0.3900
08091,1.4089
08093,1.1583
08095,1.3707
08097,2.9547
08099,0.6542
08101,-0.1821
08103,1.3360
08105,-0.1448
08107,1.4936
08109,0.5164
08113,2.0959
08115,0.1852
08117,2.1955
08119,0.3937
08121,1.0271
08123,1.0469
08125,1.5667
09001,2.2500
09003,1.5431
09005,1.3356
09007,1.6618
09009,1.2390
09011,1.1991
09013,1.7051
09015,0.5285
10001,0.5696
10003,1.2985
10005,0.2559
11001,3.0031
12001,0.8126
12003,-0.1837
12005,0.0944
12007,-0.7950
12009,0.4889
12011,0.9556
12013,-1.4929
12015,-0.2753
12017,-0.9173
12019,0.4726
12021,1.1146
12023,-0.6310
12027,-0.5111
12029,-0.5368
12031,0.4453
12033,0.0187
12035,0.1441
12037,-1.2302
12039,0.0629
12041,-0.9978
12043,-0.7393
12045,-0.6739
12047,-1.1164
12049,0.0054
12051,-0.4309
12053,-0.4628
12055,-0.2557
12057,0.7571
12059,-0.4701
12061,0.0301
12063,0.4169
12065,0.2655
12067,0.5964
12069,0.2413
12071,0.5075
12073,1.3245
12075,-1.2051
12077,-0.1123
12079,-0.0383
12081,0.5806
12083,-0.3185
12085,0.7169
12086,1.1161
12087,1.2341
12089,0.3083
12091,0.5458
12093,-0.5638
12095,0.9828
12097,0.0990
12099,0.9042
12101,-0.2149
12103,0.3250
12105,0.0031
12107,-0.9277
12109,1.2367
12111,-0.1248
12113,0.0734
12115,0.2681
12117,1.1344
12119,-0.3450
12121,-0.7431
12123,-0.5302
12125,-0.0805
12127,0.3289
12129,0.2779
12131,-0.5560
12133,-0.4712
13001,-0.2911
13003,-0.8344
13005,0.0504
13007,-0.2744
13009,0.2129
13011,-0.1852
13013,0.0634
13015,0.1876
13017,-1.4729
13019,-0.7728
13021,0.8815
13023,0.3925
13025,-0.9591
13027,0.9033
13029,0.7217
13031,0.5746
13033,0.2143
13035,0.9369
13037,0.7075
13039,0.3811
13043,-2.1184
13045,0.1504
13047,0.0153
13049,0.0284
13051,0.9937
13053,-2.4709
13055,-0.6269
13057,1.3537
13059,1.0952
13061,1.6366
13063,-0.8239
13065,0.4167
13067,1.8586
13069,-0.5443
13071,-0.2725
13073,1.2404
13075,-0.0361
13077,1.1847
13079,-0.8714
13081,-0.8078
13083,-0.6283
13085,-0.2799
13087,-0.1449
13089,1.8970
13091,0.2025
13093,-0.4443
13095,0.1011
13097,0.3804
13099,0.7550
13101,0.1168
13103,0.6690
13105,-1.5558
13107,-0.1768
13109,-0.1530
13111,-1.1210
13113,1.9639
13115,-0.1894
13117,1.8526
13119,-0.0557
13121,2.6488
13123,-0.3794
13125,-0.2638
13127,0.9349
13129,-0.0429
13131,0.2380
13133,0.2209
13135,1.3946
13137,-0.1047
13139,0.7823
13141,-0.6643
13143,-1.2893
13145,1.1169
13147,0.2414
13149,-1.6077
13151,1.0474
13153,0.7621
13155,-0.8790
13157,0.1163
13159,-1.6139
13161,-0.0673
13163,-0.1210
13165,0.1775
13167,0.4532
13169,-0.0389
13171,-1.3340
13173,-0.1545
13175,0.5739
13177,0.9320
13179,0.3128
13181,-1.0925
13183,-0.2207
13185,0.4687
13187,-0.0766
13189,-0.3205
13191,-1.0009
13193,-0.6525
13195,-0.4319
13197,-1.3450
13199,-0.3846
13201,-0.2247
13205,0.2022
13207,0.6753
13209,0.6690
13211,0.4430
13213,-0.5162
13215,0.3900
13217,0.3661
13219,1.5811
13221,-0.3103
13223,0.6453
13225,-1.0793
13227,-0.2243
13229,0.3603
13231,0.5699
13233,-0.6743
13235,-0.0933
13237,0.2270
13239,-0.5073
13241,-0.3820
13243,1.0355
13245,-0.6760
13247,0.4533
13249,-0.1121
13251,-0.0696
13253,-0.7044
13255,0.1179
13257,-0.8100
13259,1.8443
13261,0.3976
13263,0.3162
13267,-0.7783
13269,-0.5760
