id,all_grd
010039000115,-9999.0000
010039000119,0.7540
010039000127,0.8464
010039000128,-9999.0000
010039000130,-9999.0000
010039000133,0.9747
010039000136,0.3178
010039000137,-9999.0000
010039000139,0.5629
010039000140,1.0886
010039000142,0.8064
010039000143,-9999.0000
010039000145,-9999.0000
010039000149,-9999.0000
010039000150,0.8411
010039000156,0.8590
010039000158,-9999.0000
010039000159,-9999.0000
010039000161,-9999.0000
010039000170,-9999.0000
010039000173,-9999.0000
010039000174,1.1210
010039000175,1.0269
010039000179,0.8639
010039000184,0.6608
010039000187,0.6644
010039000190,0.6143
010039000191,0.6282
010039000195,0.9160
010039000196,0.5201
010039000197,-9999.0000
010039000200,-9999.0000
010039000201,0.9714
010039001421,0.6247
010039001446,0.6767
010039001484,0.6223
010039001645,-9999.0000
010039001647,-9999.0000
010039001649,0.6716
010039001717,-9999.0000
010039001744,-9999.0000
010039001745,-9999.0000
010039001762,0.8787
010039001823,0.8201
010039001878,1.1390
010039002185,-9999.0000
010039002187,-9999.0000
010039002204,-9999.0000
010039002206,0.8219
010039002354,-9999.0000
010042000101,-9999.0000
010042000203,0.8077
010042000205,0.8238
010042000206,-9999.0000
010042000208,-9999.0000
010042000209,-9999.0000
010042000210,-9999.0000
010042000211,1.0904
010042000213,-9999.0000
010042000676,-9999.0000
010042001427,1.2619
010042001476,0.8465
010042001481,0.8332
010042001870,1.1439
010045000214,-9999.0000
010045000215,0.9870
010048000218,-9999.0000
010048000220,-9999.0000
010048000221,0.6601
010048000222,-9999.0000
010051000225,-9999.0000
010051000228,0.7713
010051000229,0.6034
010051000230,-9999.0000
010051001482,-9999.0000
010051002144,0.8881
010054000232,0.8474
010054000240,-9999.0000
010054000242,-9999.0000
010054000243,-9999.0000
010054000244,0.9038
010054000246,0.7747
010054000247,-9999.0000
010054000249,0.8473
010054001428,1.0037
010054001429,0.6979
010054001430,-9999.0000
010054001488,-9999.0000
010054001489,-9999.0000
010054001747,0.8531
010054001884,1.0233
010060000256,0.9858
010060000257,0.5685
010060000259,1.0188
010060000260,0.9183
010060000264,0.9591
010060000268,0.9301
010060000269,1.1779
010060000272,0.8767
010063000274,0.9979
010063000275,-9999.0000
010063000276,0.7584
010063000279,0.6717
010063000282,1.1320
010063000283,0.9927
010066000261,0.8044
010066000262,-9999.0000
010066000265,0.9769
010066000270,0.7767
010066000287,0.8839
010066000288,0.7109
010066000745,0.8210
010066001431,0.8375
010066001657,-9999.0000
010069000182,0.7392
010069000291,-9999.0000
010069000297,-9999.0000
010069001561,0.7093
010072000300,-9999.0000
010072000302,-9999.0000
010072000304,0.7832
010072000306,0.9542
010072001450,0.9161
010075000307,1.1069
010075000311,-9999.0000
010075000312,0.9828
010075000313,-9999.0000
010075002205,-9999.0000
010078000317,-9999.0000
010078000318,-9999.0000
010078000319,1.0251
010078000320,0.7498
010078000321,0.8763
010078001671,0.9271
010078001726,-9999.0000
010081000323,0.7799
010081000327,0.8885
010081001494,-9999.0000
010081001748,0.8731
010084000331,0.9479
010084000333,-9999.0000
010084000334,-9999.0000
010084000335,-9999.0000
010084000336,0.9858
010084000338,1.1062
010084000341,0.9626
010084001658,0.8090
010087000344,0.7608
010087000345,0.8244
010087000347,0.8110
010087000348,0.5030
010087000350,0.8579
010090002074,-9999.0000
010090002075,1.2719
010093000026,-9999.0000
010093000280,0.9407
010093000359,0.7286
010093000360,-9999.0000
010093000361,0.6521
010093000362,0.8827
010093000364,0.6509
010093001672,1.1017
010093002167,1.0296
010096000365,0.9297
010096000367,0.7632
010096000368,0.9860
010099000369,-9999.0000
010099000371,0.8607
010099000372,0.9544
010102000373,0.9743
010102000374,-9999.0000
010102000375,0.8018
010102000378,-9999.0000
010102000386,-9999.0000
010102000396,0.9878
010102000400,1.1320
010102000403,0.8394
010102000413,1.1025
010102000414,0.8767
010102000420,1.0792
010102000440,0.5924
010102000446,0.6128
010102000453,1.1501
010102000458,-9999.0000
010102000459,0.8884
010102001497,1.2643
010102001676,0.7887
010102001679,-9999.0000
010102002132,0.7215
010105000281,1.3160
010105000388,1.0917
010105000390,-9999.0000
010105000391,-9999.0000
010105000392,0.9725
010105000393,1.0980
010108000394,-9999.0000
010108001614,-9999.0000
010108001767,0.9033
010111000395,0.9106
010111000398,1.0627
010111000401,0.8473
010111000402,-9999.0000
010111000404,-9999.0000
010111000405,1.2650
010111000408,-9999.0000
010111000409,0.9314
010111000814,-9999.0000
010111001785,0.3318
010114000411,0.9051
010114000412,0.7237
010114000415,0.7069
010114000416,0.7021
010114000418,1.0849
010114000419,0.8109
010114000421,1.0909
010114000422,0.8174
010114000423,1.0761
010114000424,1.0522
010114000425,1.0861
010114001860,-9999.0000
010114002357,-9999.0000
010117000081,1.0430
010117000427,0.8384
010117000428,1.0346
010117000430,-9999.0000
010117000431,1.0382
010117000432,0.7630
010117000433,0.7071
010117000434,0.6674
010117000435,0.8739
010117000436,0.9395
010117000438,0.8800
010117001615,1.1678
010117001728,0.8931
010117001786,0.7604
010120000439,0.9877
010120000441,1.0906
010123000443,0.9949
010123000444,0.8436
010123000447,0.6834
010123000448,0.9369
010123000449,0.6397
010123000450,1.2920
010123000452,0.7808
010123000454,0.6908
010123000456,0.8343
010123001447,0.9190
010123001448,1.0751
010123001449,0.7941
010123001499,1.2564
010123001500,0.8523
010123001817,0.8428
010126000460,1.0871
010126000461,-9999.0000
010129000102,1.0088
010129000467,-9999.0000
010129000470,-9999.0000
010129001432,0.9921
010129001451,0.9843
010129001660,0.9866
010129001768,-9999.0000
010129001769,-9999.0000
010129001770,-9999.0000
010129002142,0.8692
010129002147,-9999.0000
010132000473,1.1562
010132000474,-9999.0000
010132000475,-9999.0000
010132000477,-9999.0000
010132000478,1.1522
010132000479,0.9705
010132000480,0.9363
010132000481,0.8908
010132001719,1.1087
010135000482,-9999.0000
010135000485,0.5853
010135000487,-9999.0000
