id,all_avg
010183001674,4.3944
010186000672,4.2076
010186000673,6.9886
010189000674,6.6135
010189000675,5.4052
010189000677,4.0320
010189000679,2.7452
010192000472,4.2891
010192000483,3.3420
010192000681,3.0209
010192000684,5.5444
010192000687,4.8000
010192000689,6.5352
010192000691,3.4701
010192000692,3.1312
010192000695,3.3574
010192000696,4.1009
010192000697,3.7044
010192000698,5.6748
010192000699,3.2767
010192000701,2.1920
010192000702,4.7580
010192000703,3.5997
010192000704,5.3299
010192000705,4.3913
010192000710,2.6476
010192000715,2.7466
010192000716,3.2738
010192000718,2.9416
010192000720,4.4495
010192000724,2.9750
010192000725,-9999.0000
010192000727,2.4798
010192000729,4.2415
010192000730,3.5099
010192000732,5.5469
010192000735,5.5586
010192000736,3.8653
010192000737,-9999.0000
010192000740,5.0911
010192000749,3.7838
010192000750,5.1124
010192001453,3.4713
010192001542,3.3500
010192001543,5.6076
010192001680,3.0406
010192002079,6.9345
010192002080,3.4288
010192002117,5.5410
010192002166,5.1212
010192002169,5.6743
010192002174,5.9048
010192002182,4.1850
010195000756,4.3677
010195000757,-9999.0000
010195001511,4.5127
010195001720,4.6681
010198000760,5.0337
010198001544,2.2742
010201000763,4.6399
010201000764,5.7492
010201000765,4.9962
010201000766,4.0477
010201000767,5.5074
010201000769,6.4538
010201000770,5.2841
010201000772,5.5760
010201000773,5.1155
010201000774,4.1586
010201000775,4.9617
010201001545,4.8953
010204000776,3.4642
010204000778,5.1808
010204000779,5.3643
010204000780,6.4616
010204000781,4.3841
010204000782,-9999.0000
010204000783,-9999.0000
010204000785,3.6161
010204000786,5.1696
010204000787,4.9332
010204000788,4.3910
010204001410,3.2600
010207000284,3.4266
010207000285,3.7582
010207000290,2.8380
010207000296,3.9058
010207000486,4.3112
010207000791,6.5807
010207000792,5.4961
010207000793,5.6173
010207000794,4.2292
010207000796,6.0999
010207002188,4.6613
010210000797,6.0845
010210000799,4.3960
010210000800,4.3621
010210000802,3.5033
010210000805,3.4021
010210000806,3.5285
010210000807,-9999.0000
010210000808,4.1657
010210000810,4.3947
010210001454,3.5104
010210001549,4.6117
010210002081,3.5427
010210002164,3.4116
010213000811,4.1713
010213000812,2.3543
010216000816,1.9910
010216000821,2.4466
010216001635,1.5705
010216001636,4.3480
010216001637,4.3000
010219000824,2.7511
010219000826,4.4825
010219000827,3.1641
010219000829,2.9123
010219001863,-9999.0000
010222000030,3.9573
010222000310,-9999.0000
010222000560,7.6700
010222000566,5.4625
010222000835,3.9465
010222000837,5.2048
010222000838,4.0497
010222000842,5.1162
010222000844,6.1231
010222000846,5.1014
010222000850,5.0698
010222001411,7.0597
010222001412,6.6475
010222001433,4.5511
010222001513,4.4982
010222001684,5.8252
010222001731,4.3860
010222001820,5.4516
010222002082,4.3494
010222002163,7.5395
010222002178,5.2814
010222002376,-9999.0000
010225000852,2.9073
010225000854,3.1152
010225000856,2.4312
010225000857,5.5545
010231000861,3.8262
010231000862,6.2552
010231000863,6.9189
010231000865,4.8541
010231000866,4.6694
010231000867,6.0282
010231000869,6.2905
010231001455,4.3743
010231001552,3.6053
010231002160,3.8181
010235000890,1.2351
010235000892,3.8642
010237000572,4.5607
010237000895,5.4135
010237000896,4.3479
010237000897,3.9332
010237000901,3.7523
010237000902,3.2100
010237000904,4.5860
010237000905,4.8496
010237000907,5.7529
010237000910,3.6796
010237000911,5.2174
010237000913,4.4993
010237000914,4.0299
010237000915,3.8757
010237000916,6.0152
010237000918,3.7857
010237000919,3.0371
010237000920,3.3908
010237000921,-9999.0000
010237000922,2.4761
010237000924,3.8097
010237000925,1.8771
010237000926,-9999.0000
010237000927,4.0322
010237000928,3.5864
010237000930,2.8687
010237000931,7.5602
010237000932,2.3129
010237000935,2.7826
010237000936,2.7848
010237000937,2.3336
010237000938,5.9560
010237000939,3.9447
010237000940,3.2271
010237000943,4.8697
010237000944,2.9637
010237000946,4.3914
010237000947,9.0556
010237000949,2.9466
010237000954,3.8427
010237000955,5.8541
010237000956,3.6140
010237000960,4.1891
010237000961,5.4653
010237000963,3.9233
010237000965,4.9220
010237000966,2.3580
010237000968,2.4378
010237000970,3.7879
010237000971,-9999.0000
010237000990,5.4051
010237000992,5.4586
010237001028,2.5628
010237001030,2.3869
010237001038,3.4637
010237001414,5.1635
010237001415,4.2010
010237001435,6.5611
010237001436,5.3568
010237001437,3.9715
010237001438,5.5941
010237001516,4.1626
010237001518,-9999.0000
010237001556,5.6195
010237001559,4.8115
010237001560,4.4380
010237001595,3.2458
010237001605,0.0249
010237001609,4.1054
010237001617,3.2405
010237001618,2.6696
010237001619,4.2915
010237001620,4.2340
010237001686,1.8004
010237001687,2.8984
010237001689,0.7108
010237001732,4.1476
010237001775,2.8068
010237001813,4.3280
010237002083,4.1324
010237002136,4.1711
010237002168,5.3898
010237002202,-9999.0000
010237002208,5.5493
010240000972,3.5930
010240000975,4.3246
010240000976,-9999.0000
010240000979,3.9787
010240000980,4.1618
010240000981,4.1790
010240000982,4.9759
010240000983,3.5039
010240001562,1.8778
010243000512,1.9689
010243000991,6.0257
010243000993,2.8000
010243000995,3.4024
010243000996,2.9600
010243000998,4.2630
010243001001,2.5831
010243001004,3.5325
010243001006,4.2005
010243001007,2.2812
010243001008,2.6181
010243001009,2.5404
010243001010,3.3422
010243001011,1.3436
010243001012,3.5394
010243001013,8.1225
010243001014,7.5067
010243001016,4.2757
010243001017,4.2956
