id,all_coh
010054000249,-0.0812
010054001428,0.0521
010054001429,-0.0060
010054001430,0.0016
010054001488,-0.0331
010054001489,0.0140
010054001747,0.0047
010054001884,0.1592
010060000256,0.1647
010060000257,0.0878
010060000259,0.1439
010060000260,0.0386
010060000264,-0.0416
010060000268,-0.0307
010060000269,0.1602
010060000272,0.0713
010063000274,0.0298
010063000275,0.0887
010063000276,0.0786
010063000279,0.0434
010063000282,0.0955
010063000283,0.0568
010066000261,0.0035
010066000262,-9999.0000
010066000265,0.0801
010066000270,0.1281
010066000287,0.0721
010066000288,-0.0968
010066000745,0.0822
010066001431,-0.0707
010066001657,-0.1050
010069000182,-0.2463
010069000291,-0.1272
010069000297,-0.0632
010069001561,-0.0713
010072000300,-9999.0000
010072000302,0.0157
010072000304,0.0336
010072000306,0.0274
010072001450,0.0439
010075000307,0.1062
010075000311,-9999.0000
010075000312,0.1063
010075000313,-9999.0000
010075002205,-9999.0000
010078000317,0.1081
010078000318,0.0187
010078000319,-0.0668
010078000320,-0.0129
010078000321,-0.0082
010078001671,0.0203
010078001726,-0.0277
010081000323,-0.0106
010081000327,0.0124
010081001494,0.0332
010081001748,0.0135
010084000331,-0.0454
010084000333,-0.0517
010084000334,-0.1333
010084000335,-0.0911
010084000336,-0.0583
010084000338,-0.0328
010084000341,0.0243
010084001658,-0.0726
010087000344,0.0232
010087000345,-0.0535
010087000347,-0.0028
010087000348,-0.0675
010087000350,-0.0003
010090002074,-0.0237
010090002075,0.1297
010093000026,-9999.0000
010093000280,0.0072
010093000359,0.0139
010093000360,-9999.0000
010093000361,-0.0496
010093000362,-0.0348
010093000364,-0.2176
010093001672,-0.1320
010093002167,0.0266
010096000365,0.0435
010096000367,0.0862
010096000368,0.1406
010099000369,0.0417
010099000371,-0.0870
010099000372,-0.0823
010102000373,0.0610
010102000374,-9999.0000
010102000375,-0.0316
010102000378,0.0746
010102000386,-0.0703
010102000396,-0.0420
010102000400,0.2321
010102000403,-0.0638
010102000413,0.1497
010102000414,-0.0726
010102000420,0.0314
010102000440,-0.0307
010102000446,-0.0281
010102000453,0.1589
010102000458,-9999.0000
010102000459,-0.0396
010102001497,0.1674
010102001676,-0.1352
010102001679,-0.1010
010102002132,0.0593
010105000281,0.1008
010105000388,0.1442
010105000390,0.1917
010105000391,0.0860
010105000392,0.1004
010105000393,0.1438
010108000394,-0.0091
010108001614,-9999.0000
010108001767,0.0766
010111000395,0.1905
010111000398,-9999.0000
010111000401,0.0119
010111000402,0.0762
010111000404,-9999.0000
010111000405,-9999.0000
010111000408,0.0622
010111000409,0.0992
010111000814,0.1405
010111001785,-0.0657
010114000411,-0.0435
010114000412,0.0056
010114000415,0.0166
010114000416,-0.0668
010114000418,0.1194
010114000419,-0.0166
010114000421,0.0740
010114000422,0.0549
010114000423,0.1752
010114000424,0.1631
010114000425,0.0988
010114001860,0.0558
010114002357,-9999.0000
010117000081,-0.1568
010117000427,0.0591
010117000428,0.0618
010117000430,0.0524
010117000431,0.1191
010117000432,-0.0321
010117000433,-0.1540
010117000434,-0.0372
010117000435,-0.0473
010117000436,-0.0228
010117000438,0.0341
010117001615,0.1609
010117001728,0.0409
010117001786,-0.0700
010120000439,0.0186
010120000441,0.1656
010123000443,0.0194
010123000444,-0.2090
010123000447,-0.1910
010123000448,0.0396
010123000449,-0.0494
010123000450,0.2444
010123000452,0.0878
010123000454,-0.0061
010123000456,-0.0112
010123001447,0.0752
010123001448,0.1331
010123001449,-0.0844
010123001499,0.2117
010123001500,-0.0580
010123001817,-0.0641
010126000460,0.1105
010126000461,0.1528
010129000102,0.0212
010129000467,-9999.0000
010129000470,0.0595
010129001432,0.0193
010129001451,0.0487
010129001660,-0.0211
010129001768,0.1292
010129001769,0.1263
010129001770,-9999.0000
010129002142,0.0112
010129002147,0.1042
010132000473,0.1508
010132000474,0.0146
010132000475,-0.0130
010132000477,-9999.0000
010132000478,0.0878
010132000479,-0.0006
010132000480,-0.0035
010132000481,-0.0888
010132001719,-0.0736
010135000482,0.0399
010135000485,-0.1920
010135000487,-0.0034
010135000488,-0.1047
010135000489,0.0491
010135001504,-0.0601
010135001505,-0.0303
010135001506,0.0684
010138000493,-0.0200
010138000494,-0.0069
010138000496,-0.0014
010138000497,-0.0552
010138000499,-0.0678
010138000500,-0.0404
010138000501,0.0350
010138000502,-0.0569
010138000503,0.0660
010138000505,0.0657
010138000507,-0.0715
010138000508,0.0602
010138000509,-0.0165
010138001507,-0.0190
010138001508,0.0147
010138001509,-0.0062
010141000513,0.0935
010141001510,0.1573
010144000515,0.0199
010144000516,-9999.0000
010144000517,0.0258
010144000518,-0.1383
010144000519,-0.0763
