id,np_grd
16009,0.9345
16011,0.8396
16013,1.0681
16015,1.0448
16017,1.0261
16019,1.0259
16021,0.9742
16027,0.9862
16029,1.1246
16031,0.8843
16035,0.8911
16037,0.9068
16039,1.0241
16041,1.0775
16043,0.9072
16045,1.0538
16047,0.9408
16049,1.0902
16051,0.9758
16053,0.9929
16055,1.0978
16057,1.0836
16059,1.0696
16061,1.1288
16065,0.9740
16067,1.0446
16069,1.1337
16071,1.1588
16073,0.9865
16075,0.8438
16077,0.8446
16079,0.9875
16081,0.9816
16083,1.0199
16085,1.0838
16087,0.8885
17001,0.9010
17005,1.1133
17007,0.9269
17009,0.8824
17011,0.8844
17015,0.8148
17017,0.8952
17019,0.8820
17021,0.9216
17023,0.9183
17025,0.7800
17027,0.9460
17029,0.9586
17031,1.0399
17033,1.0370
17035,0.8117
17037,0.9596
17039,0.7728
17041,0.8453
17043,1.0268
17045,0.9745
17047,0.9849
17049,0.9617
17051,0.8390
17053,1.1203
17055,0.8378
17057,0.8864
17059,1.0799
17061,0.9736
17063,0.9318
17065,0.9784
17067,0.8921
17071,0.8539
17073,0.9562
17075,0.9408
17077,0.8925
17079,0.9241
17081,0.9676
17083,0.8668
17085,0.9941
17087,0.9673
17089,1.0184
17091,0.9379
17093,0.9337
17095,0.8069
17097,0.9747
17099,0.9303
17101,0.8685
17103,0.9260
17105,0.9282
17107,0.9475
17109,0.9272
17111,1.0725
17113,0.8749
17115,0.8173
17117,0.9521
17119,0.9092
17121,0.9523
17123,0.8331
17125,0.8935
17127,0.8900
17129,0.7644
17131,0.9477
17133,1.0324
17135,1.0353
17137,0.8131
17139,0.8560
17141,0.9006
17143,0.8898
17145,0.9336
17147,0.9486
17149,0.9454
17155,0.5208
17157,0.9306
17159,0.8435
17161,0.8041
17163,0.9828
17165,0.8608
17167,0.8588
17169,0.8118
17171,0.8893
17173,0.9669
17175,0.9596
17177,0.8096
17179,0.8907
17181,1.0481
17183,0.8930
17185,0.9758
17187,0.9470
17189,0.9636
17191,0.8793
17193,0.9216
17195,0.9738
17197,1.0719
17199,0.8760
17201,0.9048
17203,0.9182
18001,1.0314
18003,0.9730
18005,1.1031
18007,0.9160
18009,1.1160
18011,1.0299
18013,0.9784
18015,0.8654
18017,0.9704
18019,0.9772
18021,0.9243
18023,0.9383
18025,1.0493
18027,1.0272
18029,0.9746
18031,0.9040
18033,0.9928
18035,1.0405
18037,1.1155
18039,1.1178
18041,1.0889
18043,1.0869
18045,1.0160
18047,1.0374
18049,0.9320
18051,0.9918
18053,0.9812
18055,1.0272
18057,1.0539
18059,1.0336
18061,1.0136
18063,1.0572
18065,0.9906
18067,0.9605
18069,1.0989
18071,0.9304
18073,0.9621
18075,1.1047
18077,0.8802
18079,0.9316
18081,1.0423
18083,0.9341
18085,0.9679
18087,1.0377
18089,0.9557
18091,0.9337
18093,0.9110
18095,0.9465
18097,0.9572
18099,1.0066
18101,0.9603
18103,1.0181
18105,1.1408
18107,0.9817
18109,0.9687
18111,0.9097
18113,0.9714
18115,0.8646
18117,0.8825
18119,1.0871
18121,0.8044
18123,1.0544
18125,0.8818
18127,0.9207
18129,1.0365
18131,0.8937
18133,1.0075
18135,1.0150
18137,1.0135
18139,1.0360
18141,1.0854
18143,1.0535
18145,1.0536
18147,1.0012
18149,0.9492
18151,1.0067
18153,1.0636
18155,0.9630
18157,0.9962
18159,0.8518
18161,1.0764
18163,1.0167
18165,1.1272
18167,0.9446
18169,0.8867
18171,1.1098
18173,1.0756
18175,0.9645
18177,0.9997
18179,0.9400
18181,0.9904
18183,0.9765
19001,1.0021
19005,0.9552
19007,0.9611
19009,1.0978
19011,1.0626
19013,1.0284
19015,0.9165
19017,1.0290
19019,1.0311
19021,0.9337
19023,0.9039
19025,0.9929
19027,1.0976
19029,1.1261
19031,0.9576
19033,1.0287
19035,1.0345
19037,0.9801
19039,1.0430
19041,1.0350
19043,0.9744
19045,0.8857
19047,0.9961
19049,1.0475
19051,0.9791
19053,0.9621
19055,0.9344
19057,0.8909
19059,0.9071
19061,0.9677
19063,0.8914
19065,0.9181
19067,0.9563
19069,0.9049
19071,0.9686
19073,0.9376
19075,1.0778
19077,1.0399
19079,1.0050
19081,1.0397
19083,1.0175
19085,0.8841
19087,0.9801
19089,1.0207
19091,0.9878
19095,0.9433
19097,0.9381
19099,1.0221
19101,0.8977
19103,1.1122
19105,0.9432
19107,1.0873
19109,0.9538
19111,0.8866
19113,0.9898
19115,0.9057
19117,0.8373
19119,0.8615
19121,1.1052
19123,0.8870
19125,0.9915
19127,1.0246
19129,1.0263
19131,0.9527
19133,0.9366
19135,1.0542
19137,0.9382
19139,0.8188
19141,1.0047
19143,1.0545
19145,1.0703
19147,0.8843
19149,1.1002
19151,1.0992
19153,1.0735
19155,0.9459
19157,0.9930
19159,0.9569
19161,1.0527
19163,0.9644
19165,1.0515
19167,1.0069
19169,1.0736
19171,0.9561
19173,1.0109
19175,1.0143
19177,0.8308
19179,1.0293
19181,1.1593
19183,1.0171
19185,0.9618
19187,0.8591
19189,0.8977
19191,1.1412
19193,0.9862
19195,1.0425
19197,1.0019
20001,0.9092
20003,0.8594
20005,1.0410
20007,0.8661
20009,0.9587
20011,1.0399
20013,1.1241
20015,1.0039
20021,0.7772
20027,0.7790
20029,0.8115
20031,1.0530
20035,1.0583
20037,0.9130
20041,0.9144
20043,0.9343
20045,1.0054
20051,0.9411
20053,0.7105
20055,0.8871
20057,0.7611
20059,0.9617
20061,0.7241
20063,0.9513
20067,0.9694
20069,1.0013
20073,0.7586
20077,0.9074
20079,0.8474
20085,0.9822
20087,0.9259
20091,1.0392
20093,1.0794
20095,0.9865
20099,0.9488
20103,0.9803
20107,0.9421
20111,0.9718
20113,0.8006
20115,0.9280
20117,0.8781
20121,1.0525
20123,1.0069
20125,0.9602
20127,1.0585
20129,0.8788
20131,1.0035
20133,1.0345
20137,0.8001
20139,0.9335
20143,0.8627
20145,0.8050
20147,0.7332
20149,0.8198
20151,0.7062
20155,0.8804
20157,0.9654
20159,0.9119
20161,1.1106
20163,0.8329
20167,0.7421
20169,0.9654
20171,1.0200
20173,0.9543
20175,0.8093
20177,0.9768
20181,1.0846
20183,0.9251
20185,0.8353
20189,0.6830
20191,0.9715
20193,0.9871
20195,1.1745
20197,0.9281
20201,0.7940
20205,0.8465
20209,0.7604
21001,0.8849
21003,1.0196
21005,0.9209
21007,1.0279
