id,b_ses
13271,-2.7595
13273,-6.9862
13275,-4.0271
13277,-4.8022
13279,-3.2257
13281,-12.4408
13283,-4.1366
13285,-4.0135
13287,-5.1703
13289,-2.6775
13293,-3.7676
13295,-3.7584
13297,-2.9667
13299,-4.2197
13301,-3.1164
13303,-3.8046
13305,-3.8161
13309,-3.4295
13311,-0.1503
13313,-2.2952
13315,-5.6489
13317,-4.5835
13319,-2.4309
13321,-4.5158
15003,0.7154
16001,-1.3443
16005,-2.9190
16007,3.6762
16009,2.5063
16011,1.9272
16013,-7.3041
16017,-1.6417
16019,-6.2001
16027,-2.4339
16031,-1.0392
16035,1.9214
16039,1.6119
16041,1.9214
16051,2.8785
16055,0.9814
16057,-1.6398
16065,-0.3013
16069,3.5709
16077,-4.6171
16083,-4.3031
17001,-6.3076
17003,-4.4530
17005,-4.3441
17007,-1.5459
17011,-2.3775
17017,-4.0853
17019,-4.7108
17021,-5.2931
17023,-15.4248
17025,1.7882
17027,-4.7061
17029,-5.9021
17031,-3.4702
17033,-6.7710
17037,-4.5558
17039,-9.4247
17043,-2.2601
17045,1.0467
17047,-1.4733
17051,1.9214
17053,-0.7018
17055,-8.3069
17057,-4.9482
17063,1.6321
17065,-4.6884
17067,-12.2637
17073,-3.5677
17075,-9.5285
17077,-4.5354
17081,-5.6163
17083,2.2167
17085,-1.9844
17089,-3.7183
17091,-4.1932
17093,0.3436
17095,-3.0499
17097,-1.7447
17099,-7.3806
17101,-2.4851
17103,-4.9097
17107,-1.5079
17109,-5.5479
17111,0.2590
17113,-2.6177
17115,-3.9469
17117,-1.8698
17119,-3.7062
17121,-2.6630
17127,-2.6820
17129,1.9214
17131,-1.9080
17133,3.6762
17137,-7.6172
17141,-3.3560
17143,-3.9048
17145,-2.7060
17149,-1.7744
17151,-7.1272
17153,-4.1642
17155,-1.1736
17157,0.0832
17159,-0.6718
17161,-4.0888
17163,-3.7007
17165,-4.2067
17167,-4.7387
17169,-21.7907
17173,-0.1352
17177,-2.9739
17179,1.9795
17181,2.0454
17183,-6.3254
17185,2.1298
17187,-5.0539
17191,-3.1972
17195,-2.6674
17197,-1.3681
17199,-4.4908
17201,-4.9925
17203,0.4391
18001,-5.1826
18003,-3.4715
18005,0.9765
18007,1.9093
18009,1.9214
18011,-7.0084
18013,1.9214
18017,-1.5270
18019,-2.7431
18023,-0.9965
18027,1.1782
18029,-0.5054
18031,-17.5409
18033,-0.4144
18035,-5.4909
18037,-5.7644
18039,-4.1014
18041,-1.5785
18043,-3.3151
18049,0.9166
18051,-4.2788
18053,-4.1742
18055,3.0262
18057,0.7495
18059,-2.0549
18063,0.0136
18065,-1.1357
18067,-3.6074
18071,-3.6069
18073,-1.8985
18075,1.2881
18077,1.4682
18079,-0.9530
18081,-2.7037
18083,-1.6346
18085,-0.0107
18087,-2.8052
18089,-4.1091
18091,-3.8704
18093,-1.6463
18095,-3.0756
18097,-3.2626
18099,-6.2486
18103,-8.7925
18105,-3.9790
18107,1.6699
18109,1.9214
18111,1.9214
18115,-2.7084
18117,-7.8448
18119,-9.3065
18125,-4.5739
18127,-2.6011
18129,-6.2262
18133,-1.8735
18135,-5.1453
18137,2.6439
18139,-2.8555
18141,-4.0122
18143,-7.2411
18145,-2.3655
18149,0.5572
18151,-1.2358
18153,-8.9039
18157,-4.3784
18163,-4.3044
18167,-4.9265
18169,-2.7302
18175,-13.2358
18177,-3.9849
18179,0.2280
18183,-9.9627
19007,-0.5187
19011,3.3628
19013,-5.3875
19015,-8.2456
19017,1.7352
19019,-1.4773
19021,1.1866
19023,-3.1928
19031,2.5858
19033,-4.4450
19041,1.9214
19043,-3.5688
