id,m_grd
0604080,1.0284
0604110,1.0151
0604200,1.0669
0604230,0.9179
0604260,1.1388
0604290,0.8734
0604380,1.0792
0604440,0.8839
0604530,1.0983
0604620,0.9232
0604650,0.9256
0604740,1.0302
0604800,1.0218
0604830,1.0878
0605040,0.9609
0605240,0.8708
0605580,1.0415
0605610,0.8459
0605670,1.0147
0605790,0.9037
0605880,0.9933
0605910,1.0669
0606030,0.8675
0606060,1.1764
0606090,0.9006
0606270,0.9811
0606330,1.1981
0606360,0.8915
0606390,0.9467
0606450,0.9277
0606480,1.1493
0606570,0.7318
0606750,0.9486
0606780,0.9920
0606810,0.9588
0606870,1.0490
0606900,1.0324
0606990,0.8450
0607020,0.9369
0607140,0.9281
0607170,0.8378
0607200,0.8612
0607440,1.1442
0607470,1.0565
0607500,0.9583
0607530,1.0093
0607560,0.8112
0607680,0.8584
0607740,1.0090
0607800,0.8808
0607900,0.7939
0607950,0.8682
0607970,0.8256
0607980,0.9229
0608070,0.8345
0608130,0.8353
0608190,0.8913
0608250,1.0169
0608370,1.1456
0608460,0.9445
0608520,0.8671
0608580,1.2290
0608610,1.0587
0608760,1.0171
0608970,0.8596
0609030,0.9131
0609070,0.8796
0609120,0.8614
0609330,0.8242
0609390,0.8906
0609450,1.0009
0609480,1.0105
0609570,1.0031
0609620,0.6438
0609640,1.0555
0609690,0.6984
0609780,0.8089
0609850,0.9339
0609870,1.0132
0609940,0.8570
0609990,0.9718
0610050,0.9239
0610260,0.9823
0610290,1.1764
0610320,0.7603
0610350,0.7400
0610440,1.1647
0610620,1.1555
0610710,1.1304
0610740,1.1389
0610770,0.9281
0610890,0.9252
0611040,0.8283
0611110,0.8604
0611220,1.0658
0611280,1.0413
0611460,0.9442
0611490,0.8952
0611520,0.8771
0611730,0.8889
0611760,0.9261
0611850,0.8766
0611910,0.9531
0611940,1.1778
0612030,0.9468
0612090,1.1112
0612180,1.0232
0612210,1.0050
0612330,0.9654
0612630,0.7132
0612690,0.9796
0612750,1.0690
0612810,0.9548
0612840,0.9695
0612880,0.9810
0612930,0.8806
0612960,1.0060
0613080,1.0697
0613140,0.9898
0613170,0.8677
0613200,0.8868
0613290,0.9445
0613360,0.8655
0613470,0.8867
0613500,1.0594
0613800,0.8711
0613840,0.7706
0613890,0.9440
0613920,0.8142
0613980,0.8637
0614010,0.9178
0614070,0.9236
0614220,1.0708
0614250,0.9633
0614340,0.9690
0614370,1.0052
0614400,1.1429
0614550,0.8235
0614700,0.9486
0614730,0.9957
0614790,0.9186
0614880,1.0785
0614940,1.1524
0614950,0.8316
0615180,1.0253
0615240,0.9486
0615270,0.9277
0615390,1.0541
0615450,0.9565
0615510,1.0505
0615600,1.2031
0615690,0.9498
0615780,1.1264
0615840,0.9613
0616050,0.8648
0616080,0.8983
0616260,0.8842
0616300,1.0250
0616323,0.9454
0616325,0.9570
0616470,1.0477
0616570,1.0070
