id,f_avg
0506990,1.3179
0507110,-0.1741
0507140,0.1060
0507170,-0.5082
0507230,-0.7592
0507290,0.0473
0507320,-0.0472
0507350,-0.3296
0507380,1.2567
0507530,-0.5118
0507560,0.3486
0507620,0.4757
0507680,-1.2545
0507710,-0.9163
0507740,-0.2049
0507770,0.3328
0507840,-1.3591
0507860,0.1183
0507890,-0.4168
0507920,0.2577
0507990,0.0131
0508040,-0.3838
0508130,0.1511
0508240,0.3769
0508280,-0.4890
0508340,-0.6147
0508400,-0.2718
0508490,-0.1534
0508610,0.5818
0508640,-0.7847
0508670,0.9374
0508700,0.0524
0508730,0.2011
0508940,0.2051
0509000,-0.7452
0509060,-0.2521
0509150,0.4006
0509190,0.5982
0509240,-0.3498
0509270,0.6639
0509330,0.2265
0509360,-2.2421
0509390,-0.2087
0509420,-0.1962
0509480,0.6965
0509510,-1.8278
0509540,-0.4419
0509570,-1.1761
0509600,0.5327
0509630,-0.6478
0509720,0.7433
0509750,0.5162
0509780,-1.8192
0509840,0.1536
0509990,0.3601
0510080,0.5396
0510170,-0.9610
0510200,0.6500
0510260,-0.2605
0510320,-0.6247
0510380,0.0731
0510410,0.7419
0510440,0.2302
0510560,1.1246
0510620,-0.6981
0510680,-0.7787
0510950,-1.4951
0510980,0.4232
0511010,0.3301
0511070,0.2450
0511130,0.2117
0511220,0.8745
0511340,0.2900
0511370,0.2212
0511610,0.4839
0511700,1.1771
0511730,0.2209
0511760,0.6360
0511820,-0.1071
0511850,-0.3608
0511880,0.1907
0511970,0.7904
0512000,0.5143
0512060,0.4805
0512090,1.4184
0512180,-0.5064
0512210,1.2459
0512420,-0.6817
0512450,0.4428
0512480,-0.2686
0512510,-0.2196
0512520,0.1777
0512540,0.2895
0512570,-0.4280
0512630,0.8240
0512660,0.0582
0512960,-0.3009
0513080,0.1051
0513110,-0.9234
0513230,0.8355
0513350,1.0435
0513380,1.4978
0513410,-0.2364
0513530,0.8278
0513680,-0.5301
0513930,-1.3354
0514010,0.1064
0514020,-0.9838
0514040,0.5162
0514140,0.5188
0514370,-0.8048
0514400,0.4677
0514430,0.2839
0514490,0.0179
0600001,-0.3899
0600006,1.7681
0600011,-1.7308
0600013,1.1615
0600014,-1.1296
0600015,-1.1553
0600016,0.0324
0600017,-0.7124
0600019,1.6375
0600020,2.1362
0600021,1.9455
0600022,-1.4829
0600025,2.2873
0600026,-1.2792
0600027,-0.6553
0600028,0.6111
0600029,0.2439
0600032,1.2180
0600033,-2.0228
0600034,-0.4855
0600035,-2.0445
0600036,-0.5817
0600037,-0.4852
0600038,-0.6416
0600039,-0.8329
0600040,-0.8450
0600043,1.2620
0600044,-1.1862
0600045,-1.5564
0600046,-1.6467
0600047,-0.8940
0600048,-0.3748
0600049,-0.4031
0600051,-0.5372
0600052,-0.9637
0600060,-0.8263
0600061,-1.6964
0600062,-0.4675
0600063,-1.2222
0600064,-1.2690
0600065,-1.2367
0600067,-1.0669
0600068,0.2340
0600069,-0.4242
0600116,-0.8862
0600153,0.6743
0600158,-0.9763
0600159,0.0518
0600160,-0.4167
0601331,-0.3702
0601332,-1.3207
0601339,-2.1295
0601409,-0.8815
0601410,0.7716
0601415,-1.8938
0601418,-1.6500
0601420,-1.2760
0601421,-1.1409
0601423,-0.8961
0601426,0.9808
0601428,0.4331
0601620,0.5678
0601680,0.7922
0601710,-1.8167
0601770,0.8473
0601860,1.6429
0601950,-1.8858
0602100,0.0648
0602160,0.4553
0602220,-2.5855
0602310,-1.0268
0602360,-0.3429
0602430,-0.9451
0602450,-0.5872
0602610,-1.5107
0602730,-1.0523
0602760,-0.1477
0602850,-1.3099
0602970,2.6872
0603000,0.1368
0603060,-1.0089
0603090,-1.6356
0603180,-1.9093
0603270,-1.8554
0603300,-0.2158
0603420,-0.8097
0603480,-0.3582
0603600,-1.4851
0603630,-1.6963
0603690,-1.0338
0603750,-0.8834
0603840,-1.3729
0603870,-0.4925
0604020,-1.0926
0604080,-0.3879
0604110,-0.9764
0604200,-1.5337
0604230,-0.5607
0604260,-1.6399
0604290,-0.3458
0604350,-0.0363
0604380,-1.3261
0604440,-0.6945
0604530,1.8797
0604620,0.5703
0604650,0.8160
