id,pn_avg
0609850,-3.6917
0609870,-4.6222
0609940,-3.9642
0609990,-4.1332
0610050,-4.0104
0610260,-3.4358
0610290,-1.5971
0610320,-3.8148
0610380,-4.0078
0610440,-3.7855
0610620,-2.3270
0610710,-4.4931
0610740,-2.5631
0610770,-4.2823
0610890,-4.2357
0611040,-4.1929
0611110,-3.4451
0611220,-2.9677
0611280,-3.6867
0611460,-4.2896
0611490,-4.0670
0611520,-3.8491
0611730,-3.6247
0611850,-4.1146
0611910,-4.8971
0612030,-4.2025
0612090,-3.9310
0612180,-4.8037
0612210,-3.9772
0612330,-3.2288
0612630,-4.5490
0612690,-4.1228
0612750,-2.4851
0612810,-4.3129
0612840,-3.5992
0612880,-3.2479
0612930,-3.8322
0612960,-4.0938
0613080,-3.5163
0613140,-2.3227
0613170,-4.2818
0613200,-3.9490
0613290,-4.6494
0613360,-3.3264
0613470,-4.0569
0613500,-3.5802
0613800,-4.2499
0613890,-2.6570
0613920,-4.6466
0613980,-4.2228
0614010,-3.6898
0614070,-3.6174
0614160,-3.9331
0614220,-4.1407
0614250,-3.8133
0614370,-3.7390
0614400,-1.7775
0614550,-3.0689
0614700,-4.0513
0614730,-2.7029
0614790,-3.7165
0614880,-3.9079
0614940,-4.1091
0614950,-4.4666
0615180,-3.2395
0615240,-3.5315
0615270,-3.8019
0615390,-4.4856
0615450,-4.2989
0615510,-2.5364
0615600,-4.5732
0615780,-4.2914
0616050,-4.9136
0616080,-4.3572
0616300,-4.5454
0616323,-4.0709
0616325,-3.5703
0616470,-3.8247
0616570,-4.7566
0616620,-4.3844
0616650,-4.3884
0616680,-5.1111
0616740,-4.2469
0616860,-3.9371
0616920,-3.7884
0617160,-3.8742
0617220,-3.8450
0617340,-3.8647
0617430,-4.1511
0617490,-2.5475
0617850,-3.7455
0618030,-3.4530
0618210,-4.3539
0618390,-5.3033
0618730,-3.8858
0618840,-4.2374
0618870,-4.2345
0618990,-3.9190
0619140,-4.1231
0619200,-4.3347
0619260,-4.1136
0619320,-3.6605
0619440,-4.4161
0619490,-3.9357
0619590,-4.3205
0619620,-4.5737
0619680,-3.6726
0619700,-3.8021
0619770,-3.9208
0619800,-3.7400
0619950,-4.1096
0620040,-3.8028
0620070,-4.1902
0620190,-3.9461
0620250,-3.6208
0620370,-3.7222
0620460,-3.9332
0620640,-2.9632
0620670,-3.5991
0620730,-4.1904
0620790,-4.0675
0620820,-3.8421
0620850,-4.9348
0620880,-4.1183
0621000,-3.7156
0621210,-4.4949
0621330,-4.4728
0621360,-4.3018
0621420,-5.2972
0621450,-3.9105
0621690,-3.5752
0621810,-3.8277
0621930,-4.6727
0621990,-3.6564
0622050,-4.3121
0622110,-3.1706
0622170,-4.2487
0622230,-3.5445
0622410,-3.4133
0622500,-3.3662
0622560,-4.4308
0622590,-3.7891
0622650,-1.2928
0622710,-3.2770
0622740,-4.0918
0622890,-4.8626
0623010,-3.8155
0623080,-3.4306
0623160,-5.2708
0623340,-4.0994
0623430,-3.9145
0623530,-2.5122
0623610,-4.2507
0623800,-4.5043
0623940,-4.2147
0623970,-4.1408
0624000,-3.6551
0624030,-3.5863
0624090,-3.8868
0624180,-4.5118
0624300,-3.8131
0624360,-3.9509
0624500,-3.1378
0624540,-4.3660
0624570,-2.1282
0624600,-3.1948
0624720,-3.5422
0624750,-4.1563
0624870,-3.6274
0624900,-3.4816
0625130,-3.0878
0625190,-3.9268
0625230,-4.2421
0625320,-3.4896
0625470,-4.3673
0625530,-3.4873
0625690,-2.6514
0625770,-2.3980
0625800,-4.2012
0625830,-2.7644
0625860,-4.0440
0625980,-4.1690
0626040,-3.8190
0626100,-3.6098
0626190,-4.5707
0626220,-4.3881
0626280,-1.8433
0626370,-2.6855
0626400,-4.0155
0626490,-3.9091
0626640,-3.3054
0626670,-4.5512
0626760,-3.8268
0626820,-3.8342
0626910,-3.4788
0627030,-4.0725
0627060,-3.7990
0627120,-4.4356
0627180,-2.9626
0627200,-3.9851
0627240,-2.6691
0627450,-3.8007
0627480,-4.2430
0627590,-3.7820
0627690,-4.0245
