id,mf_coh
13123,-0.0033
13127,-0.0055
13129,-0.0125
13131,0.0002
13133,0.0001
13135,-0.0357
13137,0.0103
13139,-0.0090
13141,-0.0212
13143,0.0438
13145,0.0352
13147,-0.0124
13149,0.0319
13151,-0.0192
13153,-0.0154
13155,-0.0239
13157,-0.0060
13159,-0.0348
13161,-0.0169
13163,0.0048
13165,-0.0401
13167,0.0042
13169,-0.0181
13171,-0.0157
13173,0.0420
13175,-0.0161
13177,-0.0267
13179,-0.0282
13181,-0.0026
13183,0.0113
13185,-0.0160
13187,-0.0042
13189,-0.0062
13191,0.0356
13193,-0.0189
13195,-0.0080
13197,-0.0328
13199,0.0093
13201,0.0317
13205,-0.0361
13207,-0.0282
13209,0.0253
13211,-0.0004
13213,0.0005
13215,-0.0258
13217,-0.0127
13219,-0.0151
13221,-0.0208
13223,-0.0105
13225,-0.0341
13227,0.0052
13229,-0.0189
13231,-0.0121
13233,0.0029
13235,-0.0167
13237,0.0140
13241,-0.0083
13243,-0.0004
13245,-0.0048
13247,-0.0342
13249,-0.0266
13251,-0.0263
13253,0.0313
13255,-0.0092
13257,0.0143
13261,-0.0454
13267,-0.0191
13269,-0.0206
13271,0.0228
13273,-0.0505
13275,0.0186
13277,-0.0052
13279,0.0007
13281,0.0257
13283,-0.0603
13285,-0.0087
13287,0.0017
13289,0.0034
13291,-0.0257
13293,0.0103
13295,-0.0172
13297,-0.0060
13299,-0.0101
13301,-0.0227
13303,-0.0183
13305,-0.0078
13309,0.0093
13311,-0.0299
13313,-0.0144
13315,-0.0189
13317,0.0178
13319,-0.0441
13321,-0.0162
15003,0.0152
16001,-0.0447
16005,-0.0335
16007,-0.0150
16009,-0.0337
16011,-0.0544
16013,-0.0550
16015,-0.0123
16017,-0.0720
16019,-0.0321
16021,-0.0424
16027,-0.0536
16029,-0.0063
16031,-0.0333
16035,-0.0088
16039,-0.0145
16041,-0.0193
16043,-0.0463
16045,-0.0465
16047,-0.0577
16049,-0.0369
16051,-0.0719
16053,-0.0104
16055,-0.0580
16057,-0.0374
16059,-0.0468
16061,-0.0382
16063,-0.0242
16065,-0.0320
16067,0.0140
16069,-0.0361
16071,-0.0523
16073,0.0074
16075,-0.0677
16077,-0.0422
16079,-0.0544
16081,-0.0182
16083,-0.0429
16085,0.0096
16087,-0.0455
17001,-0.0365
17003,-0.0300
17005,-0.0712
17007,-0.0592
17009,-0.0324
17011,-0.0233
17015,-0.0275
17017,-0.0243
17019,-0.0749
17021,-0.0626
17023,-0.0413
17025,-0.0286
17027,-0.0414
17029,-0.0546
17031,-0.0414
17033,-0.0818
17035,-0.0763
17037,-0.0524
17039,-0.0102
17041,-0.0269
17043,-0.0508
17045,-0.0696
17047,0.0690
17049,-0.0481
17051,-0.0215
17053,-0.0434
17055,-0.0551
17057,-0.0717
17059,-0.0738
17061,-0.0494
17063,-0.0586
17065,-0.0685
17067,-0.0043
17071,0.0231
17073,-0.0056
17075,-0.0492
17077,-0.0388
17079,0.0062
17081,-0.0395
17083,-0.0228
17085,-0.0017
17087,0.0030
17089,-0.0525
17091,-0.0509
17093,-0.0492
17095,-0.0720
17097,-0.0576
17099,-0.0508
17101,-0.0251
17103,-0.0254
17105,-0.0886
17107,0.0069
17109,-0.0620
17111,-0.0665
17113,-0.0414
17115,-0.0646
17117,-0.0478
17119,-0.0609
17121,-0.0137
17123,-0.0639
17125,0.0001
17127,-0.0293
17129,-0.0066
17131,-0.0570
17133,-0.0511
17135,0.0007
17137,-0.0165
17139,-0.0328
17141,-0.0520
17143,-0.0584
17145,-0.0291
17147,-0.0751
17149,-0.0368
17155,-0.0056
17157,-0.0525
17159,-0.0026
17161,-0.0344
17163,-0.0563
17165,-0.0661
17167,-0.0261
17169,-0.0050
17171,0.0040
17173,-0.0682
17175,-0.0384
17177,-0.0299
17179,-0.0609
17181,-0.0647
17183,-0.0605
