id,wa_avg
37133,-5.8086
37135,-6.7440
37147,-6.8611
37151,-5.9380
37159,-5.2014
37167,-4.5914
37179,-6.4873
37183,-6.7052
37191,-6.2407
38017,-5.1726
38035,-4.3087
39017,-6.5027
39025,-6.4350
39035,-6.8148
39041,-6.8667
39045,-6.3195
39049,-6.4496
39057,-7.1639
39061,-6.4584
39063,-6.5726
39085,-6.7714
39093,-6.5537
39095,-7.1628
39099,-6.6588
39103,-6.5867
39109,-6.8465
39113,-7.0490
39133,-7.1130
39151,-7.3156
39153,-5.3226
39165,-7.7016
39173,-6.9333
40017,-6.2696
40027,-7.0343
40031,-5.8567
40047,-3.4255
40109,-6.2170
40119,-7.0110
40131,-5.3788
40143,-5.4375
41003,-6.7390
41005,-6.4811
41017,-6.2408
41029,-5.7839
41039,-6.2152
41043,-5.8346
41047,-4.6694
41051,-4.7939
41067,-6.6179
41071,-6.2747
42003,-6.7447
42011,-6.4034
42017,-6.6794
42019,-6.4050
42027,-7.1167
42029,-7.1457
42041,-6.6443
42043,-5.6459
42045,-6.4822
42049,-3.4073
42055,-7.0704
42069,-5.7726
42071,-5.5750
42075,-6.8583
42077,-6.8645
42079,-6.7553
42089,-6.5756
42091,-6.5593
42095,-6.6138
42101,-6.2186
42125,-7.8909
42129,-7.0637
42133,-6.4556
44001,-6.9395
44003,-6.8100
44007,-5.2402
44009,-5.7011
45007,-6.7241
45013,-6.0316
45015,-6.3909
45019,-5.7569
45035,-6.3083
45041,-6.8645
45045,-6.6675
45051,-6.3749
45063,-7.0132
45077,-7.3148
45079,-5.8565
45083,-5.5564
45091,-6.4370
46005,-1.7016
46099,-4.2182
46103,-5.3264
47001,-7.5250
47009,-6.1669
47037,-5.6352
47065,-6.3649
47093,-7.3076
47125,-6.0753
47149,-5.2729
47155,-6.2815
47157,-6.2640
47163,-7.4538
47165,-6.7554
47179,-8.1773
47187,-6.5028
47189,-6.4059
48027,-5.6847
48029,-5.7578
48039,-7.2536
48041,-6.9952
48061,-7.2480
48085,-7.0052
48091,-5.9506
48099,-5.7370
48113,-6.0203
48121,-6.4813
48135,-6.6253
48139,-5.9576
48141,-6.2041
48157,-6.5440
48167,-6.6185
48183,-6.5264
48187,-6.0196
48201,-6.2010
48209,-5.6521
48215,-7.1862
48245,-6.2427
48251,-4.9597
48257,-6.4607
48303,-6.8353
48309,-6.8831
48329,-5.0598
48339,-6.9939
48341,-0.7138
48355,-6.9556
48361,-6.1796
48375,-3.8166
48397,-6.1988
48423,-6.3825
48439,-5.9905
48441,-5.3868
48451,-6.3234
48453,-5.7354
48485,-6.6448
48491,-7.3433
49005,-4.3898
49011,-4.7831
49035,-4.7173
49045,-5.5886
49049,-4.9600
49053,-4.6708
49057,-4.9502
50007,-5.0976
51013,-4.1986
51041,-5.9382
51059,-5.7194
51085,-5.9859
51087,-6.1326
51095,-5.8701
51107,-6.0920
51121,-7.7868
51153,-5.6615
51161,-6.3104
51177,-6.0943
51179,-5.9758
51199,-6.4149
51510,-4.0085
51540,-5.8463
51550,-5.8832
51610,-5.6877
51650,-5.7599
51660,-6.3031
51683,-5.5684
51685,-5.7076
51700,-5.7908
51710,-5.7806
51770,-4.9561
51810,-5.8319
51840,-6.7103
53005,-6.2495
53011,-6.0924
53015,-5.7207
53021,-5.2011
53029,-5.4205
53033,-5.7635
53035,-5.5549
53053,-5.3201
53057,-5.6272
53061,-6.5454
53063,-4.6613
53067,-5.8296
53073,-5.4060
53075,-7.5851
53077,-6.6989
54039,-8.1103
54061,-8.1399
55009,-4.0135
55025,-4.8901
55033,-4.2054
55035,-4.2845
55039,-4.9734
55059,-6.4438
55063,-3.9756
55071,-4.3453
55073,-4.0685
55079,-4.4566
55087,-3.8593
55089,-6.1978
55097,-4.1029
55101,-5.7930
55105,-5.8357
55109,-5.0871
55117,-4.1486
55127,-5.9165
55131,-5.7317
55133,-6.2209
55139,-4.3571
55141,-4.8884
56021,-6.1440
