id,h_grd
48349,0.9637
48353,0.8467
48355,0.9051
48357,0.9119
48361,0.9917
48363,1.1015
48365,1.2155
48367,1.1122
48369,1.0524
48371,1.0030
48373,0.9231
48375,0.9977
48377,0.9233
48381,0.9741
48383,0.9754
48389,0.9631
48391,1.1329
48395,1.0401
48397,1.0713
48399,0.9013
48401,1.1001
48407,1.0104
48409,0.9973
48411,1.2225
48413,1.0142
48415,1.0192
48419,1.0627
48421,1.0276
48423,0.9756
48425,0.9306
48427,0.8481
48429,1.1491
48435,1.1180
48437,1.0094
48439,1.0196
48441,0.9837
48445,1.1758
48449,0.8620
48451,0.8970
48453,0.9718
48455,1.0374
48459,1.0902
48461,0.9450
48463,0.9220
48465,0.8998
48467,1.0553
48469,0.8469
48471,0.8959
48473,0.9105
48475,0.9667
48477,0.9126
48479,0.9988
48481,0.9231
48485,1.0103
48487,1.0311
48489,0.9463
48491,1.0667
48493,1.1791
48495,1.0623
48497,1.0300
48499,1.0313
48501,1.1711
48503,1.0397
48505,0.9783
48507,1.0525
49003,1.0511
49005,0.8482
49007,0.9266
49011,1.0556
49021,0.8214
49027,1.0880
49035,0.9779
49039,0.9951
49043,1.0439
49045,0.9975
49047,0.9174
49049,1.0460
49051,0.9695
49053,1.2018
49057,1.0183
50007,1.0337
51001,0.8806
51013,0.8366
51015,0.9717
51041,0.8244
51047,0.8893
51059,0.7804
51061,0.8498
51085,0.7524
51087,0.8049
51089,0.8313
51095,0.8457
51107,0.9832
51149,0.8181
51153,0.8559
51161,0.9687
51171,0.9603
51177,0.9157
51179,0.9622
51199,0.7904
51510,0.7949
51540,0.9152
51550,0.9254
51630,1.0130
51650,1.0302
51660,0.7347
51683,0.8260
51685,0.9345
51700,0.8554
51710,0.7992
51740,0.7876
51760,0.6311
51770,0.8541
51800,0.8107
51810,0.9988
51840,0.7881
53001,1.3134
53005,1.0200
53007,1.0317
53009,1.1658
53011,1.1750
53015,1.0188
53017,1.0217
53021,1.2021
53025,1.0751
53027,0.9700
53029,0.9604
53033,1.1019
53035,1.0548
53041,1.0453
53045,1.1511
53047,1.0029
53053,1.0979
53057,1.1714
53061,1.1605
53063,1.0482
53067,1.0538
53071,1.0727
53073,1.1198
53077,1.0817
54003,0.9355
54037,0.8254
55009,0.8641
55019,1.0000
55021,1.0103
55025,1.0259
55027,0.9118
55035,0.9955
55039,1.0478
55055,1.0172
55059,0.9713
55063,0.9268
55071,1.0595
55073,0.9512
55079,1.0210
55081,0.9493
55087,1.0607
55089,0.9776
55097,0.8816
55101,0.8150
55105,0.9525
55109,1.0568
55111,0.9574
55117,0.8713
55121,1.1183
55127,1.0387
55131,0.9745
55133,1.0286
55135,0.9705
55137,1.0583
55139,1.0225
55141,0.9110
56001,0.9835
56005,0.9430
56007,1.0631
56013,1.0054
56021,0.9256
56025,0.8192
56037,1.0136
56039,1.1582
56041,1.0068
56043,0.8837
