id,w_avg
0401650,-0.9713
0401680,-0.8449
0401710,0.3275
0401760,2.0253
0401870,1.5555
0402250,0.4759
0402320,-0.0691
0402370,-0.1735
0402400,0.8762
0402430,-0.4827
0402600,-1.1224
0402690,0.5343
0402860,0.5987
0402920,-0.5670
0403010,0.1773
0403040,1.0095
0403060,-0.2957
0403080,-0.7782
0403150,0.3948
0403400,1.1390
0403420,-1.0957
0403500,-0.7764
0403780,1.2326
0403820,0.6616
0403870,0.2944
0403990,-0.1086
0404010,-0.0050
0404230,1.6793
0404280,0.7008
0404290,0.3034
0404320,0.3200
0404380,1.0665
0404440,-0.2274
0404500,1.6905
0404570,-0.1962
0404630,0.4597
0404720,0.2545
0404770,-0.7179
0404820,-1.4768
0404970,0.9131
0405030,-1.1400
0405190,-0.3483
0405320,0.4581
0405460,-0.7736
0405640,-0.3154
0405670,-0.0690
0405820,0.3994
0405850,-0.0438
0405880,0.6194
0405930,1.1672
0405980,-0.3363
0406070,-0.2532
0406210,0.0732
0406250,0.7103
0406300,1.1710
0406440,0.1210
0406580,0.4842
0406730,0.8249
0406810,1.1267
0406850,-0.5653
0406900,-0.4387
0407080,-0.7550
0407130,-0.1600
0407170,-0.8412
0407240,0.4708
0407300,0.7593
0407570,1.6218
0407700,-0.3010
0407750,0.9530
0407820,0.4466
0408020,0.3027
0408080,0.5556
0408170,-0.7643
0408280,1.6500
0408310,0.8121
0408410,0.8458
0408490,-0.0198
0408550,-1.0692
0408600,-0.5108
0408800,0.1332
0408820,-0.4542
0408850,1.7642
0409060,-0.0659
0409190,0.0157
0409250,-0.4866
0409310,-0.7966
0409460,-0.1140
0409600,0.0507
0409733,0.6023
0500001,-0.3362
0500006,-0.2268
0500009,-0.3404
0500012,-0.3684
0500015,0.1636
0500016,-0.9557
0500017,-0.5815
0500019,0.3928
0500020,-0.6424
0500021,-0.7187
0500023,0.2307
0500028,-0.4475
0500029,0.2138
0500030,-0.0659
0500032,-0.3232
0500041,-0.6113
0500042,0.0467
0500043,0.2933
0500044,0.3758
0500045,-0.6825
0500046,-0.4186
0500047,-0.5583
0500048,-0.5854
0500049,0.5405
0500051,-0.7991
0500065,-0.5687
0500067,0.0276
0500068,0.5767
0500070,-0.7051
0500071,-0.4571
0500072,-0.9454
0500073,-0.1298
0500076,-0.8007
0500079,-0.6100
0500082,-0.5297
0500405,0.0102
0502250,-0.3700
0502280,-0.0935
0502430,0.6670
0502550,0.7942
0502580,-0.3592
0502610,0.2903
0502700,-0.4661
0502730,-0.6774
0502790,-0.4438
0502820,-0.2948
0502880,-0.1143
0502960,1.0507
0503030,0.5137
0503060,1.2568
0503090,0.6160
0503150,0.1571
0503240,0.3134
0503300,-0.7204
0503320,-0.7870
0503420,-0.7305
0503450,-0.3927
0503480,-0.5846
0503510,0.3275
0503630,0.0996
0503640,0.1675
0503690,0.9552
0503710,0.3087
0503750,0.4696
0503770,-0.3178
0503840,-0.2193
0503960,-0.2101
0504020,-0.1528
0504050,0.0256
0504080,-0.7525
0504110,0.4167
0504170,-0.6102
0504200,0.6747
0504350,-0.8372
0504370,-0.6573
0504380,0.2674
0504410,0.3112
0504560,0.1038
0504590,1.3362
0504680,0.5256
0504740,0.2152
0504800,-0.3430
0504860,0.0078
0504890,0.3004
0504930,0.0797
0504980,-1.3842
0505190,0.4379
0505340,0.0107
0505430,0.5437
0505470,-0.2926
0505500,-0.4984
0505580,-0.5575
0505680,1.0639
0505760,-0.2035
0505850,-0.4012
0505970,0.1230
0506060,-0.1471
0506090,0.7052
0506120,1.3410
0506150,-0.4646
0506210,-0.2062
0506240,-0.1097
0506270,-1.3275
0506330,0.2848
0506360,-0.3198
0506420,0.1451
0506540,0.3205
0506630,-0.0639
0506690,-0.2857
0506840,0.3233
0506870,0.0692
0506900,0.7047
0506930,-0.7307
0506990,1.0408
0507110,-0.0186
0507140,0.0346
0507170,-0.9503
0507230,-0.7740
0507290,-0.0879
0507320,-0.5275
0507350,-0.7465
0507380,0.9221
0507410,-1.3888
0507530,-0.1321
0507560,0.0764
0507620,0.0704
0507710,-0.7036
0507740,-0.8941
0507770,-0.0163
0507840,-0.8563
0507860,-0.2158
0507890,0.1478
0507920,-0.3276
0507990,-0.4590
0508040,1.1778
0508130,-0.0823
0508240,-0.1767
0508280,0.5027
0508340,-0.4181
0508400,-0.5085
0508490,-0.4881
0508610,0.3900
0508670,0.8867
0508700,-0.4225
0508730,-0.2311
0508940,-0.1690
0509000,1.5230
0509060,-0.2623
0509150,-0.1556
0509190,0.2831
0509240,-0.1442
0509270,0.4116
0509330,-0.2720
0509390,0.2227
0509420,-0.0465
0509480,0.4419
0509540,-0.8130
0509570,-1.3989
0509600,0.3005
0509630,-0.3725
0509720,0.3227
0509750,0.1691
0509840,0.4733
0509990,-0.3753
0510080,0.5311
0510170,-1.2635
0510200,0.2599
0510260,-0.7424
0510290,-1.2022
0510320,-1.1180
0510380,0.4231
0510410,0.2974
0510440,0.5732
0510560,0.7668
0510620,-0.5604
0510680,0.7739
0510920,0.1444
0510950,-0.7136
0510980,-0.0477
0511010,0.0462
0511070,-0.0788
0511130,-0.1160
0511220,0.7004
0511340,-0.1996
0511370,-0.3345
0511610,0.2185
0511700,0.9106
0511730,-0.1717
0511760,0.3026
0511820,-0.0081
0511850,0.0637
0511880,-0.4705
0511970,1.0505
0512000,0.0288
0512060,0.5470
0512090,1.0580
0512180,0.1010
0512210,1.1398
0512420,-0.6453
0512450,0.6000
0512480,-0.8766
0512510,-0.2689
0512520,0.0809
0512540,-0.0805
0512570,-0.8958
0512630,0.7104
0512660,0.8838
0512960,0.1491
0513080,-0.2280
0513110,-0.2567
0513230,0.4254
0513350,0.6017
0513380,1.3504
0513410,-0.4203
0513530,0.5864
0513560,0.2719
0513680,-0.8552
0513930,-0.9267
0514010,-0.3172
0514020,-1.3114
0514040,-0.2453
0514140,0.3225
0514370,-0.1166
0514400,-0.1221
0514430,0.4972
0514490,-0.2672
0600001,-0.1343
0600006,1.8698
0600011,-1.7249
0600013,1.0844
0600014,-0.5771
0600015,-0.9494
0600016,0.8090
0600017,-0.3270
0600019,1.2717
0600020,1.6329
0600025,2.1770
0600026,-1.2556
0600027,-0.1498
0600028,0.6882
0600029,0.4788
0600032,1.4379
0600033,-1.4603
0600034,0.1262
0600036,0.5129
0600037,-0.4206
0600038,-0.6370
0600039,-0.6656
0600040,-0.2826
0600043,1.1009
0600044,0.3971
0600045,-1.0769
0600047,-0.1732
0600048,0.3745
0600049,0.6093
0600051,-0.1661
0600052,-0.6257
0600060,-0.2245
0600061,-1.2005
0600062,-0.1296
0600063,-0.9591
0600064,-1.0533
0600065,-0.5945
0600068,0.3940
0600069,0.6601
0600116,-0.5834
0600153,0.1362
0600158,-0.2621
0600159,0.1325
0600160,-0.4499
0601331,-0.4517
0601332,-0.8695
0601409,0.2887
0601410,0.3129
0601420,-1.0435
0601620,0.5866
0601680,0.6893
0601710,-1.4099
0601770,1.4943
0601860,1.8378
0601950,-0.8068
0602100,0.2013
0602160,0.7963
0602310,0.3039
0602360,0.0911
0602430,-0.1511
0602450,-0.5996
0602610,-0.6693
0602760,-0.0151
0602850,-0.5990
0602970,1.6615
0603000,0.2271
0603060,-0.3515
0603090,-0.1974
0603180,-1.8206
0603300,0.0248
0603420,-0.2242
0603480,-0.1370
0603600,-1.0373
0603630,-0.7998
0603690,-1.0155
0603840,-1.2672
0603870,-0.1976
0604020,-0.4804
0604080,-0.1651
0604230,-0.1909
0604260,-1.7277
0604290,-0.0166
0604350,-0.4037
0604380,-0.9396
0604440,0.0404
0604530,1.5148
0604620,0.7761
0604650,1.0592
0604740,2.7850
0604800,-0.1269
0604830,1.2472
0605040,-1.7017
0605220,-0.9337
0605240,-0.7928
0605280,-0.7287
0605580,-0.7065
0605610,1.0006
0605670,1.6199
0605790,-0.0182
0605880,1.0547
0605910,0.5382
0606060,0.0061
0606090,-0.7551
0606270,0.9977
0606330,1.3786
0606360,0.1444
0606390,-0.1487
0606450,0.5256
0606480,1.8811
0606570,-0.7598
0606750,0.0051
0606780,1.1212
0606810,-0.3343
