id,b_avg
08001,-0.7976
08005,-1.0177
08013,-0.1154
08031,-1.5350
08035,-0.0545
08041,-0.4485
08059,-0.7766
08069,0.1738
08101,-1.0590
08123,-2.4555
09001,-1.4845
09003,-1.2467
09005,-0.6495
09007,-0.9933
09009,-1.5201
09011,-1.3543
09013,-0.9011
09015,-1.0072
10001,-0.7363
10003,-1.2294
10005,-1.0589
11001,-1.9483
12001,-1.7873
12003,-1.3143
12005,-1.3458
12007,-1.8115
12009,-0.9946
12011,-0.7713
12013,-1.1005
12015,-1.0855
12017,-0.8729
12019,-0.3804
12021,-1.1213
12023,-1.3010
12027,-1.9312
12031,-1.0842
12033,-1.6109
12035,-0.8755
12039,-0.9066
12045,-1.2243
12047,-2.0061
12049,-1.1165
12051,-1.4030
12053,-1.0429
12055,-1.5300
12057,-1.3239
12061,-1.4923
12063,-0.9075
12065,-1.7002
12069,-1.2928
12071,-1.1023
12073,-0.9222
12075,-1.5907
12079,-2.2036
12081,-1.7053
12083,-1.4836
12085,-1.1524
12086,-1.0502
12087,-0.8288
12089,-0.6297
12093,-1.7080
12095,-0.9660
12097,-0.8663
12099,-1.0113
12101,-1.0254
12103,-2.0073
12105,-1.4298
12107,-1.5403
12109,-0.9068
12111,-1.2893
12113,-0.3711
12115,-1.0934
12117,-0.7827
12119,-0.9160
12121,-1.7452
12123,-1.3548
12125,-0.8780
12127,-1.3891
12129,-0.6765
12131,-1.3826
12133,-1.3050
13001,-1.5583
13003,-1.2761
13005,-1.3310
13007,-2.4895
13009,-1.7047
13013,-1.2841
13015,-1.1343
13017,-1.6411
13019,-0.9733
13021,-2.0600
13023,-1.1187
13027,-1.6459
13029,-0.6599
13031,-1.4627
13033,-1.4721
13035,-1.6608
13037,-1.5170
13039,-0.8412
13043,-1.2771
13045,-1.3783
13047,-1.0726
13049,-2.1524
13051,-1.6970
13053,-1.6989
13055,-2.1903
13057,-0.2408
13059,-1.8582
13061,-1.4088
13063,-1.3672
13065,-2.0758
13067,-0.6418
13069,-1.2443
13071,-2.0201
13073,-0.4272
13075,-1.6518
13077,-1.3499
13079,-1.2963
13081,-1.3198
13087,-1.4846
13089,-1.4648
13091,-1.5391
13093,-2.1261
13095,-1.4941
13097,-0.7966
13099,-1.1843
13103,-0.8088
13105,-1.8907
13107,-2.0411
13109,-1.3097
13113,0.2734
13115,-1.3026
13117,0.6767
13119,-1.6351
13121,-1.3219
13127,-1.2613
13129,-1.4262
13131,-1.5355
13133,-1.5968
13135,-0.0276
13139,-1.6797
13141,-2.1273
13143,-1.1568
13145,-1.0320
13147,-1.4850
13149,-1.3656
13151,-0.5824
13153,-0.7946
13155,-1.6720
13157,-0.8132
13159,-1.7862
13161,-1.5011
13163,-1.6242
13165,-1.9614
13167,-1.7433
13169,-1.0838
13171,-1.6520
13173,-1.2869
13175,-1.5120
13177,-0.9074
13179,-1.0379
13181,-1.2245
13183,-1.2981
13185,-1.1370
13189,-1.5830
13191,-1.4798
13193,-2.0440
13195,-1.3438
13197,-1.4118
13199,-2.1583
13201,-1.9125
13205,-1.3955
13207,-0.9715
13209,-1.7498
13211,-1.2688
13215,-1.7610
13217,-1.1825
13219,-0.4381
13221,-1.4508
13223,-0.7475
13225,-2.2496
13229,-0.8188
13231,-1.6014
13233,-1.7700
13235,-2.0286
13237,-0.9924
13239,-2.4978
13243,-2.2035
13245,-1.9422
13247,-0.3420
13249,-0.9934
13251,-1.9905
13253,-1.7157
13255,-1.6892
13257,-1.0094
13259,-1.2854
13261,-2.0068
13263,-2.3496
13267,-1.9303
13269,-1.9884
13271,-2.0541
13273,-1.6433
13275,-1.8964
13277,-1.6607
13279,-1.9142
13283,-1.8158
13285,-1.4535
13287,-1.7083
13289,-2.0208
13293,-1.3591
13295,-1.5479
13297,-1.0331
13299,-0.8181
13301,-1.6080
13303,-1.5139
13305,-2.0566
13307,-1.5101
13309,-1.9094
13313,-1.3906
13315,-2.0997
13317,-1.3083
13319,-1.3333
13321,-1.7529
15003,-0.5956
16001,-2.0530
16027,-0.7124
17001,-2.0710
17003,-2.1391
17007,-1.2808
17019,-2.1278
17029,-2.0832
17031,-1.4515
17037,-1.8302
17043,-1.0637
17063,-0.5777
17073,-1.6639
17077,-2.1661
17081,-2.5948
17089,-1.8464
17091,-1.7922
17093,-0.6060
17095,-1.7371
17097,-1.8358
17099,-1.8807
17111,-0.6877
17113,-1.5721
17115,-2.1664
17119,-1.9540
17121,-1.4734
17137,-2.4965
17143,-2.1771
17153,-2.5527
17157,-2.0949
17161,-2.3475
17163,-1.6776
17167,-2.0350
17177,-2.3224
17179,-1.3596
17183,-2.2408
17197,-1.1506
17199,-1.6138
17201,-2.4857
18003,-1.4018
18005,-0.9585
18019,-0.9186
18035,-1.4014
18039,-1.8312
18043,-0.7701
18053,-1.5763
18057,0.2477
18059,-0.7776
18063,0.1308
18067,-1.3543
18081,-0.2828
18089,-1.2990
18091,-1.3750
18095,-1.5559
18097,-1.1963
18105,-1.0006
18127,-0.5283
18141,-1.6005
18157,-1.1743
18163,-2.2666
18167,-1.0340
18177,-1.0740
19013,-2.4231
19033,-1.3446
19045,-1.2849
19049,-0.5903
19057,-2.1139
19061,-2.5644
19103,-2.3746
19113,-1.9960
19153,-2.0854
19155,-1.3874
19163,-2.1237
19169,-1.1722
19187,-2.1107
19193,-1.6529
20045,-0.8154
20061,-0.5969
20091,-0.4160
20103,-1.4415
20125,-1.8246
20155,-0.9932
20161,-0.4809
20169,-1.0636
20173,-1.9206
20177,-1.7473
20209,-2.0191
21009,-0.8779
21015,-0.6373
21017,-1.1236
21021,-1.2134
21037,-1.8414
21047,-1.2768
21049,-1.0089
21059,-0.8538
21067,-0.9941
21073,-1.0225
21075,-1.6243
21083,-1.0878
21093,-1.2000
21101,-0.5369
21107,-0.9899
21111,-1.8090
21113,-1.2687
21117,-1.6000
21141,-1.5091
21145,-1.4978
21151,-1.0662
21155,-0.5267
21161,-1.1876
21179,-1.7623
21185,-0.9880
21209,-1.1499
21211,-1.3954
21213,-1.0986
21219,-1.7383
21225,-0.8479
21227,-1.2773
22001,-2.1261
22003,-1.1051
22005,-1.3539
22007,-1.7615
22009,-2.3913
22011,-1.5498
22013,-1.8316
22015,-1.6804
22017,-2.1174
22019,-1.5570
22021,-1.9951
22025,-1.6929
22027,-2.2641
22029,-2.3541
22031,-1.9607
22033,-1.6637
22035,-1.4910
22037,-2.1259
22039,-1.4203
22041,-2.0737
22043,-2.5775
22045,-1.4183
22047,-1.6572
22049,-2.1036
22051,-1.6927
22053,-1.4273
22055,-1.6455
22057,-2.0077
22059,-2.1833
22061,-1.7405
22063,-1.2197
22065,-2.5508
22067,-2.2214
22069,-2.1726
22071,-1.5750
22073,-1.4661
22075,-0.6205
22077,-2.1412
22079,-1.8424
22081,-2.2150
22083,-2.3277
22085,-1.9454
22087,-1.0903
22089,-0.9362
22091,-3.2296
22093,-1.3265
22095,-1.2561
22097,-1.7739
22099,-1.6644
22101,-1.3858
22103,-1.2381
22105,-2.3395
22107,-1.9318
22109,-1.6401
22111,-2.4207
22113,-1.8603
22115,-0.5185
22117,-2.1352
22119,-2.3832
22121,-1.4767
22123,-2.1108
22125,-0.7372
22127,-1.9736
23001,-2.3729
23005,-1.6514
23019,-0.2848
23031,-0.4882
24001,-0.8337
24003,-0.6912
24005,-0.7945
24009,-0.3632
24011,-0.9942
24013,-0.3618
24015,-1.4543
24017,-0.6821
24019,-2.0731
24021,-0.6307
24025,-0.6851
24027,-0.1860
24029,-2.0326
24031,-0.4811
24033,-1.0365
24035,-1.0087
24037,-1.0336
24039,-0.9848
24041,-1.8049
24043,-1.0472
24045,-1.4348
24047,-0.2632
24510,-1.8675
25001,-0.5427
25003,-0.6218
25005,-0.5196
25009,-0.2400
25013,-0.6567
25015,-0.0445
25017,-0.0950
25021,-0.1257
25023,-0.7813
25025,-0.7115
25027,-0.3167
26005,-1.1881
26017,-2.2343
26021,-2.2906
26025,-2.3024
26027,-1.8904
26045,-1.2571
26049,-2.0711
26065,-2.0810
26075,-2.1617
26077,-2.4829
26081,-2.0478
26091,-1.5077
26093,-1.3442
26099,-2.0139
26107,-1.7181
26111,-0.9070
26115,-1.9937
26121,-2.5342
26125,-1.5187
26139,-1.1524
26145,-2.4385
26147,-2.0729
26149,-1.6917
26159,-1.5878
26161,-1.5973
26163,-2.2975
27003,-0.6635
27013,-1.1411
27019,-0.6161
27027,-1.7174
27037,-0.8197
27049,-1.2803
27053,-1.7328
27067,-2.6595
27099,-1.5190
27109,-1.0538
27123,-1.7505
27131,-2.7250
27137,-1.9247
27139,-0.4791
27141,-0.3721
27145,-2.7306
27147,-1.4485
27163,0.0928
27171,-0.3318
28001,-2.1707
28003,-1.3210
28005,-2.4021
28007,-1.0251
28009,-1.9795
28011,-1.9407
28013,-1.5705
28015,-1.4125
28017,-1.8813
28019,-1.5031
28021,-1.6709
28023,-1.9280
28025,-1.5725
28027,-2.1897
28029,-2.4439
28031,-2.4778
28033,-1.0465
28035,-1.5385
28037,-1.9978
28039,-1.8690
28041,-1.9675
28043,-1.3404
28045,-1.3317
28047,-0.8894
28049,-1.4836
28051,-2.4525
28053,-2.3157
28057,-1.8017
28059,-1.6938
28061,-1.5414
28063,-2.3677
28065,-1.7751
28067,-1.7987
28069,-2.0855
28071,-1.5875
28073,-1.1108
28075,-1.9372
28077,-1.8657
28079,-2.4961
28081,-1.6813
