id,m_coh
06115,-0.0001
08001,-0.0662
08005,-0.0904
08031,0.0406
08041,-0.0628
08059,-0.0621
08069,-0.0789
08101,-0.1182
08123,-0.0322
09001,-0.0456
09003,-0.0350
09005,-0.0395
09007,-0.0098
09009,-0.0485
09011,-0.0053
09013,0.0088
09015,0.0099
10001,0.0450
10003,-0.0343
10005,-0.0548
11001,0.1620
12001,0.0463
12003,-0.0322
12005,-0.0421
12007,-0.0090
12009,-0.0442
12011,-0.0143
12013,-0.0252
12015,-0.0651
12017,0.0260
12019,-0.0115
12021,0.0589
12023,0.0501
12027,-0.1267
12029,-0.0043
12031,0.0412
12033,0.0106
12035,0.0698
12037,0.0402
12039,0.0871
12041,-0.0351
12043,-0.0490
12045,-0.0388
12047,0.0620
12049,0.0354
12051,-0.0067
12053,0.0322
12055,0.0196
12057,0.0174
12059,0.0072
12061,-0.0091
12063,0.0333
12065,0.0762
12067,0.0489
12069,-0.0094
12071,0.0015
12073,0.0458
12075,0.0077
12077,0.0669
12079,0.0578
12081,0.0281
12083,-0.0653
12085,-0.0469
12086,0.0618
12087,-0.0430
12089,0.0375
12091,-0.0259
12093,0.0076
12095,0.0307
12097,0.0377
12099,0.0057
12101,0.0195
12103,0.0123
12105,0.0138
12107,-0.0477
12109,0.0804
12111,-0.0012
12113,-0.0231
12115,0.0547
12117,-0.0276
12119,0.0506
12121,-0.0244
12123,-0.0360
12125,0.0841
12127,0.0024
12129,-0.0212
12131,0.0007
12133,0.0357
13001,-0.1111
13003,0.1125
13005,0.0586
13009,-0.0578
13011,0.0295
13013,0.0586
13015,0.0397
13017,0.1000
13019,0.1826
13021,-0.0160
13023,0.0119
13025,0.0762
13027,0.0103
13029,0.0598
13031,0.0368
13033,-0.0155
13035,-0.0216
13037,0.0190
13039,0.0092
13043,0.0373
13045,0.0616
13047,0.0678
13049,0.1080
13051,0.0295
13053,-0.0069
13055,0.0377
13057,-0.0070
13059,0.0110
13063,-0.0483
13065,-0.0259
13067,0.0310
13069,0.0630
13071,-0.0561
13073,0.0595
13075,0.0309
13077,0.0612
13079,-0.0462
13081,-0.0993
13083,0.0637
13085,0.0724
13087,-0.0055
13089,-0.0066
13091,-0.0020
13093,-0.0035
13095,-0.0260
13097,0.0656
13099,0.0262
13101,0.0439
13103,0.0636
13105,0.0290
13107,-0.0197
13109,-0.0609
13111,0.0755
13113,-0.0007
13115,-0.0562
13117,0.1012
13119,0.0179
13121,-0.0175
13123,0.0287
13125,0.1172
13127,0.0254
13129,0.0179
13131,-0.0289
13133,0.1443
13135,0.0078
13137,0.0587
13139,0.0220
13141,-0.0798
13143,0.1135
13145,0.1184
13147,0.0004
13149,0.1831
13151,0.0070
13153,-0.0389
13155,-0.0470
13157,0.0206
13159,-0.0384
13161,-0.0757
13163,-0.0795
13165,-0.0929
13167,-0.0119
13169,0.0614
13171,0.0012
13173,0.0074
13175,-0.0148
13177,0.0750
13179,-0.0205
13181,-0.0013
13183,0.0277
13185,0.0234
13187,0.1055
13189,0.0191
13191,0.0877
13193,-0.0654
13195,0.1175
13197,0.0109
13199,-0.0395
13201,0.0046
13205,-0.0301
13207,0.0210
13209,-0.0466
13211,-0.0339
13213,-0.0043
13215,0.0018
13217,0.0587
13219,0.0279
13221,0.0372
13223,0.0805
13225,-0.0015
13227,-0.0460
13229,0.0231
13231,0.0079
13233,-0.0108
13235,0.0402
13237,0.0520
13241,0.0516
13243,-0.0547
