id,wa_coh
5504830,-0.0974
5505820,-0.0608
5506540,0.0209
5507320,-0.1061
5507530,-0.0889
5508520,-0.0978
5508610,-0.0292
5509060,-0.0728
5509510,-0.1175
5509600,0.0388
5510470,-0.1198
5510830,-0.1147
5511010,-0.0176
5511190,-0.0376
5512360,-0.1502
5513170,-0.1329
5513650,-0.1057
5514490,-0.0564
5514640,-0.0774
5515330,-0.0691
5515780,-0.1073
5515900,-0.0950
5515990,-0.0237
5516260,-0.0325
5517070,-0.0624
