id,h_grd
0634680,0.8415
0634710,1.0196
0634740,1.0374
0634800,1.1150
0634880,0.9046
0634920,1.1064
0635010,1.0547
0635070,0.8636
0635090,0.9461
0635130,1.0237
0635220,0.8944
0635250,0.9190
0635310,0.8681
0635360,1.0001
0635430,0.9074
0635700,0.9410
0635730,0.9565
0635790,0.9578
0635810,1.0601
0635880,1.0165
0635970,1.1178
0636030,1.2010
0636210,1.1671
0636270,0.9932
0636330,1.0247
0636670,1.1150
0636800,0.9040
0636820,1.1215
0636840,0.8929
0636970,1.1766
0636990,1.0451
0637050,0.8807
0637110,1.0483
0637140,1.3896
0637200,1.1828
0637290,1.0948
0637380,1.3772
0637500,1.1097
0637530,1.0232
0637560,0.8836
0637620,0.9925
0637710,0.9827
0637830,1.0319
0637890,0.8207
0637950,1.0628
0638010,1.1044
0638130,0.8182
0638220,1.1571
0638340,0.9711
0638430,0.9621
0638460,1.0055
0638670,0.9581
0638700,1.0098
0638770,1.1282
0638880,1.0047
0638980,1.0433
0639000,1.1793
0639060,0.9260
0639300,1.1260
0639420,1.0213
0639630,1.1406
0639870,0.9421
0639940,1.0934
0640150,1.1024
0640300,1.0789
0640320,1.0696
0640590,1.0566
0640650,1.0412
0640740,0.8607
0640980,1.0545
0641040,0.7869
0641130,1.1001
0641160,1.1690
0641190,0.9826
0641250,1.0201
0641280,0.9579
0641400,0.9698
0641460,1.0934
0641580,0.9698
0641820,1.3838
0641880,0.8207
0642000,0.8591
0642060,1.0134
0642120,1.0586
0642140,1.0455
0642150,1.1005
0642180,1.1294
0642210,1.0066
0642330,0.9461
0642450,0.9685
0642540,0.8523
0642560,0.9615
0642710,1.0450
0642810,0.9348
0642930,0.9887
0642960,1.0694
0642990,1.0462
0643020,1.0353
0643080,1.0463
0643170,0.7210
0643200,0.9905
0643470,0.9509
0643560,1.1502
0684500,1.1239
0691012,1.1144
0691021,0.5497
0691026,0.6293
0691035,0.9762
0691045,0.8723
0691078,0.9759
0691134,0.9480
0691135,0.8477
0691136,1.3145
0801920,0.9589
0801950,0.9634
0802070,0.9033
0802340,0.9098
0802490,0.9300
0802580,0.7569
0802910,0.8872
0803060,0.8279
0803360,1.0013
0803450,1.0111
0803540,0.8861
0803780,0.9049
0803870,0.8280
0803990,0.9076
0804020,1.0523
0804050,0.9059
0804080,0.8019
0804200,0.7870
0804260,0.8640
0804350,0.9512
0804410,0.7996
0804530,0.8417
0804800,0.8585
0805310,0.9370
0805370,0.8706
0805400,0.8953
0805550,0.8595
0805790,0.9700
0806120,0.6553
0806150,0.8999
0806240,0.8055
0806480,0.9484
0806540,0.8661
0806810,1.0382
0806900,0.9230
0807230,0.8471
0900060,0.8194
0900070,1.0066
0900270,0.9310
0900420,0.8724
0900450,0.9198
0900510,1.0541
0900700,0.6763
0901020,0.8102
0901110,0.8358
0901260,0.8425
0901290,0.9606
0901470,0.8088
0901530,1.0152
0901620,1.1200
0901710,1.0380
0901770,0.9756
0901800,1.1117
0901860,0.9471
0901920,0.7980
0902310,0.7180
0902400,0.8024
0902490,0.8114
0902520,0.9349
0902640,0.9000
0902670,0.8613
0902790,0.9622
0902820,0.8459
0902850,1.0133
0902880,0.8329
0903090,0.8037
0903120,0.8599
0903300,0.8573
0903450,0.9691
0904050,1.0067
0904170,1.0041
0904230,0.9341
0904320,0.9016
0904440,0.7936
0904590,0.8391
0904620,1.0509
0904680,0.9218
0904740,0.9570
0904830,0.6353
0904920,0.9024
0904950,0.9392
0905070,1.0601
0905190,0.7857
0905220,0.9653
1000080,1.0725
1000170,1.1137
1000180,0.9278
1000190,0.8319
1000200,0.7284
1000230,0.8699
1000680,0.9239
1000790,0.9605
1001080,0.8038
1001240,0.8713
1001300,0.9312
1001530,0.9877
1001620,0.7674
1001850,0.6527
1100030,0.9599
1200090,0.8994
1200180,0.8713
1200240,0.8292
1200270,0.8506
1200300,0.8494
1200330,0.9599
1200360,0.7176
1200390,0.8243
1200420,0.6419
1200480,0.7764
1200510,0.6494
1200540,0.9418
1200600,0.7911
1200660,0.8184
1200750,0.5761
1200780,0.6538
1200810,0.8348
1200840,0.8151
1200870,0.8179
1200930,0.7652
1201050,0.8023
1201080,0.8203
1201110,0.8943
1201140,0.9007
1201230,0.8953
1201260,0.7338
1201290,0.8638
1201320,0.8037
1201350,0.8926
1201410,0.8392
1201440,0.8027
1201470,0.8168
1201500,0.8868
1201530,0.9236
1201560,0.8807
1201590,0.8075
1201620,0.7613
1201650,0.7727
1201680,0.9285
1201710,0.7998
1201740,0.9964
1201770,0.8514
1201800,0.8184
1201830,0.8272
1201920,0.7744
1201980,0.9353
1202012,0.9683
1300001,0.9156
1300060,0.9133
1300090,0.8626
1300120,0.8367
1300290,0.9263
1300330,0.8400
1300360,0.9072
1300420,0.8313
1300570,0.9389
1300600,1.0475
1300630,1.0147
1300720,0.9559
1300780,0.9524
1300810,0.9226
1300840,0.8661
1300870,0.8828
1300900,0.9370
1300930,0.9569
1301020,0.8123
1301110,1.0020
1301170,0.8839
1301230,0.9218
1301290,0.9708
1301350,0.8794
1301380,0.8310
1301410,0.9583
1301470,0.9384
1301500,0.9840
1301620,0.8543
1301710,0.7011
1301740,0.7977
1301830,0.8250
1301860,0.9499
1301950,0.9462
1301980,1.0848
1302010,0.9098
1302070,0.9705
1302130,1.0305
1302190,0.8534
1302220,1.0769
1302280,0.8651
1302310,0.8812
1302340,1.2032
1302400,0.9761
1302430,0.9678
1302460,0.8042
1302520,0.8137
1302550,0.9887
1302580,1.0324
1302610,0.9618
1302820,0.9230
1302880,0.9150
1302940,0.8979
1303000,0.9311
1303300,0.8271
1303360,0.7848
1303390,0.9568
1303420,0.9354
1303480,0.9116
1303510,0.8674
1303840,0.8521
1303870,0.9599
1303930,0.9238
1303960,0.9076
1304020,0.9610
1304050,0.9736
1304200,0.9115
1304260,0.8113
1304320,0.8516
1304380,0.9037
1304410,0.9157
1304440,1.0054
1304620,0.8494
1304770,1.0015
1304980,0.8242
1305040,0.8205
1305370,0.8726
1305390,0.9721
1305430,0.9744
1305550,0.9846
1305700,0.9389
1500030,0.9757
1600030,1.0821
1600060,0.9145
1600270,0.8020
1600300,1.1987
1600360,1.0434
1600480,1.0296
1600510,0.8518
1600600,0.9755
1600660,0.9111
1600780,1.1402
1600930,1.0268
1601020,1.0995
1601110,0.9862
1601140,0.9108
1601260,0.9671
1601470,0.9278
1601530,1.0996
1601570,0.9510
1601590,0.9568
1601770,1.1348
1601980,1.0402
1602100,1.1154
1602130,0.8251
1602190,0.9726
1602250,1.0740
1602340,0.9741
1602550,0.9042
1602580,0.8189
1602640,1.0044
1602670,0.9866
1602910,0.8923
1602940,1.2476
1602970,0.9222
1603180,0.9276
1603240,0.9281
1603270,0.8229
1603330,0.8601
1603360,0.9043
1603480,1.0179
1700010,0.8259
1700077,1.2012
1700110,0.9819
1700112,0.8588
1700119,0.9546
1700320,0.9296
1703150,1.0688
1703480,1.1907
1703840,1.0054
1703930,0.9926
1703960,1.0050
1704050,1.0502
1704140,1.1319
1704560,1.1539
1704680,1.1033
1704710,0.9358
1705050,1.0802
1705220,1.0788
1705310,1.0148
1705760,1.0076
1705790,1.0680
1705910,1.0166
1706000,0.9971
1706060,1.1674
1706090,0.9284
1706270,0.9109
1706480,0.8829
1706510,0.9910
1706750,0.8967
1706930,0.9440
1707170,1.1544
1707290,1.2923
1707320,0.7866
1707830,1.2215
1708100,1.0490
1708130,0.9575
1708550,1.1894
1708730,1.2276
1709420,0.8239
1709930,1.2125
1709960,1.0267
1709990,1.0200
1710200,1.0395
1710470,1.0877
1710650,0.9397
1711250,1.0392
1711350,1.1941
1711790,0.9589
1711850,0.8547
1712000,0.9778
1712090,0.7871
1712120,1.0007
1712210,1.0924
1712540,1.0446
1713140,1.1545
1713170,0.8552
1713710,1.0701
1713770,0.9212
1713970,1.0393
1714100,1.1813
1714460,1.2110
1714550,0.9751
1715420,0.9075
1715480,0.9239
1715780,1.0123
1715900,0.7753
1715930,1.0889
1716080,0.8079
1716290,0.8261
1716380,1.1216
1716410,1.0855
1716800,1.1802
1716920,1.0210
1716950,0.8513
1717040,0.9740
1717280,0.8252
1717520,1.1069
1717800,0.8984
1718240,1.0007
1718420,1.1624
1718450,0.9778
1718480,0.9679
1718570,1.1924
1719230,1.0274
1719290,1.0143
1719500,1.1225
1719530,1.0405
1719680,1.1834
1719830,1.1600
1720180,0.9122
1720580,1.1097
1720760,0.9230
1720880,1.1115
1721000,1.0009
1721030,1.2743
1721270,1.0361
1721420,0.8996
1721450,0.9742
1721600,1.1002
1721630,1.0205
1721870,1.0043
1721900,1.0911
1722020,0.9961
1722080,0.6213
1723460,0.9676
1723850,0.8762
1724330,0.9305
1724480,1.0125
1724720,0.9227
1724780,0.9997
1725110,1.0666
1725290,1.1632
1725620,1.1625
1725920,1.1513
1726310,0.9675
1726400,0.9102
1727540,0.9281
1727710,1.2293
1728140,1.0728
1728620,0.9170
1728700,0.9626
1728890,1.0598
1729190,1.1568
1729250,0.9765
1730220,0.8993
1730270,0.9438
1730300,0.9503
1730420,1.0534
1730840,1.0780
1731230,0.9164
1731740,1.1841
1731770,1.1413
1732370,0.9314
1732850,1.1693
1732970,1.0576
1733210,0.9312
1733390,1.0251
1733450,0.9289
1733690,0.9026
1733840,1.1663
1733870,1.1236
1733990,0.9885
1734260,0.9253
1734350,1.0309
1734410,0.9898
1734510,0.9926
1734740,1.2412
1734990,1.0297
1735370,1.0572
1735640,0.9107
1736450,1.0285
1736480,0.9882
1736750,0.9803
1736810,1.0219
1737050,0.9548
1737080,0.9881
1737170,1.0938
1737680,0.9688
1737860,0.9065
1738220,0.9735
1738460,1.0778
1739030,0.9739
1739510,1.0446
1739960,0.9447
1740070,1.1018
1740350,1.0888
1740500,1.2350
1741190,1.1053
1741250,0.9222
1741520,1.2514
1741550,1.2134
1741690,1.0771
1741790,1.0375
1742180,1.0336
1742210,1.2243
1742310,0.8400
1743020,1.0438
1743110,1.1588
1743330,1.0535
1743860,1.0085
1743960,1.0609
1800030,0.9894
1800150,1.0209
1800270,0.9682
1800360,1.1720
1800630,1.1852
1800900,1.0406
1801020,1.3066
1801200,1.0645
1801440,1.0326
1801890,0.8582
1802400,0.9426
1802460,1.1252
1802490,0.9215
1802640,0.9021
1802800,1.0016
1802850,1.1789
1802880,0.7199
1802910,0.9594
1802970,0.8879
1803270,1.1453
1803450,0.9702
1803630,0.9080
1803660,0.9681
1803750,1.1100
1803870,0.8776
1803930,1.1849
1803940,0.8973
1803960,1.0323
1804110,1.1726
1804170,0.9657
1804320,0.9581
1804560,1.0526
1804590,0.9366
1804620,0.7766
1804770,0.8742
1805280,0.9352
1805400,0.8347
1805450,0.8789
1805460,0.9375
1805520,0.9617
1805550,0.8897
1805580,0.9188
1805670,1.2317
1806030,1.0238
1806390,1.0229
1806570,0.9305
1806600,1.0769
1806840,1.0584
1807350,1.0343
1807410,0.9847
1807560,0.7919
1807650,1.0146
1808250,1.0544
1808760,1.1217
1808820,1.0391
1808910,0.9700
1809060,0.9009
1809150,0.9308
1809510,0.9930
1809690,0.9544
1810080,0.6852
1810140,1.1144
1810290,0.9557
1810650,1.1323
1810870,0.9270
1811100,1.0289
1811340,1.1336
1811460,1.0753
1811580,0.9935
1811970,0.8766
1812090,0.9001
1812360,0.9806
1812420,1.0705
1812450,0.8020
1812720,0.9892
1812810,1.0843
1812900,1.0082
1813080,0.9563
1813200,1.0076
1903540,1.0025
1903690,1.0643
1904860,0.8368
1906540,0.9462
1907410,1.0153
1907710,0.8167
1907980,0.9213
1908220,0.9107
1908580,0.8795
1908910,1.0221
1908970,0.9293
1909480,0.9348
1911820,0.8228
1913470,0.9936
1914700,1.0674
1915450,1.1683
1916680,0.9991
1918720,0.9484
1918780,0.9784
1920130,0.6323
1922110,0.9672
1922530,1.0685
1923340,0.8442
1926370,0.8185
1926400,0.9726
1926730,0.9206
1926820,0.9182
1927390,0.9157
1928680,0.9190
1930240,1.0678
1930480,1.0936
1930510,0.8622
1930930,1.0619
1930990,1.1616
2003200,0.8557
2003360,1.1135
2003450,0.9326
2004050,0.8684
2005460,0.8518
2005490,1.1259
2005580,0.7779
2005940,0.8980
2006390,0.8560
2006420,0.9612
2006540,0.9961
2006660,1.0121
2007050,0.8324
2007350,0.9284
2007560,0.5560
2007620,0.9810
2007890,0.7515
2007950,0.8588
2008190,0.7983
2008400,0.9690
2008430,0.9637
2008730,0.8637
2009030,0.6512
2009140,0.9023
2009180,0.9965
2009960,0.7653
2010140,0.9018
2010710,0.9201
2011370,0.9838
2011490,0.9883
2011640,0.9388
2012000,1.0440
2012180,1.0044
2012260,0.8997
2012360,0.7664
2012420,0.9654
2012510,0.9847
2012990,0.7947
2100510,0.8719
2100570,0.9875
2100750,0.8833
2101150,0.7818
2101470,0.9104
2101860,0.8107
2102010,0.7618
2102490,0.9878
2102990,0.8721
2103030,1.0181
2103090,0.9562
2103720,0.9100
2103900,0.6714
2104530,1.0322
2104590,0.8166
2105260,0.8159
2105320,0.7709
2105730,0.9814
2106000,0.8614
2200090,1.1297
2200270,1.0533
2200300,0.9461
2200330,0.8727
2200540,0.8863
2200720,0.9054
2200840,0.7716
2200870,0.9353
2200900,1.0640
2201020,0.9323
2201170,0.9228
2201200,0.7671
2201230,0.9228
2201290,0.8449
2201410,0.9011
2201440,1.0758
2201530,0.9196
2201620,0.7839
2201650,0.9653
2201680,0.9013
2201740,0.8468
2201770,1.0633
2201830,1.0116
2309930,1.1391
2400060,0.7678
2400090,0.6089
2400120,0.7473
2400150,0.9023
2400180,0.9690
2400210,1.0438
2400240,0.9347
2400270,0.9694
2400330,0.9721
2400390,1.0383
2400420,1.0033
2400480,0.8967
2400510,0.7504
2400540,0.9324
2400600,0.8261
2400630,0.9183
2400660,0.9707
2400690,0.8688
2400720,0.7813
2502190,0.9712
2502310,0.7452
2502640,0.8752
2502790,0.9857
2503090,0.9454
2503150,1.1177
2503270,1.1028
2503540,0.7768
2503660,0.8985
2503750,0.8185
2504050,0.8969
2504770,0.9064
2504830,0.9959
2504890,0.8718
2504980,0.9333
2505130,0.7091
2505970,0.9085
2506270,0.9865
2506660,0.8080
2506780,0.8828
2507020,0.9437
2507110,0.8651
2507170,1.0864
2507320,0.8602
2507560,0.9488
2507740,0.8783
2507860,1.0247
2508430,0.7073
2508610,0.9468
2508700,0.9491
2508850,1.0354
2509360,0.7440
2509630,0.8955
2509870,0.9756
2510050,0.9124
2510380,0.9468
2510500,0.8255
2510770,0.8729
2510890,0.9711
2511010,0.6665
2511130,0.6606
2511520,0.7455
2511880,0.9062
2512000,1.0579
2512510,0.8987
2512630,0.8202
2512840,0.7168
2513200,0.8147
2513230,0.9034
2600005,0.8683
2600015,0.9338
2601950,0.9539
2602520,0.9949
2602820,1.0363
2603870,0.8767
2604260,0.9153
2606270,0.8853
2606780,0.9287
2608070,0.9841
2609570,1.1590
2609900,1.0102
2610140,1.2036
2610620,1.0773
2611600,1.0452
2612000,0.9907
2612150,0.9542
2614070,0.9760
2614230,0.9176
2614520,0.9343
2614610,1.0873
2616080,1.0229
2616110,0.9185
2616350,1.0709
2616380,0.9667
2616410,0.9986
2616440,0.9200
2616470,1.0057
2616500,1.0800
2617860,0.9741
2617880,0.9741
2618420,0.9494
2618480,0.8663
2618840,0.9714
2618990,1.0375
2619100,0.9283
2619250,1.0791
2619620,0.8834
2619950,1.0225
2620160,0.9027
2620280,1.0301
2620340,0.8651
2620730,1.0989
2620850,1.1591
2621150,0.6667
2621600,0.8698
2621840,0.9812
2621870,1.0858
2622320,1.2083
2623460,0.9089
2623820,1.0765
2624150,1.0557
2624840,0.9024
2625560,1.0001
2626760,0.9679
2628560,1.1819
2628740,0.9262
2628830,1.0472
2628950,1.1262
2629940,1.1959
2630090,0.9749
2630390,0.8262
2630450,0.9009
2631320,1.1611
2632250,1.0386
2632300,1.1304
2632340,0.8523
2632370,0.9128
2633090,1.0787
2633540,1.1798
2633870,1.0996
2634260,0.9855
2634470,1.0846
2635160,0.9771
2635310,0.9483
2635520,0.9638
2635910,1.0790
2636485,0.9291
2636540,0.9220
2636570,0.9750
2636630,1.0478
2636660,1.0700
2700102,0.8870
2700109,0.9054
2702970,0.8944
2703180,1.0555
2703450,0.9266
2705790,1.0110
2706240,0.6409
2707290,0.8477
2708100,0.8917
2708190,1.0326
2709510,0.7295
2711250,0.9154
2711370,1.0294
2711670,1.0323
2711760,0.9837
2711820,0.9339
2712420,0.8227
2714220,0.9779
2714260,1.0405
2715030,0.8954
2717780,1.0151
2718780,1.0145
2718940,1.0710
2720550,1.1255
2721240,1.0866
2721390,1.1582
2721420,0.9689
2722950,1.0891
2723850,0.8435
2723880,1.0324
2725200,1.0228
2728050,0.8872
2731750,1.0242
2731780,0.8292
2731800,0.8953
