id,h_avg
0635040,-1.0563
0635070,-2.6172
0635090,-1.7451
0635130,0.6676
0635220,-1.4193
0635250,-0.7616
0635310,-1.6070
0635360,-1.6371
0635370,-1.0175
0635430,-1.5662
0635590,-1.9731
0635600,-1.8858
0635700,-0.6065
0635730,-1.0513
0635790,-1.6514
0635810,-1.7057
0635830,-1.9591
0635880,-0.3793
0635970,-0.4365
0636030,-1.1194
0636180,-2.0287
0636210,-1.7408
0636270,-1.1689
0636330,-2.8380
0636450,-1.5800
0636670,-1.7900
0636800,-1.4695
0636820,-1.1857
0636840,-1.1877
0636970,-1.2259
0636990,-0.3733
0637050,-1.7850
0637110,-1.1828
0637140,-1.3757
0637200,-2.4581
0637290,-1.5848
0637350,-1.6453
0637380,-1.1076
0637500,0.2449
0637530,-0.9135
0637560,-1.7008
0637620,-2.1902
0637710,-0.6669
0637830,-1.1994
0637890,-2.0169
0637950,-1.5097
0638010,-2.3096
0638040,-3.3201
0638130,-1.8678
0638220,-0.9891
0638340,-1.1234
0638430,-2.3019
0638460,-1.9516
0638550,-1.4802
0638640,-0.9423
0638670,-1.0827
0638700,-1.9951
0638770,-1.7659
0638880,-1.8038
0638980,-0.6803
0639000,-0.7910
0639060,-2.3474
0639180,-2.1082
0639300,-1.5395
0639420,-0.6069
0639600,-2.1636
0639630,-0.7184
0639870,-1.5040
0639940,-2.0179
0640150,-1.0637
0640230,-0.9080
0640300,-2.4226
0640320,-0.5016
0640590,-1.5710
0640650,-0.5501
0640710,-1.1136
0640740,-2.0465
0640980,-1.4198
0641040,-1.4023
0641130,-2.8421
0641160,-1.5040
0641190,-1.4789
0641250,-0.1539
0641280,-0.1195
0641400,-2.2279
0641460,-1.9076
0641580,-1.9598
0641790,-0.1903
0641820,-1.6921
0641880,-1.5029
0642000,-0.4842
0642060,-2.7287
0642120,-0.8099
0642140,-1.2429
0642150,-1.7218
0642180,-2.2768
0642210,-2.4333
0642330,-0.9304
0642450,-1.2982
0642510,-1.4441
0642540,-1.9057
0642560,-2.4726
0642710,-2.1858
0642810,-1.6334
0642930,-1.9778
0642960,-1.3288
0642990,-0.2802
0643020,-2.0799
0643080,-1.6820
0643170,-2.3082
0643200,-0.5213
0643380,-0.8624
0643470,-1.3308
0643560,-1.3561
0684500,0.0485
0691005,-1.7109
0691007,-2.3529
0691010,-2.0097
0691012,-2.9046
0691017,-1.5786
0691020,-2.5684
0691021,-1.2923
0691024,-2.8086
0691026,-1.0707
0691027,-1.7287
0691029,-1.5686
0691030,-2.0725
0691031,-2.9123
0691035,-1.8133
0691041,-3.3079
0691045,-1.3305
0691047,-0.8035
0691078,-2.1273
0691134,-2.4699
0691135,-1.0256
0691136,-1.8281
0800016,-0.7545
0801920,0.9169
0801950,-1.2784
0802070,-0.5577
0802190,-0.8582
0802280,-0.1845
0802310,-1.5427
0802340,-1.4820
0802430,-0.5425
0802490,-0.6938
0802580,-0.5508
0802610,-0.8849
0802670,-1.1343
0802790,-0.1365
0802850,-0.9720
0802910,0.0915
0802940,1.4521
0803060,-0.4767
0803090,-0.8324
0803300,-0.1698
0803330,-0.2179
0803360,-1.2260
0803450,0.8012
0803480,-0.6182
0803540,-0.7472
0803600,0.0323
0803720,-0.6457
0803750,-1.5621
0803780,-1.2198
0803810,-2.2866
0803870,0.0952
0803960,-0.8707
0803990,-0.4881
0804020,-1.0238
0804050,-0.7289
0804080,0.1057
0804140,-0.7380
0804200,-0.7659
0804260,-1.0068
0804350,-0.6268
0804380,-1.3772
0804410,-1.2686
0804470,-1.1000
0804530,-0.1739
0804710,-0.8199
0804770,-1.3729
0804800,-0.2342
0804830,-0.6560
0804920,-0.7108
0804950,-0.9130
0805100,-0.2527
0805130,-1.1049
0805190,-1.9058
0805220,-0.7862
0805250,1.1968
0805310,0.2429
0805370,-0.9089
0805400,-0.6940
0805550,-1.2747
0805730,-1.3302
0805760,-1.3773
0805790,-0.8815
0805820,0.8840
0806120,-0.6308
0806150,0.0457
0806240,-0.8330
0806270,-1.0431
0806480,-0.1137
0806540,-1.4005
0806660,0.2642
0806690,-0.2174
0806810,-1.0654
0806900,-0.9819
0806960,-0.3837
0807080,-0.7950
0807230,-1.5241
0807350,0.1870
0900060,-1.0004
0900070,-1.3768
0900210,-0.6946
0900270,0.5285
