id,m_grd
18045,0.9546
18047,0.9829
18049,0.8365
18051,0.9717
18053,0.8956
18055,0.9863
18057,1.0175
18059,0.9836
18061,0.9694
18063,1.0013
18065,0.9192
18067,0.8433
18069,1.0534
18071,0.8333
18073,0.9258
18075,1.0363
18077,0.7229
18079,0.8856
18081,0.9739
18083,0.8820
18085,0.9230
18087,0.9760
18089,0.8643
18091,0.8537
18093,0.8440
18095,0.8952
18097,0.8897
18099,0.9011
18101,0.8541
18103,0.9519
18105,1.0992
18107,0.9272
18109,0.9101
18111,0.8515
18113,0.9218
18115,0.7817
18117,0.8358
18119,0.9839
18121,0.7373
18123,1.0097
18125,0.8133
18127,0.8658
18129,0.9693
18131,0.8469
18133,0.9317
18135,0.8868
18137,0.9641
18139,0.9732
18141,0.9886
18143,1.0125
18145,0.9714
18147,0.9663
18149,0.8397
18151,0.9724
18153,1.0036
18155,0.9455
18157,0.9395
18159,0.8201
18161,0.9971
18163,0.9195
18165,1.0946
18167,0.8866
18169,0.8246
18171,1.0778
18173,1.0228
18175,0.9205
18177,0.9263
18179,0.8752
18181,0.9261
18183,0.9151
19001,0.9547
19005,0.9490
19007,0.9433
19009,1.0595
19011,1.0500
19013,1.0237
19015,0.9063
19017,1.0387
19019,1.0049
19021,0.8978
19023,0.8954
19025,0.9577
19027,1.0376
19029,1.0446
19031,0.9009
19033,0.9753
19035,0.9678
19037,0.9405
19039,0.9349
19041,1.0140
19043,1.0167
19045,0.8500
19047,0.9964
19049,1.0360
19051,0.9132
19053,0.9200
19055,0.9481
19057,0.8114
19059,0.8677
19061,0.9479
19063,0.8670
19065,0.8641
19067,0.9379
19069,0.9517
19071,0.9889
19073,0.8815
19075,1.0408
19077,1.0216
19079,0.9724
19081,0.9844
19083,0.9914
19085,0.8689
19087,0.9486
19089,1.0465
19091,0.9096
19095,0.8815
19097,0.8653
19099,0.9828
19101,0.9076
19103,1.0810
19105,0.8918
19107,1.0128
19109,0.9713
19111,0.8530
19113,0.9581
19115,0.8936
19117,0.8149
19119,0.8619
19121,1.0829
19123,0.8336
19125,0.9306
19127,0.9752
19129,1.0341
19131,0.9245
19133,0.9132
19135,0.9990
19137,0.9017
19139,0.7370
19141,1.0022
19143,1.0415
19145,1.0402
19147,0.8671
19149,1.0873
19151,1.0386
19153,0.9934
19155,0.9261
19157,0.9438
19159,0.9428
19161,0.9914
19163,0.9115
19165,1.0263
19167,0.9411
19169,1.0640
19171,0.9058
19173,0.9823
19175,0.9968
19177,0.8739
19179,0.9795
19181,1.1446
19183,1.0354
19185,0.8903
19187,0.8133
19189,0.8673
19191,1.1394
19193,0.9411
19195,1.0121
19197,0.9265
20001,0.7888
20003,0.7272
20005,0.9504
20007,0.8449
20009,0.9053
20011,1.0275
20013,1.0816
20015,0.9272
20019,0.6882
20021,0.7844
20027,0.7598
20029,0.8582
20031,1.0212
20035,0.9674
20037,0.9014
20041,0.8287
20043,0.8010
20045,0.9301
20051,0.8968
20053,0.7013
20055,0.8294
20057,0.7420
