id,p_grd
19079,0.9400
19081,0.9398
19083,0.9561
19085,0.8586
19087,0.9011
19089,0.9862
19091,0.7978
19095,0.8550
19097,0.7505
19099,0.9219
19101,0.9564
19103,0.9393
19105,0.8911
19107,1.0128
19109,0.8730
19111,0.7933
19113,0.8789
19115,0.8681
19117,0.8173
19119,0.7767
19121,1.1065
19123,0.7783
19125,0.8649
19127,0.9179
19129,0.9489
19131,0.8519
19133,0.8602
19135,0.9090
19137,0.8731
19139,0.6759
19141,0.9329
19145,1.0224
19147,0.8677
19149,1.0084
19151,0.8531
19153,0.9215
19155,0.9098
19157,0.9188
19159,0.8841
19161,0.9334
19163,0.8468
19165,0.8855
19167,0.8542
19169,0.9431
19171,0.9354
19173,0.9423
19175,1.0371
19177,0.8988
19179,0.9225
19181,1.0574
19183,0.9826
19185,0.8661
19187,0.8217
19189,0.7885
19191,1.1199
19193,0.9338
19195,0.9836
19197,0.9411
20001,0.8099
20003,0.6936
20005,0.9553
20007,0.8813
20009,0.9241
20011,1.0263
20013,1.0110
20015,0.8104
20019,0.7588
20021,0.8251
20027,0.7209
20029,0.8239
20031,0.9435
20035,0.9569
20037,0.9275
20041,0.7872
20043,0.7692
20045,0.8332
20051,0.7784
20053,0.7318
20055,0.8305
20057,0.7718
20059,0.8837
20061,0.6583
20067,0.9669
20069,0.9704
20073,0.6325
20075,1.0273
20077,0.8255
20079,0.7206
20081,0.8908
20085,0.8863
20087,0.8333
20091,0.9310
20093,0.9308
20095,0.8975
20099,0.8329
20103,0.9062
20105,0.7716
20107,0.9418
20111,0.8899
20113,0.7134
20115,0.8540
20117,0.9004
20121,0.9737
20123,0.7856
20125,0.9453
20127,0.9964
20129,0.7598
20131,1.0135
20133,0.9011
20137,0.7906
20139,0.8431
20143,0.9488
20145,0.7651
20147,0.6262
20149,0.7211
20151,0.6500
20155,0.8510
20157,0.9277
20159,0.7384
20161,0.9513
20163,0.7379
20167,0.7266
20169,0.9009
20171,1.0592
20173,0.8213
20175,0.8413
20177,0.9086
20181,1.0095
20183,0.9525
20185,0.7916
20187,0.9539
20189,0.5817
20191,0.8951
20193,0.9381
20197,1.0341
20201,0.7181
20205,0.8433
20207,0.9376
20209,0.8183
21001,0.9345
21003,1.0513
21005,0.8394
21007,1.0702
21009,0.9302
21011,0.9375
21013,0.7742
21015,0.8604
