id,wh_avg
0405850,-4.5239
0405880,-4.4123
0405930,-3.2259
0405980,-4.3805
0406070,-4.6032
0406210,-4.3841
0406250,-4.1020
0406300,-2.6898
0406440,-3.7400
0406580,-3.6181
0406730,-3.9426
0406810,-4.2178
0407080,-4.5089
0407130,-4.3447
0407170,-4.8035
0407240,-4.1604
0407300,-4.2416
0407570,-3.1020
0407700,-4.3239
0407750,-4.1954
0407820,-4.0889
0408080,-3.6875
0408170,-4.6519
0408280,-4.3237
0408310,-3.4911
0408410,-4.0343
0408490,-4.4106
0408550,-4.6396
0408600,-4.6673
0408800,-3.8819
0408820,-4.6463
0408850,-4.5021
0409060,-4.1492
0409190,-3.9402
0409250,-4.0847
0409310,-4.1532
0409460,-4.5956
0409600,-4.0708
0409733,-3.1598
0500006,-4.3398
0500019,-3.8969
0500042,-5.0885
0500049,-4.8509
0500405,-4.7222
0502960,-4.1416
0503060,-4.3726
0503150,-4.9445
0503690,-3.9937
0503750,-4.8082
0504380,-4.2598
0504590,-3.7545
0504890,-4.8259
0504930,-4.5875
0505680,-3.6092
0506120,-3.4527
0506330,-3.9431
0506870,-4.7228
0507840,-4.4101
0507860,-4.7301
0507890,-4.3938
0508130,-4.6310
0508280,-3.6143
0508610,-4.6111
0508670,-4.3496
0509000,-2.4105
0510380,-4.1719
0510440,-3.9486
0510680,-3.2493
0511850,-4.4466
0511970,-4.2985
0512060,-4.3518
0512210,-4.6363
0512450,-3.9169
0512660,-3.7502
0513410,-4.7581
0513680,-5.0637
0600001,-3.9743
0600006,-3.1328
0600013,-4.5840
0600014,-4.4727
0600015,-4.3110
0600016,-3.9088
0600017,-4.4456
0600019,-4.0601
0600020,-3.5791
0600025,-4.6310
0600026,-4.4995
0600027,-4.3579
0600028,-4.5532
0600029,-4.5084
0600032,-3.9131
0600033,-4.4232
0600034,-3.6337
0600036,-3.6263
0600039,-4.9971
0600040,-4.4883
0600043,-4.3665
0600044,-3.1588
0600045,-4.3206
0600047,-3.8939
0600048,-3.6945
0600049,-3.6546
0600051,-4.3970
0600052,-4.0679
0600060,-4.1386
0600061,-4.6250
0600062,-4.3310
0600063,-4.4427
0600064,-4.9498
0600065,-4.4961
0600068,-4.3612
0600069,-3.5576
0600153,-4.2833
0600158,-3.9668
0600160,-4.3639
0601332,-4.5207
0601409,-3.1304
0601410,-4.4007
0601420,-4.5721
0601620,-3.9644
0601710,-5.0589
0601770,-3.2715
0601860,-3.7388
0601950,-4.1807
0602100,-4.3513
0602160,-4.4472
0602310,-3.7573
0602360,-4.0426
0602430,-4.2115
0602450,-4.6515
0602610,-4.3197
0602850,-4.4356
0602970,-3.9431
0603060,-3.3098
0603180,-5.1880
0603300,-4.0180
0603420,-4.3860
0603480,-3.7095
0603600,-4.7185
0603630,-4.2392
0603690,-5.1016
0603840,-5.1076
0604020,-4.6411
0604230,-3.9281
0604260,-5.3575
0604290,-4.4254
0604380,-4.6464
0604440,-4.2992
0604530,-3.5630
0604620,-4.2678
0604650,-3.7400
0604740,-1.8894
0604800,-3.8157
0604830,-4.6847
0605040,-4.4068
0605280,-4.5206
0605580,-4.1761
0605610,-4.3529
