id,b_grd
1304440,0.9529
1304500,0.8257
1304530,0.9246
1304540,0.9263
1304560,0.8659
1304590,0.9029
1304620,0.8336
1304650,0.9397
1304770,0.9373
1304800,0.6892
1304830,0.9290
1304860,0.6723
1304890,0.7691
1304950,0.7797
1304980,0.7766
1305040,0.7681
1305100,0.6355
1305190,0.7843
1305220,0.9525
1305280,0.8238
1305310,0.7889
1305340,0.9320
1305370,0.8547
1305390,0.9080
1305430,0.9406
1305460,0.9854
1305490,0.8047
1305550,0.8682
1305640,0.6891
1305730,0.8377
1305760,0.8698
1305790,1.1018
1305850,0.8659
1500030,1.0235
1600360,0.8208
1602100,1.0416
1700010,0.8396
1700110,0.8910
1703480,1.1259
1703600,0.8706
1704680,0.9428
1704710,0.9350
1705580,1.0171
1705610,0.8371
1705760,0.9416
1706000,0.8660
1706060,1.0678
1706480,0.7507
1706510,0.9567
1706750,0.9887
1707170,1.1122
1708040,0.8023
1708070,0.7855
1708100,0.9977
1708130,1.0680
1708340,0.8745
1708550,1.0398
1709270,0.7693
1709420,0.7642
1709930,1.1116
1709960,0.9816
1710200,0.8815
1710470,0.9359
1710650,0.8642
1710950,0.7863
1711010,1.0677
1711250,0.9299
1711790,0.9021
1711850,0.8068
1712000,0.9091
1712120,0.9148
1712420,0.8216
1712450,0.9250
1712540,0.8263
1713170,0.8141
1713320,0.4558
1713440,1.1089
1713530,0.9562
1713710,1.0199
1713770,0.8445
1714220,0.7480
1714460,1.0020
1714550,0.8781
1715420,0.8287
1715450,0.8620
1715900,0.6650
1716080,0.7803
1716950,0.7913
1717040,0.9217
1717280,0.7692
1717310,0.8973
1717800,0.8675
1718240,0.9159
1718450,0.9075
1718480,0.6963
1718600,0.4727
1719230,0.8903
1719530,0.9963
1719680,1.1004
1720280,0.7994
1720580,1.0007
1720760,0.7844
1720880,0.8999
1721450,0.8123
1721600,1.0979
1722020,1.0053
1722050,0.8494
1723460,0.9377
1723970,0.8195
1724600,0.7740
1724720,0.7832
1724780,0.9046
1724940,0.9823
1725020,0.6939
1725110,0.7811
1725920,1.0319
1726310,0.9411
1726400,0.8474
1726970,0.7857
1727340,0.9333
1727610,0.8141
1727710,1.0500
1728620,0.8756
1728890,1.0551
1729190,0.9234
1729250,0.9366
1729760,0.9549
1730220,0.9371
1730270,0.9141
1730420,0.9599
1730510,1.1285
1730810,0.8335
1730900,0.8984
1731140,0.5187
1731230,0.7768
1731740,1.1244
1731950,0.9239
1732190,0.9809
1732370,0.8154
1733000,0.7995
1733210,0.8528
1734410,1.0450
1734510,0.8959
1734740,1.1275
1734990,0.8659
1735460,0.8554
1736300,0.8834
1736450,0.9158
1736480,0.9981
1736720,0.9269
1736750,0.8977
1737080,0.9895
1737680,0.8389
1738370,0.9358
1739510,0.9106
1739960,0.7094
1740070,1.0035
1740350,1.0165
1741250,0.8483
1741520,1.1444
1741690,1.0100
1741790,0.9861
1742180,0.9348
1742300,0.9908
1743110,0.9319
1743860,0.8846
1743960,0.8637
1800030,0.9392
1800150,0.9139
1800270,0.9571
1800630,1.0731
1801020,1.1879
1801200,0.9611
1802400,0.9285
1802640,0.8213
1802850,0.9758
1802880,0.5833
1803270,0.9999
1803450,0.8999
1803630,0.8505
1803750,0.9443
1803870,0.6298
1803940,0.7183
1804170,0.8671
1804320,0.9266
1804770,0.8742
1805370,0.7316
1805400,0.6855
1805450,0.8697
1805460,0.9085
1805670,1.1371
1806390,0.9464
1806570,0.8884
1807260,0.9478
1807320,0.7755
1807410,0.9112
1807650,0.9236
1808760,1.0593
1808820,1.0284
1808910,0.8546
1809150,0.8768
1809510,0.9040
1809690,0.8664
1810290,0.9149
1810650,1.0385
1810920,1.1344
1811340,0.8824
1812090,0.7958
1812360,0.8746
1812720,0.8324
1812810,0.9617
1903540,0.9681
1904860,0.8250
1905790,0.6354
1906540,0.7855
1907710,0.7707
1908580,0.7566
1908970,0.8664
1909480,0.7947
1911820,0.7550
1914700,0.8776
1917220,0.8763
1926400,0.8963
1930480,0.9726
1930510,0.7976
1930930,1.0321
2005460,0.8870
2007890,0.6948
2007950,0.7631
2008400,0.8501
2008430,0.8403
2009180,0.9659
2010140,0.9547
2010680,0.7461
2011370,0.7955
2011640,0.9114
2012000,0.9107
2012260,0.8406
2012360,0.7432
2012990,0.7873
2100270,0.9248
2100510,0.8080
2100570,0.9874
2101150,0.7307
2101200,0.9418
2101350,0.6911
2101440,0.6296
2101470,0.8574
2101650,0.8472
2101740,0.7851
2101860,0.7219
2102010,0.8448
2102220,0.8895
2102490,0.9193
2102710,0.8400
2102860,0.8555
2102990,0.8460
2103030,0.8488
2103090,0.8696
2103720,0.9696
2103900,0.8847
2103960,0.8970
2104440,0.9181
2104530,0.9721
2104590,0.6646
2104650,0.7128
2105190,0.8961
2105260,0.7715
2105320,0.7915
2105400,0.9074
2105640,0.8848
2105730,0.9164
2200023,0.9111
2200030,0.7846
2200039,0.9457
2200040,0.8183
2200055,0.7798
2200060,0.7649
2200090,1.0737
2200120,1.0510
2200125,0.9487
2200150,0.7607
2200180,0.7301
2200210,1.0548
2200240,0.6239
2200270,0.8963
2200300,0.8516
2200330,0.8286
2200360,0.8865
2200420,0.6532
2200450,0.7828
2200480,0.8976
2200510,1.0684
2200540,0.9392
2200570,0.8456
2200600,0.9894
2200630,0.8920
2200660,0.8499
2200690,0.9076
2200720,0.8695
2200750,0.7733
2200780,0.8015
2200810,0.6833
2200840,0.9412
2200870,0.9485
2200900,0.9531
2200960,1.0159
2200990,0.9636
2201020,0.9649
2201050,0.7791
2201080,0.5865
2201110,0.7782
2201140,1.0791
2201170,1.0788
2201200,0.8423
2201230,0.9893
2201260,0.9215
2201290,0.8250
2201320,0.7669
2201350,0.9995
2201380,0.9087
2201410,0.9200
2201440,1.0463
2201470,0.9864
2201500,0.7520
2201530,0.9848
2201560,0.9167
2201590,0.8260
2201620,0.8157
2201650,0.9195
2201680,0.9167
2201710,0.7872
2201740,0.8406
2201770,1.0293
2201800,0.9134
2201830,0.9142
2201860,0.9012
2201890,0.9284
