id,p_avg
06031,-1.8132
06033,-2.1374
06035,-1.9232
06037,-1.5516
06039,-1.8137
06041,-1.4794
06043,-1.1424
06045,-2.1762
06047,-1.7548
06049,-1.8984
06051,-1.7538
06053,-2.0963
06055,-1.7623
06057,-1.3770
06059,-1.2334
06061,-0.8958
06063,-0.8657
06065,-1.5170
06067,-1.5957
06069,-1.7908
06071,-1.6113
06073,-1.3202
06075,-1.0784
06077,-1.9603
06079,-1.3247
06081,-1.6733
06083,-1.7828
06085,-1.4455
06087,-2.0843
06089,-1.2134
06093,-1.4509
06095,-1.8480
06097,-1.5956
06099,-1.7400
06101,-1.3450
06103,-1.3626
06105,-1.0536
06107,-1.8815
06109,-1.2741
06111,-1.8319
06113,-1.7764
06115,-1.6254
08001,-1.1411
08003,-0.5919
08005,-1.0099
08007,-0.5835
08009,0.1205
08011,0.1361
08013,-0.7365
08015,-0.1307
08019,-0.0502
08021,0.1934
08023,-0.9214
08025,-0.0643
08029,0.0183
08031,-1.3366
08035,0.1602
08037,-0.7217
08039,-0.2752
08041,-0.2039
08043,-0.3610
08045,-0.8396
08049,-0.5983
08051,-0.4826
08055,-0.8812
08059,-0.3561
08063,-0.7780
08065,-1.7970
08067,-0.5403
08069,-0.2875
08071,-0.5956
08073,-0.0062
08075,-0.1872
08077,-0.4855
08081,-1.1396
08083,-1.0876
08085,-0.6016
08087,-0.6787
08089,-0.7655
08093,0.3419
08095,-0.3704
08099,-0.6148
08101,-0.5794
08103,-0.5369
08105,-0.9820
08107,0.2489
08109,-1.0091
08113,0.0022
08117,-0.7207
08119,-0.1561
08121,-0.2449
08123,-1.0192
08125,-0.4606
09001,-1.2824
09003,-1.5231
09005,-0.5015
09007,-0.5865
09009,-1.3574
09011,-0.9980
09013,-0.4822
09015,-1.1478
10001,-0.5837
10003,-1.1948
10005,-0.3431
11001,-2.0621
12001,-1.2066
12003,-0.3907
12005,-0.5713
12007,-1.1027
12009,-0.1776
12011,-0.4993
12013,-0.0293
12015,-0.2347
12017,0.0595
12019,-0.1093
12021,-0.6310
12023,-0.5208
12027,-0.9765
12029,-0.1341
12031,-0.9245
12033,-0.9564
12035,-0.0995
12037,-0.4419
12039,-0.8755
12041,0.0890
12043,-0.2970
12045,-0.3369
12047,-1.2559
12049,-0.6938
12051,-0.8178
12053,-0.3269
12055,-0.7143
12057,-0.8888
12059,-0.6325
12061,-0.6839
12063,-0.3369
12065,-1.4581
12067,-0.5510
12069,-0.6174
12071,-0.3818
12073,-0.8418
12075,-0.6935
12077,-0.5374
12079,-1.6980
12081,-1.1002
12083,-0.7372
12085,-0.3763
12086,-0.4216
12087,-0.3954
12089,0.0956
12091,0.0132
12093,-0.8933
12095,-0.6358
12097,-0.7384
12099,-0.5857
12101,-0.6893
12103,-0.9226
12105,-0.9385
12107,-0.8742
12109,-0.3751
12111,-0.7592
12113,0.1502
12115,0.1185
12117,-0.1615
12119,-0.0939
12121,-0.8823
12123,-0.7276
12125,-0.1966
12127,-0.6248
12129,-0.0937
12131,-0.2029
12133,-0.5626
13001,-1.0043
13003,-0.5311
13005,-0.6977
13007,-1.9980
13009,-1.4514
13011,-0.3489
13013,-0.7639
13015,-0.7251
13017,-1.1486
13019,-0.2222
13021,-1.8972
13023,-0.2246
13025,-0.4211
13027,-1.1172
13029,-0.5308
13031,-1.0517
13033,-0.9880
13035,-1.0199
13037,-1.2283
13039,-0.4467
13043,-0.9981
13045,-0.9700
13047,-0.6591
13049,-1.3878
13051,-1.6120
13053,-1.2971
13055,-1.2313
13057,-0.4787
13059,-1.4322
13061,-1.4174
13063,-1.3085
13065,-1.4349
13067,-0.8743
13069,-0.6849
13071,-1.2006
13073,-0.3841
13075,-1.1450
13077,-0.9987
13079,-0.8299
13081,-0.8932
13083,-1.0597
13085,-0.7198
13087,-1.0488
13089,-1.7054
13091,-1.0826
13093,-2.0606
13095,-1.4819
13097,-1.0076
13099,-0.8429
13101,-0.7577
13103,-0.4362
13105,-1.3213
13107,-1.3911
13109,-0.7283
13111,-0.5024
13113,-0.2111
13115,-0.7937
13117,0.1449
13119,-0.8113
13121,-1.4779
13123,-0.9579
13125,-1.2711
13127,-0.8351
13129,-0.5738
13131,-1.1750
13133,-1.1410
13135,-0.2498
13137,-0.7287
13139,-1.1891
13141,-2.1182
13143,-0.8640
13145,-0.7454
13147,-0.9876
13149,-0.3577
13151,-0.7588
13153,-0.6418
13155,-1.0609
13157,-0.2508
13159,-1.2045
13161,-0.6525
13163,-1.3982
13165,-1.3313
13167,-0.7377
13169,-0.9281
13171,-1.3204
13173,-0.7643
13175,-0.9144
13177,-0.6299
13179,-0.9271
13181,-0.6381
13183,-0.9328
13185,-0.7734
13187,-0.3684
13189,-1.3153
13191,-1.0864
13193,-1.8126
13195,-0.6593
13197,-0.8698
13199,-1.6555
13201,-1.1231
13205,-1.0936
13207,-0.5506
13209,-1.2763
13211,-0.7869
13213,-0.5421
13215,-1.7193
13217,-1.1759
13219,-0.0669
13221,-0.6246
13223,-0.8826
13225,-1.7490
13227,-0.7130
13229,-0.2147
13231,-0.9539
13233,-1.0453
13235,-1.4907
13237,-0.6351
13239,-2.1072
13241,-0.3341
13243,-2.1184
13245,-1.8801
13247,-0.5545
13249,-0.0657
13251,-1.1356
13253,-0.9981
13255,-1.3910
13257,-0.0363
13259,-1.2462
13261,-1.7327
13263,-2.3016
13265,-1.8838
13267,-1.0767
13269,-1.5256
13271,-0.9394
13273,-1.6006
13275,-1.3006
13277,-0.9420
13279,-1.2496
13281,-0.2658
13283,-1.2265
13285,-1.0954
13287,-1.3267
13289,-1.8220
13291,0.1923
13293,-0.9204
13295,-0.6640
13297,-0.7238
13299,-0.3237
13301,-1.5474
13303,-0.9747
13305,-1.4201
13307,-0.6135
