id,np_coh
19125,0.0527
19127,0.0906
19129,0.0772
19131,0.0611
19133,-0.0335
19135,0.0879
19137,0.0910
19139,-0.0517
19141,0.0413
19143,0.1171
19145,0.1383
19147,-0.0234
19149,0.1052
19151,0.1135
19153,0.1142
19155,0.0322
19157,0.1138
19159,0.0231
19161,0.0765
19163,0.0931
19165,-0.0063
19167,0.0262
19169,0.0801
19171,0.0588
19173,0.0706
19175,0.0138
19177,-0.0462
19179,0.0115
19181,0.1445
19183,0.0678
19185,0.0005
19187,-0.0267
19189,0.0370
19191,0.0821
19193,0.0763
19195,0.1126
19197,0.0749
20001,-0.0709
20003,0.0910
20005,-0.0630
20007,-0.0253
20009,-0.1559
20011,-0.0536
20013,0.0296
20015,0.0342
20021,-0.0549
20027,-0.1228
20029,-0.1147
20031,0.0743
20035,-0.0094
20037,-0.0052
20041,-0.0074
20043,0.0194
20045,0.0733
20051,-0.0592
20053,-0.0457
20055,-0.0663
20057,-0.0555
20059,-0.0507
20061,-0.0748
20063,0.0523
20067,-0.1391
20069,-0.0023
20073,-0.0460
20077,-0.0112
20079,-0.0737
20085,0.0563
20087,-0.0493
20091,0.0346
20093,0.0786
20095,0.0376
20099,0.0076
20103,0.0374
20107,-0.0541
20111,0.0057
20113,-0.0251
20115,-0.0048
20117,-0.0527
20121,-0.0150
20123,0.0681
20125,0.0449
20127,-0.0172
20129,0.0393
20131,-0.0235
20133,0.0713
20137,0.0386
20139,0.0382
20143,-0.0485
20145,-0.0322
20147,-0.0534
20149,-0.0260
20151,-0.1268
20155,-0.0469
20157,-0.0513
20159,0.0046
20161,0.0955
20163,-0.1105
20165,-0.0010
20167,-0.0745
20169,-0.0335
20171,0.0021
20173,0.0476
20175,0.0154
20177,0.0092
20179,0.0089
20181,0.1390
20183,-0.0394
20185,-0.0487
20189,-0.1110
20191,-0.0474
20193,-0.0099
20197,-0.0134
20201,-0.1015
20205,-0.1339
20209,-0.0609
21001,-0.0394
21003,0.0482
21005,0.0310
21007,-0.0385
21009,-0.0169
21011,0.0882
21013,-0.0166
21015,0.0650
21017,0.0708
21019,0.1226
21021,0.0473
21023,0.0365
21025,-0.1168
21027,0.1155
21029,0.0526
21031,-0.0206
21033,0.0029
21035,0.2081
21037,0.0840
21039,0.1136
21041,0.0039
21043,0.1375
21045,0.1399
21047,0.0722
21049,0.1600
21051,0.0793
21053,0.0541
21055,0.0418
21059,-0.0032
21061,0.1311
21065,0.0165
21067,0.0158
21069,0.1234
21071,0.0533
21073,0.0543
21077,-0.0254
21079,0.0332
21081,0.0540
21083,-0.0136
21085,0.0688
21087,0.0188
21089,0.1666
21091,-0.0657
21093,0.1162
21095,0.0506
21097,0.0018
21099,-0.0840
21101,0.1233
21103,-0.0216
21105,0.0419
21107,0.1691
