id,wh_coh
17073,-0.0568
17075,-0.0856
17077,0.0279
17089,-0.0233
17091,0.0199
17093,-0.0086
17095,0.0006
17097,-0.0106
17099,-0.0527
17111,-0.0276
17113,-0.0409
17115,-0.0322
17119,-0.0185
17141,0.0033
17143,-0.0200
17161,0.0003
17163,0.0009
17167,-0.0644
17177,0.0333
17179,-0.0339
17183,-0.0504
17187,0.0611
17195,0.0343
17197,-0.0022
17201,-0.0332
18001,0.0682
18003,-0.0241
18005,-0.0470
18011,0.0222
18017,-0.1281
18019,0.0001
18023,-0.0634
18037,-0.0023
18039,-0.0661
18053,-0.1158
18057,0.0084
18063,-0.0023
18067,-0.0649
18071,0.0474
18073,0.0369
18081,-0.0224
18085,-0.0399
18087,0.0158
18089,0.0030
18091,-0.0413
18095,-0.1390
18097,-0.0081
18099,0.0111
18105,0.0391
18107,-0.0045
18113,-0.0731
18127,-0.0116
18141,0.0287
18145,-0.0314
18157,-0.0738
18163,0.0016
18167,-0.0613
18181,-0.0581
19013,-0.0714
19021,-0.0837
19033,0.0114
19045,-0.0627
19047,-0.0987
19049,0.0040
19057,0.0803
19061,-0.0477
19069,-0.0233
19103,-0.0124
19113,-0.0003
19115,0.0537
19127,0.0212
19139,-0.0482
19153,0.0517
19155,0.0462
19163,0.0268
19167,0.0556
19169,-0.0259
19171,-0.0348
19179,0.0011
19181,0.0494
19183,0.0278
19187,0.0847
19193,-0.0221
19197,0.0192
20009,-0.0476
20015,0.0025
20035,0.0231
20037,-0.0239
20045,-0.0054
20055,-0.0298
20057,-0.0042
20061,0.0069
20067,-0.0447
20079,0.0281
20081,0.0351
20091,0.0237
20093,0.0369
20103,-0.0690
20111,-0.0458
20125,-0.0387
20155,-0.0455
20159,0.0734
20161,0.0436
20169,-0.0065
20173,-0.0067
20175,-0.0573
20177,-0.0193
20189,0.0151
20209,0.0284
21015,0.0341
21017,0.0409
21047,0.0114
21059,0.0227
21067,0.0785
21083,0.0687
21093,-0.0364
21111,0.0750
21117,0.0125
21151,0.0494
21185,-0.0121
21209,0.0750
21211,-0.0043
21227,0.0959
21239,0.0739
22005,-0.0364
