id,wb_grd
36015,0.1445
36027,0.1217
36029,0.1480
36045,0.0084
36055,0.3418
36059,0.1839
36061,0.1452
36063,0.1587
36065,0.2488
36067,0.3149
36069,0.2001
36071,0.0844
36083,0.0985
36087,0.1963
36091,0.0485
36093,0.2351
36103,0.1401
36105,0.0505
36109,0.1016
36111,0.0968
36117,0.0973
36119,0.4077
37001,0.0640
37007,0.0888
37013,0.0755
37015,0.1067
37017,0.0138
37019,0.0390
37021,0.0582
37023,0.0382
37025,0.0622
37027,0.0262
37031,0.0634
37033,0.0037
37035,0.0842
37037,0.1163
37041,0.0245
37045,0.0586
37047,0.0234
37049,-0.0336
37051,0.0202
37057,0.0419
37059,0.0468
37061,0.0481
37063,0.1147
37065,-0.0117
37067,0.0926
37069,-0.0101
37071,0.0339
37073,0.0036
37077,-0.0114
37079,0.0431
37081,0.1127
37083,0.0158
37085,0.0019
37089,0.0912
37091,-0.0331
37093,0.0495
37097,0.1055
37101,0.0649
37103,-0.0698
37105,0.0140
37107,-0.0399
37109,-0.0339
37117,-0.0110
37119,0.1407
37123,0.0681
37125,0.1070
37127,0.0758
37129,0.0754
37131,-0.0119
37133,0.0257
37135,0.1329
37137,0.0510
37139,0.0293
37141,0.0931
37143,0.0480
37145,0.0550
37147,0.1232
37151,-0.0067
37153,0.0556
37155,0.0097
37157,0.0613
37159,0.0267
37161,0.0395
37163,0.0581
37165,0.0849
37167,0.0575
37171,0.0639
37179,0.1212
37181,-0.0005
37183,0.0876
37185,-0.0020
37187,-0.1193
37191,0.0671
37193,0.0103
37195,0.0105
38017,0.1200
38101,0.0997
39003,0.1396
39007,0.0695
39017,0.0374
39023,0.0044
39025,0.0929
39035,0.1223
39041,-0.0015
39043,0.1633
39045,0.0527
39049,0.1091
39057,0.0169
39061,0.1397
39081,0.1776
39085,0.0735
39089,-0.0712
39093,0.0415
39095,0.1110
39099,0.2402
39101,0.0620
39103,0.1047
39109,0.0646
39113,0.1270
39119,0.1287
39133,0.0024
39139,0.0761
39141,0.0653
39143,0.0294
39151,0.1099
39153,0.1502
39155,0.0603
39165,0.0552
39169,0.1666
39173,0.0633
40017,0.0701
40019,0.0152
40023,0.0296
40027,0.0394
40031,0.0562
40037,0.0185
40047,0.0810
40051,0.1531
40065,0.0028
40083,-0.0161
40089,0.0717
40101,0.1035
40109,0.0671
40111,0.0445
40119,0.1104
40125,0.1331
40135,-0.0650
40137,0.0172
40143,0.1202
40145,0.0407
40147,0.0922
41005,0.1470
41039,0.0210
41047,0.0633
41051,0.1158
41067,0.0981
42001,0.0126
42003,0.1283
42007,0.1209
42011,0.1681
42013,0.0023
42017,0.0942
42019,0.0804
42021,0.2022
42025,-0.0247
42027,0.0652
42029,0.1528
42039,-0.1260
42041,0.1046
42043,0.0914
42045,0.1245
42049,0.2087
42051,0.0490
42055,0.0331
42069,0.1417
42071,0.1038
42073,0.1970
42075,0.0390
42077,0.1489
42079,0.0665
42081,0.0663
42085,0.0653
42089,0.0284
42091,0.0752
42095,0.0938
42097,0.0580
42101,0.0415
42107,-0.0110
42125,0.1417
42129,0.2114
42133,0.1559
44003,0.0835
44005,0.0459
44007,0.0631
45001,0.0586
45003,0.0002
45007,0.0663
45009,0.0328
45011,0.0597
45013,0.0398
45015,0.0185
45017,-0.0096
45019,0.0869
45021,-0.0296
45023,-0.0467
45025,-0.0054
45027,-0.0000
45029,-0.0133
45031,0.0306
45033,-0.0026
45035,0.0394
45037,0.0195
45039,0.0534
45041,0.0070
