id,h_ses
0502820,1.0132
0502880,-1.4616
0502960,-1.4145
0503030,1.0685
0503060,0.5189
0503090,-0.3739
0503150,-0.1642
0503240,-1.0854
0503300,1.3513
0503320,-2.6314
0503420,2.6450
0503480,-4.0776
0503640,-2.1805
0503690,1.4526
0503710,-0.2506
0503750,-0.2608
0503770,-5.0132
0504050,1.0377
0504170,-1.4575
0504200,-5.6577
0504350,-3.0150
0504380,0.1205
0504410,-2.9630
0504590,-0.4297
0504680,-3.2570
0504740,-4.3168
0504800,1.0175
0504890,-0.4615
0504930,0.2970
0504980,0.0514
0505340,-2.0602
0505410,0.8857
0505430,-0.4546
0505500,-0.2442
0505680,-2.2549
0505760,-6.2780
0505850,1.4755
0505970,-0.8769
0506090,0.7380
0506120,-0.6426
0506150,1.5952
0506210,-7.6377
0506270,0.6366
0506330,-1.5660
0506540,-0.5956
0506690,-2.4533
0506840,1.1795
0506870,-0.1850
0506900,-1.0125
0506930,-1.6479
0506990,-0.6507
0507170,-0.4413
0507290,-4.3635
0507350,-2.8173
0507380,-1.0648
0507560,-3.9453
0507710,-2.9435
0507770,1.0377
0507840,-0.7767
0507860,-0.1320
0507890,-0.9264
0507920,0.4026
0507990,-0.8268
0508010,-1.1738
0508130,-0.5514
0508280,-3.0869
0508340,1.0895
0508400,-0.9205
0508490,-2.8357
0508610,-0.8830
0508640,-2.6889
0508670,2.0897
0508700,0.0886
0508730,-5.5764
0508940,-0.9393
0509000,-2.2510
0509030,-1.1807
0509060,0.6119
0509150,1.1133
0509240,-2.2655
0509330,0.1706
0509360,-2.2715
0509390,0.9555
0509420,-3.5334
0509630,-0.2444
0509750,-3.0091
0509780,0.8268
0509840,-0.1909
0510080,1.0377
0510200,-0.9865
0510290,1.0175
0510380,-0.8798
0510410,0.9555
0510440,-1.7124
0510560,-0.2188
0510620,0.1279
0510680,-1.2111
0510950,1.0895
0511010,1.3318
0511070,-2.6818
0511130,1.0377
0511340,-2.6761
0511610,0.9425
0511700,-0.8618
0511730,-5.7926
0511760,-1.0206
0511850,-0.1983
0511880,-1.4581
0511970,-0.4869
0512060,-2.1661
0512180,-0.8618
