id,b_ses
0507230,-3.3229
0507290,-2.8826
0507530,-4.8608
0507680,-3.3242
0507710,-7.5591
0507740,-1.5646
0507840,-3.0345
0507890,-2.8450
0508010,-5.2918
0508040,-3.6854
0508280,-3.8794
0508340,0.9593
0508400,-2.4113
0508610,-4.1375
0508640,-2.5085
0508670,-0.2865
0509000,-2.0156
0509030,-0.7238
0509060,0.0314
0509240,-1.0136
0509360,-3.4775
0509390,-1.4026
0509420,-5.5381
0509540,0.3248
0509600,-4.6228
0509630,-5.8562
0509720,-11.1995
0509780,-1.7817
0509840,-4.0885
0510320,-3.1076
0510380,-2.9938
0510440,-3.7631
0510620,-0.6534
0510680,-2.7204
0510950,-4.5413
0511820,-2.9062
0511850,-1.4068
0512000,1.0377
0512060,-4.4183
0512210,-0.3538
0512450,-1.2980
0512510,-1.4725
0512520,-2.2304
0512570,-3.9512
0512660,-0.0587
0512870,-1.3017
0512930,-1.3986
0512960,-2.6232
0513080,-5.4044
0513110,-2.4796
0513230,-4.5838
0513350,1.7249
0513410,-3.0331
0513650,-3.1348
0513930,-1.8118
0514010,1.0175
0514140,-0.6563
0514430,-1.5879
0600006,-0.2130
0600013,1.8680
0600014,-0.6086
0600016,-0.3726
0600017,-1.3489
0600019,-1.5486
0600020,-0.6516
0600025,2.9479
0600027,-0.1128
0600028,0.8727
0600029,0.6399
0600032,1.1103
0600036,-0.2422
0600039,-0.7118
0600043,1.9280
0600047,-0.4578
0600048,1.7589
0600051,0.8055
0600052,-1.8850
0600061,-5.3723
0600063,-0.1043
0600064,-1.3686
0600069,1.4755
0600153,0.4442
0600158,-1.8311
0601332,-2.5378
0601620,0.3912
0601650,-1.3550
0601710,-2.5920
0601770,-2.4529
0601860,-3.0672
0601950,-0.2929
0602100,1.0377
0602160,-0.3531
0602310,-0.5047
0602430,-1.8284
0602610,-0.6183
0602630,0.1133
0602670,-0.3356
0602820,-1.5704
0602850,-1.0821
0602970,-0.1797
0603180,1.0895
0603420,0.4957
0603600,-0.1370
0603630,-4.0392
0603690,-2.0653
0603750,-0.9558
0603840,-0.0647
0604020,-1.6121
0604290,-1.1670
0604380,-4.9434
0604440,-0.3142
0604530,-2.5103
0604620,1.2502
0604740,-2.8285
0604800,-2.8316
0604830,-0.5065
0605040,1.0895
0605580,-1.1199
0605610,-0.6478
0605670,-0.7118
0605820,-1.5629
0605880,1.5217
0605910,0.4843
0606004,-2.1520
0606060,-11.1995
0606270,3.0163
0606360,-0.5207
0606390,-1.2458
0606450,-0.2417
0606750,-1.6713
0606810,-0.8005
0606870,-0.3356
0607020,-0.6502
0607140,1.0377
0607200,0.2162
0607230,0.2912
0607440,1.0881
0607500,-1.5639
0607740,1.6031
0607800,-0.4123
0607900,-0.8658
0607920,-1.1582
0607950,-0.2321
0607970,-1.1773
0608010,-2.9747
0608070,-1.5191
0608130,-0.6942
0608160,0.4243
0608190,0.6302
0608370,-3.5569
0608460,1.0819
0608520,2.0700
0608550,3.0866
0608610,0.4910
0608760,0.8588
0608970,1.0377
0609030,-0.8997
0609070,-2.6535
0609390,-0.0040
0609570,-9.3051
0609620,-1.1374
0609640,0.6699
0609690,-1.3049
0609850,1.1090
0609940,-0.9622
0610050,0.5723
0610260,1.1525
0610290,-0.5934
0610350,-1.8347
0610440,0.3744
0610620,-1.7526
0610740,2.2977
0610860,-3.2471
0610890,-2.5267
0611110,-0.2311
0611280,-1.8535
0611460,-0.8649
0611490,0.5455
0611520,-0.7111
0611820,0.1423
0611850,2.1402
0611910,-1.6277
0611940,-7.5511
0612030,-4.6720
0612070,1.5808
0612090,-0.7128
0612120,-0.3720
0612150,-3.4864
0612210,1.5024
0612330,-0.7408
0612690,-5.1805
0612810,-0.8165
0612880,0.6754
0612910,0.2941
0612960,0.4872
0613080,0.9980
0613140,0.9960
0613290,-1.1763
0613360,-1.3859
0613500,0.1116
0613530,1.0331
0613840,0.4933
0613890,-1.5683
0613920,-0.1652
0614190,2.6306
0614220,2.7412
0614250,1.0895
0614370,-0.5130
0614400,-1.7273
0614430,-0.9858
0614550,-3.6591
0614580,-1.7966
0614730,0.6596
0614760,-1.2562
0614790,2.3766
0614880,0.4364
0614950,1.7596
0615180,0.5070
0615240,-1.2979
0615270,1.9074
0615510,1.7934
0615840,2.6306
0616050,-3.7319
0616080,1.7098
0616230,-0.5761
0616300,-0.5287
0616323,-1.5920
0616325,0.0882
0616470,-0.1053
0616500,0.7932
0616620,1.1970
