id,f_avg
13185,0.1199
13187,0.5096
13189,-0.6237
13191,-0.4867
13193,-1.4751
13195,0.2384
13197,-0.2332
13199,-1.3176
13201,-0.5236
13205,-0.6755
13207,0.5028
13209,-0.8721
13211,0.3950
13213,-0.0766
13215,-0.6905
13217,-0.4294
13219,1.7714
13221,0.4289
13223,0.2472
13225,-1.0537
13227,0.2462
13229,0.6788
13231,0.1714
13233,-0.5105
13235,-0.6477
13237,-0.1288
13239,-2.3307
13241,0.3864
13243,-1.7274
13245,-1.3001
13247,0.1325
13249,0.6733
13251,-0.8237
13253,-0.4931
13255,-0.7421
13257,0.5129
13259,-1.0229
13261,-1.4263
13263,-2.0439
13267,-0.6490
13269,-0.6640
13271,-0.7037
13273,-1.2113
13275,-0.5356
13277,-0.3167
13279,-0.5094
13281,0.5348
13283,-0.7282
13285,-0.1061
13287,-0.9469
13289,-1.5684
13291,0.9181
13293,-0.3603
13295,0.0172
13297,0.4195
13299,0.2569
13301,-1.1889
13303,-0.6429
13305,-0.5082
13307,-0.1732
13309,-0.5733
13311,0.4109
13313,-0.3876
13315,-0.6074
13317,-0.4214
13319,-0.5904
13321,-0.7023
15003,0.0205
16001,0.5899
16003,0.2728
16005,0.6327
16007,0.0096
16009,-0.0520
16011,-0.2692
16013,0.6523
16015,0.3505
16017,0.6444
16019,0.3293
16021,-0.0316
16023,0.2829
16027,-0.1136
16029,0.1759
16031,-0.0871
16035,-0.1694
16037,-0.1689
16039,-0.2948
16041,0.3093
16043,-0.0668
16045,0.1518
16047,-0.6755
16049,0.0400
16051,0.5009
16053,-0.5144
16055,0.8063
16057,0.8617
16059,0.2149
16061,-0.0595
16063,-0.5897
16065,1.1117
16067,-0.4457
16069,0.2360
16071,0.2501
16073,-0.4629
16075,0.2081
16077,-0.4233
16079,-0.1635
16081,-0.4139
16083,0.1301
16085,1.0961
16087,0.2809
17001,-0.1586
17003,-1.3500
17005,0.3972
17007,0.0009
17009,-0.1627
17011,-0.0706
17013,0.5905
17015,0.3540
17017,-0.9229
17019,0.1736
17021,0.0538
17023,0.2547
17025,-0.1425
17027,0.9614
17029,0.2498
17031,-0.0237
17033,-0.1623
17035,0.1294
17037,0.4155
17039,-0.1472
17041,0.0739
17043,1.4347
17045,0.1087
17047,0.2181
17049,0.7063
17051,-0.4711
17053,0.5771
17055,-0.5981
17057,-0.0080
17059,-0.2374
17061,-0.1106
17063,0.7514
17065,0.0845
17067,-0.0693
17069,-0.5826
17071,0.1357
17073,0.2986
17075,0.5012
17077,-0.2925
17079,0.6085
17081,-0.4359
17083,0.4725
17085,0.5954
17087,0.2865
17089,0.3106
17091,-0.1327
17093,0.9833
17095,0.0133
17097,0.8614
17099,-0.0254
17101,0.1016
17103,0.0711
17105,0.3911
17107,0.1314
17109,0.4169
17111,0.8309
17113,0.8597
17115,-0.2352
17117,0.3568
17119,0.1181
17121,-0.3308
17123,0.5857
17125,0.1380
17127,0.7316
17129,0.1120
17131,0.3238
17133,1.3031
17135,0.0381
17137,0.1151
17139,0.1919
17141,0.4657
17143,0.0223
17145,-0.0149
17147,0.7768
17149,-0.3273
17151,-0.4365
17153,-1.5584
17155,0.3152
17157,-0.3347
17159,0.2030
17161,-0.5041
17163,0.0038
17165,-0.7263
17167,0.1665
17169,-0.0660
17171,0.0131
17173,0.6406
17175,0.2622
17177,-0.1388
17179,0.5531
17181,-0.2861
17183,-0.7144
17185,0.0287
17187,-0.3575
17189,0.2607
17191,0.4426
17193,-0.0748
17195,0.2723
17197,0.4208
17199,0.1394
17201,-0.3648
17203,0.9696
18001,0.9636
18003,0.5361
18005,0.7835
18007,0.6619
18009,0.7715
18011,1.7158
18013,0.6874
18015,0.7713
18017,0.1375
18019,0.2648
18021,0.5661
18023,0.1318
18025,1.1084
18027,0.7550
18029,0.8295
18031,1.0023
18033,0.6444
18035,0.5023
18037,1.3829
18039,0.1978
18041,0.7108
18043,0.8268
18045,0.5254
18047,0.9181
18049,0.7209
18051,0.7226
18053,0.3146
18055,0.5870
18057,2.0770
18059,0.9743
18061,0.8708
18063,1.7605
18065,0.5459
18067,0.3926
18069,0.8892
18071,0.3790
18073,0.8059
18075,1.0258
18077,0.3745
18079,0.6157
18081,1.1852
18083,0.4136
18085,0.7436
18087,0.6110
18089,0.1406
18091,0.6302
18093,0.2958
18095,0.2261
18097,-0.0566
18099,0.7285
18101,0.9435
18103,0.5925
18105,1.1761
18107,0.6139
18109,0.7544
18111,0.5917
18113,0.2783
18115,0.5039
18117,0.6427
18119,0.6148
18121,0.2284
18123,1.1080
18125,0.5060
18127,1.2600
18129,0.9733
18131,0.9085
18133,0.5087
18135,0.5350
18137,0.9381
18139,0.7787
18141,0.3515
18143,0.3234
18145,1.0417
18147,1.5073
18149,0.0292
18151,0.6641
18153,0.5140
18155,0.4098
18157,0.9294
18159,0.5382
18161,1.0552
18163,-0.0084
