id,pn_grd
06069,-0.0767
06071,0.0381
06073,0.0357
06075,0.0584
06077,-0.0507
06079,0.0315
06081,0.0660
06083,-0.0349
06085,0.1153
06087,-0.0195
06089,0.0606
06093,0.0660
06095,0.0548
06097,0.0322
06099,0.0247
06101,-0.0004
06103,0.0165
06105,0.0137
06107,-0.0001
06109,0.0354
06111,0.0589
06113,0.1251
06115,0.0829
08001,0.0303
08005,0.0545
08013,0.1139
08031,0.0339
08035,0.0961
08037,0.0438
08041,0.0578
08045,0.0349
08059,0.1190
08069,0.0980
08077,0.0504
08101,0.1320
08123,0.0553
09001,0.0772
09003,0.0623
09005,0.0648
09007,0.0611
09009,0.0726
09011,0.0737
09013,0.0937
09015,0.0639
10001,0.0843
10003,0.1143
10005,0.0797
11001,0.1733
12001,0.1532
12003,0.0801
12005,0.0394
12007,0.0187
12009,0.0044
12011,0.0939
12013,0.0280
12015,0.0835
12017,0.0456
12019,0.0432
12021,0.0650
12023,0.0937
12027,-0.0932
12031,-0.0071
12033,0.0413
12035,0.0576
12039,0.0136
12041,-0.0102
12043,0.0264
12045,0.0189
12049,0.0189
12051,-0.0072
12053,0.0541
12055,0.1177
12057,0.0865
12059,0.0211
12061,0.1166
12063,0.0432
12067,0.0138
12069,0.0662
12071,0.0334
12073,0.0838
12075,-0.0706
12079,-0.0382
12081,0.0508
12083,0.0724
12085,0.0190
12086,0.0605
12087,0.0668
12089,0.1057
12091,0.0325
12093,0.1051
12095,0.0523
12097,0.0339
12099,0.0113
12101,0.0584
12103,0.0420
12105,-0.0161
12107,0.0101
12109,0.0976
12111,-0.0186
12113,0.0622
12115,0.0627
12117,0.1028
12119,0.0690
12121,-0.0709
12123,-0.0428
12125,0.0653
12127,0.0669
12129,0.0526
12131,0.0996
12133,0.0739
13001,0.0779
13005,0.0226
13009,-0.0254
13011,-0.0236
13013,0.0782
13015,0.0457
13017,0.0766
13019,0.1000
13021,-0.0056
13023,0.0559
13025,-0.0353
13029,0.1247
13031,0.0863
13035,-0.0078
13039,0.1014
13043,0.0642
13045,0.0689
13047,0.0787
13049,0.1168
13051,0.1237
13055,0.1059
13057,0.0633
13059,0.1839
13063,0.0015
13065,0.0759
13067,0.1277
13069,0.0835
13071,0.0918
13073,0.0671
13075,0.0631
13077,0.0642
13079,-0.0838
13081,0.1430
13083,-0.0273
13085,0.0851
13087,0.1312
13089,0.1088
13091,0.1004
13095,-0.0233
13097,-0.0073
13103,0.0696
13105,0.0959
13107,-0.0250
13111,0.1044
13113,0.0599
13115,0.0061
13117,0.0824
13119,0.0468
13121,0.2192
13123,0.0553
13127,0.0490
13129,-0.0329
13131,0.0785
13135,0.0802
13137,0.0160
13139,0.0973
13143,0.0756
13145,0.0255
13147,0.0624
13149,-0.0096
13151,0.1162
13153,0.0811
13155,0.0674
13157,0.0916
13159,-0.0185
13161,0.1037
13163,0.1511
13169,0.0123
13171,0.0745
13173,0.0422
13175,0.4609
13177,0.0978
13179,0.0090
13181,0.0400
13183,0.0071
13185,0.1077
13187,0.0686
13189,0.0962
13195,0.0869
13197,0.0350
13205,-0.0524
13207,0.1301
13211,0.0812
13213,0.1078
13215,0.1904
13217,0.0384
13219,0.0702
13221,0.0065
13223,0.0444
13225,0.1172
13227,0.0473
13229,0.0505
13231,0.0294
13233,0.0845
13235,0.0581
13237,0.0693
13241,0.1095
13245,-0.0330
13247,0.0192
13249,0.0365
13255,0.1215
13257,0.0369
13267,0.1051
13269,-0.0009
13275,-0.0077
13277,0.1103
13279,0.0173
13281,0.0561
13285,0.0943
13291,0.0928
13293,0.0637
13295,0.0667
13297,0.0302
13299,0.0932
13305,0.0564
13311,-0.0164
13313,0.0331
13321,0.0168
15003,0.0002
16001,0.0584
16005,0.1066
16007,0.0222
16009,-0.0220
16011,0.0179
16013,-0.0435
16017,0.0440
16019,0.0545
16021,0.0672
16027,0.0614
16029,0.0138
16031,0.0188
16035,-0.0144
16039,0.0091
16041,-0.0023
16043,-0.0145
16045,0.0667
16047,-0.0255
16049,0.0802
16051,0.0579
16053,0.0775
16055,0.1254
16057,0.1327
16061,0.0391
16065,0.1234
16067,0.0434
16069,0.1551
