id,m_coh
0603690,-0.0056
0603840,-0.0593
0603870,0.0707
0604020,-0.0911
0604080,0.0089
0604110,0.0587
0604200,0.0267
0604230,-0.1290
0604260,0.0657
0604290,0.0258
0604350,-0.0537
0604380,0.0484
0604440,-0.0070
0604530,0.1507
0604620,0.0096
0604650,-0.0013
0604740,0.1483
0604800,0.1444
0604830,0.0813
0605240,-0.1042
0605580,0.0146
0605610,0.0280
0605670,0.1347
0605790,0.0254
0605880,0.0338
0605910,0.0993
0606030,0.0451
0606060,0.1683
0606090,0.0333
0606270,0.0013
0606330,0.2201
0606360,-0.0423
0606390,-0.0027
0606450,0.0743
0606480,0.2238
0606570,-0.0409
0606720,0.0171
0606750,0.1238
0606780,-0.0382
0606810,-0.0315
0606870,-0.0122
0606900,-0.0522
0606990,-0.0074
0607020,0.1039
0607140,0.0226
0607170,-0.1231
0607200,0.0140
0607440,0.1125
0607470,0.0282
0607500,0.1225
0607530,0.1358
0607560,0.0063
0607680,-0.0718
0607740,0.0367
0607800,0.0617
0607900,-0.0134
0607950,0.0110
0607970,-0.0338
0607980,0.0250
0608070,0.0659
0608130,-0.0226
0608190,0.0406
0608250,0.0639
0608370,0.0868
0608460,0.0600
0608520,-0.0297
0608580,0.2260
0608610,0.0846
0608760,0.0783
0608970,0.0074
0609030,0.0209
0609070,-0.0635
0609120,-0.0253
0609330,-0.1386
0609390,-0.0031
0609450,0.0210
0609480,-0.0251
0609570,0.0579
0609620,0.0442
0609640,0.0378
0609690,-0.0665
0609780,-0.1009
0609850,0.0509
0609870,0.0352
0609940,0.0179
0609990,0.0147
0610050,0.0914
0610260,0.1413
0610290,0.1084
0610320,-0.0644
0610350,0.0026
0610380,-0.0097
0610440,0.0924
0610620,0.0138
0610710,0.1388
0610740,0.1076
0610770,-0.0232
0610890,0.0045
0611040,-0.0100
0611110,-0.0166
0611220,0.1580
0611280,0.0150
0611460,0.0903
0611490,-0.0017
0611520,0.1011
0611730,0.0362
0611760,-0.0298
0611850,0.0748
0611910,0.0474
0611940,-0.0287
0612030,-0.0163
0612090,0.0606
0612180,0.0156
0612210,0.1428
0612330,0.0620
0612630,0.0260
0612690,-0.0929
0612750,0.1096
0612810,-0.0207
0612840,-0.0560
0612880,0.0406
0612930,-0.0396
0612960,0.0554
0613080,0.0944
0613140,0.0468
0613170,-0.0636
0613200,0.0065
0613290,0.0210
0613360,-0.0039
0613470,-0.0119
0613500,0.0780
0613800,-0.0401
0613840,-0.0446
0613890,0.0254
0613920,-0.0710
0613980,-0.0452
0614010,0.0031
0614070,0.0072
0614220,0.1218
0614250,0.0595
0614340,0.1807
0614370,0.1523
0614400,0.1370
0614550,-0.0479
0614700,0.0183
0614730,0.0087
0614790,-0.0686
0614880,0.0426
0614940,0.1568
0614950,-0.0355
0615090,0.0194
0615180,0.0500
0615240,0.0372
0615270,0.0259
0615390,-0.0830
0615450,-0.0677
0615510,0.0785
0615600,0.1421
0615690,0.1245
0615780,0.0450
0615840,0.0549
0616050,0.0105
0616080,0.0858
0616260,-0.0400
0616300,-0.0015
0616323,-0.1771
0616325,0.0273
0616470,0.0516
0616570,0.0367
0616620,0.0316
0616650,0.0050
0616680,-0.0048
0616740,0.0697
0616830,0.1222
0616860,0.0314
0616920,-0.0733
0617040,0.0249
0617160,0.0445
0617190,0.0289
0617220,-0.1126
0617340,0.0248
0617430,0.1317
0617490,0.0931
0617850,0.0284
0618030,0.1493
0618210,0.0632
0618390,-0.0442
0618660,0.0468
0618690,-0.0876
0618730,0.0718
0618780,-0.2462
0618840,0.0226
0618870,0.1435
0618990,0.0061
0619140,0.0240
0619260,-0.0499
0619320,-0.0974
0619380,0.0326
0619440,0.0164
0619490,-0.0880
0619590,0.0316
0619620,0.1205
0619680,0.0834
0619700,0.0301
0619740,0.0229
0619770,0.2994
0619800,0.0708
0619890,-0.1396
0619950,-0.1960
0620040,-0.0247
0620070,-0.0415
0620130,0.1281
0620190,-0.0549
0620250,0.0583
0620310,0.1355
0620370,0.1418
0620460,0.0699
0620640,0.0075
0620670,0.0450
0620730,0.0669
0620760,-0.1263
0620790,0.0727
0620850,0.0073
0620880,0.0097
0620910,0.0165
0621000,0.0034
0621150,-0.0464
0621210,0.0558
0621240,-0.0904
0621330,0.0635
0621360,0.1291
0621420,-0.0315
0621450,0.0368
0621690,-0.0077
0621810,0.0076
0621870,0.1366
0621930,0.0904
0621990,0.1503
0622050,0.1292
0622110,0.0432
0622170,-0.0077
0622230,0.0547
0622350,-0.0262
0622380,0.0578
0622410,0.0641
0622500,0.0219
0622560,0.0023
0622590,0.1227
0622650,0.0924
0622710,0.0198
0622740,-0.0528
0622830,0.0798
0622890,-0.0449
0622950,-0.2022
0623010,0.0427
0623080,-0.0194
0623130,-0.0028
0623160,0.0659
0623340,-0.1016
0623430,0.0588
0623530,0.0751
0623610,-0.0074
0623800,0.0003
0623940,-0.0479
0623970,0.0991
0624000,0.0281
0624030,-0.0385
0624090,-0.0392
0624180,0.0681
0624230,0.0351
0624300,-0.0636
0624360,-0.0244
0624390,0.0506
0624500,0.1864
0624540,0.0380
0624570,0.0991
0624600,-0.0255
0624720,0.0218
0624750,0.0330
0624870,0.0807
0624900,0.1009
0625130,-0.1137
0625190,-0.0493
0625230,-0.0370
0625320,0.0230
0625350,-0.0392
0625470,-0.0362
0625500,0.1144
0625530,0.0103
0625690,0.0487
0625740,0.0764
0625770,0.1380
0625800,-0.0452
0625830,0.0592
0625860,0.0262
0625980,-0.0021
0626040,0.0601
0626100,0.0951
0626190,0.0051
0626220,0.0219
0626280,0.2170
0626370,0.0156
0626400,0.0033
0626490,0.0230
0626640,-0.0245
0626670,-0.0268
0626760,0.0716
0626820,-0.0106
0626910,0.0052
0627030,-0.0574
0627060,0.1089
0627120,0.2159
0627180,0.0337
0627200,0.0503
0627240,0.0818
0627450,0.1264
0627480,0.0295
0627590,0.0417
0627690,0.0669
0627720,0.0508
0627780,-0.0780
0627810,0.0602
0627840,0.0831
0627850,0.1202
0627900,-0.0374
0627930,0.0975
0628050,-0.0413
0628080,-0.0277
0628140,0.0551
0628170,0.0008
0628250,0.0272
0628270,-0.1047
0628320,0.0130
0628470,-0.0422
0628650,0.0396
0628680,0.1510
0628710,0.0295
0628860,0.0261
0628950,-0.1057
0629100,-0.0270
0629220,-0.1020
0629270,0.1170
0629280,-0.0592
0629370,0.0859
0629430,0.0580
0629490,-0.0309
0629540,0.0022
0629550,-0.0439
0629580,-0.0177
0629610,0.0977
0629640,0.0077
0629670,0.0536
0629700,0.0540
0629820,-0.0114
0629850,0.0150
0629910,0.0176
0629940,-0.0489
0630030,0.0345
0630180,0.0519
0630230,0.0572
0630250,0.0408
0630330,0.0891
0630360,0.0896
0630450,-0.0532
0630480,-0.0966
0630510,0.0081
0630600,0.0571
0630630,-0.0403
0630660,0.1029
0630720,0.0475
0630780,0.0590
0630840,-0.0925
0630930,0.0495
0630990,0.0349
0631050,-0.1036
0631170,-0.0031
0631180,0.1954
0631290,-0.0407
0631320,0.0441
0631470,0.0911
0631530,0.0878
0631710,0.0005
0631740,0.0252
0631860,-0.0024
0631980,-0.0072
0632040,0.0598
0632070,0.0663
0632130,0.0316
0632160,0.0337
0632270,0.0779
0632310,0.0679
0632370,-0.0468
0632430,-0.0745
0632550,0.0370
0632610,-0.0968
0632640,-0.0721
0632710,0.0388
0632760,0.0091
0632880,0.0475
0633110,0.0339
0633150,0.0185
0633240,0.0133
0633270,-0.0117
0633390,-0.0305
0633480,0.1240
0633510,0.0733
0633570,0.1076
0633600,0.0180
0633750,0.0337
0633840,-0.0489
0633860,0.0153
0633900,0.0355
0633930,-0.0467
0634170,0.0138
0634230,0.0119
0634290,0.1800
0634320,0.0782
0634410,0.0843
0634425,0.0296
0634440,0.0272
0634590,0.0841
0634620,-0.0630
0634680,0.0187
0634710,0.0022
0634740,0.0248
0634800,0.1294
0634860,0.1018
0634880,0.0118
0634920,0.1007
0635010,0.1333
0635040,0.0038
0635070,-0.0373
0635090,0.0317
0635130,0.0891
0635220,-0.0979
0635250,-0.0221
0635310,-0.0355
0635360,-0.0073
0635430,0.0640
0635590,0.0266
0635600,0.1603
0635700,0.1203
0635730,0.0953
0635790,-0.0517
0635810,-0.0720
0635830,0.0006
0635880,0.0282
0635910,0.0928
0635970,0.0458
0636030,0.0411
0636180,0.0453
0636210,0.1851
0636270,-0.0435
0636600,0.2173
0636670,0.0433
0636800,0.0392
0636805,-0.1327
0636820,0.1491
0636840,-0.0257
0636970,-0.0725
0636990,0.0308
0637050,0.0700
0637110,0.0507
0637200,0.0333
0637230,-0.0620
0637290,0.0851
0637320,-0.0832
0637350,0.1195
0637380,0.0860
0637500,0.1449
0637530,0.0898
0637560,-0.0592
0637590,-0.0163
0637620,0.0430
0637710,0.0234
0637830,0.0719
0637890,-0.1563
0637950,0.0180
0638010,0.0224
0638130,-0.0367
0638220,0.1429
0638250,0.0050
0638340,0.0465
0638460,0.1852
0638550,0.0418
0638640,0.0196
0638670,-0.0529
0638700,0.1072
0638770,0.0782
0638880,0.0072
0638980,0.0239
0639000,0.0311
0639060,-0.0945
0639180,0.0226
0639300,0.0914
0639420,0.0760
0639630,-0.0014
0639870,-0.0431
0640150,0.0283
0640230,-0.0391
0640300,0.0087
0640320,0.1492
0640380,-0.0099
0640470,-0.1044
0640590,0.0332
0640650,0.1214
0640680,0.0051
0640740,-0.0744
0640980,0.0434
0641040,-0.1380
0641130,-0.0054
0641160,0.0704
0641190,-0.0610
0641250,0.0310
0641280,0.0769
0641400,0.0177
0641460,0.0164
0641580,0.0437
0641610,0.1108
0641790,-0.0092
0641880,-0.0327
0642000,0.0689
0642060,0.0891
0642120,0.0093
0642140,0.0353
0642150,0.1216
0642330,-0.0385
0642450,0.0212
0642510,0.1299
0642540,-0.0711
0642560,-0.0395
0642710,-0.0525
0642810,0.0123
0642930,0.0197
0642960,0.0786
0642990,0.0773
0643080,0.0062
0643140,0.0938
0643170,-0.1889
0643200,-0.0622
0643380,0.0455
0643470,-0.0665
0643560,0.0749
0684500,0.0771
0691005,0.0202
0691012,0.4892
0691021,-0.0344
0691026,0.0546
0691029,-0.0981
0691031,0.2496
0691035,0.2674
0691045,0.1194
0691047,0.0889
0691078,0.2327
0691134,-0.0832
0691135,-0.0452
0691136,0.2044
0801950,-0.0587
0802340,-0.1308
0802580,-0.0913
0803360,0.0373
0803540,-0.1891
0803870,-0.1038
0803990,-0.0396
0804080,-0.0735
0804410,-0.0479
0804800,-0.0554
0805310,-0.0440
0805370,-0.0526
0805550,0.0198
0805790,-0.0684
0806120,-0.1211
0806150,-0.0973
0806480,-0.0131
0806900,-0.0831
0807230,-0.0047
0900030,0.0720
0900060,-0.1324
0900070,-0.0766
0900090,-0.0434
0900120,0.0203
0900150,0.0237
0900210,-0.0621
0900240,-0.0686
0900270,-0.0612
0900330,0.0348
0900360,0.0403
0900420,0.0083
0900450,-0.0851
0900510,-0.0487
0900540,-0.0508
0900570,0.0549
0900660,-0.1495
0900690,-0.0428
0900700,-0.1274
0900750,0.0041
0900810,0.0578
0900840,0.0588
0900900,0.1138
0900910,-0.0686
0900960,0.0575
0900990,-0.0425
0901020,-0.0459
0901050,0.0493
0901080,-0.0834
