id,wb_coh
1200240,-0.0134
1200270,-0.0223
1200300,-0.0414
1200330,-0.0517
1200360,-0.0084
1200390,0.0187
1200420,-0.0445
1200480,-0.0246
1200510,0.0155
1200540,-0.0585
1200690,0.0154
1200720,-0.0810
1200750,-0.0068
1200780,-0.0378
1200810,-0.0112
1200840,0.0011
1200870,-0.0384
1200930,0.0051
1200960,-0.0134
1201050,-0.0065
1201080,-0.0184
1201110,0.0128
1201140,-0.0553
1201200,-0.0307
1201230,0.0074
1201260,-0.0124
1201290,-0.0508
1201320,-0.0948
1201350,0.0047
1201410,-0.0001
1201440,-0.0188
1201470,-0.0266
1201500,-0.0312
1201530,-0.0131
1201560,-0.0491
1201590,0.0097
1201620,-0.0167
1201650,0.0112
1201680,-0.0602
1201710,-0.0043
1201740,-0.0045
1201770,-0.0165
1201800,0.0268
1201830,-0.0459
1201860,-0.0345
1201890,-0.0613
1201920,-0.0542
1201950,-0.0005
1201980,0.0030
1202010,-0.0803
1202012,0.0178
1300001,0.0264
1300060,0.0287
1300090,0.0109
1300120,0.0985
1300150,0.0633
1300210,0.0725
1300290,0.0400
1300330,-0.0020
1300360,0.0116
1300390,0.0883
1300420,0.0847
1300440,0.0127
1300540,0.0277
1300570,0.0326
1300600,0.0126
1300630,0.0999
1300660,0.0186
1300690,0.0611
1300720,-0.0349
1300780,0.0269
1300810,0.0627
1300840,0.0114
1300870,0.0158
1300900,0.0763
1300930,0.0068
1300990,0.0338
1301020,0.1121
1301080,-0.0228
1301110,0.0238
1301170,0.0728
1301230,-0.0269
1301260,-0.0470
1301290,0.0434
1301350,0.0341
1301380,0.0479
1301410,0.0406
1301470,0.0735
1301500,0.0499
1301530,0.0503
1301560,-0.0022
1301620,0.0216
1301680,-0.0540
1301710,0.0372
1301740,0.0492
1301770,0.0299
1301830,0.0527
1301860,0.0482
1301890,0.0193
1301920,0.0098
1301980,0.0105
1302010,0.0138
1302040,0.0312
1302070,0.0726
1302130,0.0159
1302190,0.0745
1302220,-0.0268
1302250,0.0263
1302280,0.0705
1302310,-0.0324
1302400,0.0729
1302460,-0.0076
1302490,0.3683
1302520,0.0309
1302550,0.0053
1302610,0.0414
1302700,0.0414
1302730,0.0220
1302820,0.0324
1302880,0.0357
1302910,-0.0084
1302940,0.0162
1302970,0.0464
1303000,0.0572
1303030,0.0126
1303060,-0.0395
1303090,-0.0048
1303120,0.0022
1303150,0.0258
1303210,0.0423
1303240,0.0400
1303270,0.0127
1303300,0.0551
1303330,0.0873
1303360,-0.0069
1303390,0.0283
1303480,0.0081
1303510,0.0892
1303540,0.0291
1303570,0.0673
1303600,0.0797
1303630,0.0488
1303660,0.0365
1303690,-0.0198
1303720,0.0749
1303750,-0.0612
1303780,0.0535
1303870,0.1238
1303930,0.0237
1303960,0.0385
1303990,-0.0522
1304020,0.0464
1304050,0.0828
1304080,0.0173
1304140,-0.0102
1304170,0.0303
1304200,0.0716
1304220,-0.0324
1304260,0.0156
1304380,0.0963
1304410,-0.0097
1304440,0.1027
1304500,0.0176
1304530,0.0066
1304540,0.0184
1304560,0.0372
1304620,0.0133
1304770,0.0753
1304800,-0.0343
1304830,0.0326
1304890,-0.0096
1304950,-0.0029
1304980,0.0520
1305040,0.0267
1305100,-0.0099
1305190,0.0468
1305220,0.0540
1305280,0.0557
1305310,-0.0159
1305340,-0.0024
1305370,0.0768
1305390,0.0636
