id,m_avg
0507770,-0.4027
0507840,-2.2007
0507860,-0.9441
0507890,-1.2690
0507920,-0.6481
0507990,-0.7024
0508040,-1.1674
0508130,-0.4711
0508240,-0.6983
0508280,-1.1660
0508340,-1.3282
0508400,-0.8739
0508610,-0.0750
0508640,-1.8815
0508670,0.3188
0508700,-0.8220
0508730,-0.5702
0508940,-0.9041
0509000,-1.6066
0509060,-0.9205
0509150,-0.9241
0509190,0.0143
0509240,-1.1054
0509270,-0.7328
0509330,-0.6778
0509360,-2.9322
0509390,-0.9246
0509420,-0.7639
0509480,0.2392
0509510,-2.0994
0509540,-1.2619
0509570,-1.7745
0509600,-0.4253
0509630,-1.6454
0509720,0.0184
0509750,-0.2956
0509780,-2.1967
0509840,-0.6374
0509990,-0.7107
0510080,0.4868
0510170,-1.7604
0510200,-0.2261
0510260,-1.2268
0510290,-1.8077
0510320,-1.8674
0510380,-0.7700
0510410,-0.2294
0510440,-0.5381
0510560,0.1125
0510620,-1.8771
0510680,-1.5731
0510920,-0.1614
0510950,-2.1671
0510980,-0.1829
0511010,-0.3376
0511070,-0.2531
0511130,-0.5439
0511220,0.2573
0511340,-0.6939
0511370,-0.7000
0511610,-0.1193
0511700,0.4293
0511730,-0.7684
0511760,-0.1750
0511820,-0.7357
0511850,-1.1772
0511880,-0.9683
0511970,0.2074
0512000,-0.4491
0512060,-0.1798
0512090,0.7333
0512180,-0.3707
0512210,0.4456
0512420,-0.3952
0512450,-0.2551
0512480,-1.3727
0512510,-1.1424
0512520,-0.5383
0512540,-0.5399
0512570,-1.4388
0512630,0.0240
0512660,-0.6050
0512870,-2.8935
0512930,-2.4571
0512960,-1.4671
0513080,-0.6690
0513110,-1.6105
0513230,-0.0654
0513350,0.3775
0513380,0.9977
0513410,-0.8353
0513530,0.1955
0513560,0.0307
0513680,-1.2641
0513930,-2.1771
0514010,-0.7307
0514020,-1.7928
0514040,-0.6255
0514140,-0.2222
0514370,-0.7762
0514400,-0.9607
0514430,-0.4285
0514490,-0.5372
0600001,-0.8593
0600006,1.4944
0600011,-2.1653
0600013,0.9462
0600014,-1.5677
0600015,-1.4425
0600016,-0.3567
0600017,-1.1015
0600019,1.2334
0600020,1.9337
0600022,-1.9640
0600025,2.1874
0600026,-1.5590
0600027,-0.9557
0600028,0.2662
0600029,-0.0659
0600032,0.9211
0600033,-2.5944
0600034,-1.0719
0600035,-2.4007
0600036,-1.0075
0600037,-1.0874
0600038,-1.1228
0600039,-1.1980
0600040,-1.1338
0600043,0.8354
0600044,-1.3108
0600045,-2.1313
0600046,-2.3417
0600047,-1.3375
0600048,-0.7538
0600049,-0.5774
0600051,-0.9349
0600052,-1.2969
0600060,-1.1467
0600061,-2.0152
0600062,-0.6558
0600063,-1.4735
0600064,-1.7892
0600065,-1.8139
0600067,-1.5141
0600068,-0.1521
0600069,-0.8247
0600116,-1.2447
0600153,0.0649
0600158,-1.2848
0600159,-0.1016
0600160,-0.8561
0601331,-0.9131
0601332,-1.7630
0601339,-2.6866
0601409,-1.1101
0601410,0.1104
0601415,-2.1332
0601418,-2.0866
0601420,-1.5701
0601421,-1.6891
0601423,-1.5728
0601426,0.5870
0601428,0.1457
0601620,0.1532
0601680,0.2804
0601710,-2.2625
0601770,0.4327
0601860,1.3520
0601950,-2.2578
0602010,-2.4995
0602100,-0.2885
0602160,0.2216
0602220,-3.6484
0602310,-1.5000
0602360,-0.5604
0602430,-1.3749
0602450,-0.9485
0602610,-1.8132
0602730,-1.1721
0602760,-0.5246
0602850,-1.8188
0602970,2.3112
0603000,-0.2846
0603060,-1.3727
0603090,-1.3984
0603180,-2.3920
0603270,-2.5301
0603300,-0.4867
0603420,-1.1733
0603480,-0.7530
0603600,-2.0042
0603630,-2.2296
0603690,-1.4887
0603750,-0.3290
0603840,-1.7934
0603870,-0.8274
0604020,-1.4235
0604080,-0.6159
0604110,-1.4160
0604200,-1.9080
0604230,-0.9410
0604260,-1.9164
0604290,-0.8253
0604350,-0.9604
0604380,-1.7596
0604440,-1.0919
0604530,1.3662
0604620,0.1968
0604650,0.4839
0604740,0.1929
0604800,-0.0844
0604830,1.2624
0605040,-2.4049
0605240,-0.8769
0605280,-1.1297
0605580,-2.1383
0605610,0.2003
0605670,0.5767
0605700,-0.9478
0605790,-1.6811
0605880,0.8368
0605910,-0.1929
0606030,-1.5651
0606060,-0.4243
0606090,-1.1164
0606270,0.8616
0606330,0.2391
0606360,-0.8514
0606390,-1.1041
0606450,-0.1406
0606480,1.4752
0606570,-1.6466
0606720,-3.4366
0606750,-0.6027
0606780,-0.6267
0606810,-0.9252
0606870,-1.2119
0606900,-2.3308
0606990,-1.3154
0607020,-1.0598
0607140,0.6838
0607170,-0.0884
0607200,-0.3425
0607260,-0.8731
0607440,0.7303
0607470,1.3446
0607500,1.1477
0607530,1.5964
0607560,-0.8435
0607680,-1.7133
0607740,-0.2971
0607800,0.8489
0607900,-0.9618
0607950,-0.6675
0607970,-1.3584
0607980,-0.6121
0608070,-0.2206
0608130,-1.2876
0608190,-0.4154
0608250,-1.6206
0608370,-0.7418
0608460,0.0142
0608520,-1.9520
0608580,-2.1751
0608610,-0.0469
0608760,0.2490
0608970,-1.6497
0609030,0.6829
0609070,-2.5953
0609120,-2.4772
0609300,-0.6361
0609330,0.2228
0609390,-1.8465
0609450,-0.3781
0609480,-0.2493
0609570,-1.7436
0609620,-2.4186
0609640,0.8066
0609690,-2.4624
0609780,-1.5937
0609850,-0.2628
0609870,1.1317
0609940,-1.1694
0609990,-0.8271
0610050,-0.9222
0610260,0.1708
0610290,3.1663
0610320,-1.0318
0610350,-2.3132
0610380,-0.1538
0610440,0.8045
0610620,1.1147
0610710,-1.3534
0610740,2.8240
0610770,-1.6639
0610890,-2.0321
0611040,-1.4874
0611110,-0.7830
0611220,1.2420
0611280,-1.4240
0611460,-1.0236
0611490,0.0186
0611520,-1.0498
0611730,-0.5536
0611760,-2.8065
0611850,-0.4506
0611870,-0.7396
0611910,-2.6653
0611940,-2.1318
0612030,-1.5869
0612090,-1.2437
0612180,-1.5170
0612210,0.6340
0612330,-0.6088
0612600,-1.5453
0612630,-1.6539
0612690,-1.2505
0612750,1.4580
0612810,-0.6884
0612840,-1.2229
0612880,-1.6001
0612930,-2.0721
0612960,0.4798
0613080,1.2094
0613140,0.7337
0613170,-0.2617
0613200,-1.3968
0613290,-2.7207
0613360,-1.0753
0613470,-1.1706
0613500,-0.6073
0613800,-2.1006
0613840,-1.6226
0613890,0.0441
0613920,-1.6909
0613980,-0.8503
0614010,-0.6314
0614070,-1.5450
0614160,-1.6223
0614220,1.0145
0614250,-1.1966
0614340,0.0648
0614370,-1.1405
0614400,1.7690
0614520,0.5815
0614550,-2.0601
0614580,-2.6376
0614700,-0.0093
0614730,0.1644
0614790,-0.8262
0614880,-0.3675
0614940,-0.5037
0614950,-0.9868
0615090,-1.9331
0615180,-0.6950
0615240,0.2464
0615270,0.5908
0615390,-0.4880
0615450,0.2340
0615510,0.2401
0615600,-1.8184
0615690,0.7843
0615780,-0.9287
0615840,0.9914
0616050,-1.6353
0616080,-2.9848
0616260,-3.0284
0616300,-1.4619
0616320,-0.0841
0616323,-2.2193
0616325,-0.6484
0616470,-1.3951
0616570,-1.1459
0616620,-0.8639
0616650,-0.5620
0616680,-1.5634
0616740,-2.0296
0616830,-0.9268
0616860,-1.2982
0616920,-1.6052
0617040,1.5036
0617160,0.1222
0617190,3.0112
0617220,-1.4555
0617340,-1.5054
0617430,-1.6438
0617490,0.8694
0617850,-2.0395
0617880,-0.1131
0618030,0.9459
0618210,-0.6318
0618390,-1.8218
0618510,-0.5345
0618660,1.1428
0618690,-1.5356
0618730,-0.6541
0618780,-0.8078
0618840,-0.1176
0618870,-1.0082
0618990,-1.7468
0619140,-0.4773
0619200,-0.1449
0619260,-1.5711
0619320,-1.9666
0619380,1.8866
0619440,-1.9778
0619490,-1.1359
0619590,-1.6359
0619620,-1.3834
0619680,-2.0730
0619700,-1.3005
0619740,-1.9834
0619770,-0.0042
0619800,-0.4923
0619890,-1.7247
0619950,-3.1102
0620040,-0.5061
0620070,-2.5948
0620130,2.6808
0620190,-1.6959
0620250,-0.7323
0620310,1.8363
0620370,1.4013
0620460,-0.0513
0620640,-0.9374
0620670,-1.1070
0620730,-1.4876
0620760,-1.8682
0620790,-0.8471
0620820,-0.0338
0620850,-2.2677
0620880,-2.3797
0620910,1.4769
0621000,1.1552
0621090,0.5706
0621150,-2.1175
0621210,-1.1147
0621240,-2.4553
0621330,-1.3285
0621360,-1.2934
0621420,-1.5828
0621450,-2.5072
0621570,-1.7669
0621690,-0.8529
0621810,-1.2639
0621870,-2.7850
0621930,-0.7216
0621990,-0.9558
0622050,-1.4768
0622110,0.1226
0622170,-1.7221
0622230,-1.4094
0622350,1.7938
0622380,2.4893
0622410,-1.3744
0622500,-0.9954
0622560,0.7643
0622590,1.6800
0622650,3.2144
0622710,-1.6110
0622740,-1.7833
0622830,1.6862
0622860,-0.4069
0622890,-1.5400
0622920,0.1847
0622950,-2.0832
0623010,0.1585
0623040,-2.2535
0623080,-0.3574
0623130,-1.4999
0623160,-2.2172
0623340,-1.9278
0623430,-1.1445
0623530,-0.7681
0623610,-1.4652
0623800,-1.5458
0623940,-0.7907
0623970,-0.9135
0624000,-0.0010
0624030,-0.1283
0624090,-1.6790
0624180,0.2358
0624230,-2.2970
0624300,-0.7554
0624360,-0.0953
0624390,-1.5803
0624480,-0.9791
0624500,0.5196
0624540,-0.4230
0624570,2.3230
0624600,-1.8058
0624720,0.0252
0624750,-0.6394
0624870,2.0084
0624900,0.8022
0625130,-1.9218
0625190,-1.4563
0625230,-2.7147
0625320,-0.4955
0625350,-2.0762
0625470,-2.0233
0625500,2.6386
0625530,-1.5754
0625690,0.2559
0625740,2.4145
0625770,0.7376
