id,pn_grd
0400001,0.0449
0400003,0.0329
0400021,0.0380
0400212,0.0761
0400295,0.0602
0400600,-0.0201
0400680,0.0087
0400790,-0.0433
0400960,0.0095
0401050,-0.0305
0401380,-0.0476
0401460,0.0673
0401500,-0.0042
0401600,0.0064
0401680,0.0318
0401710,-0.0425
0401760,0.0776
0401870,0.0039
0402320,0.0367
0402370,0.0577
0402400,0.0152
0402430,-0.0266
0402530,-0.0130
0402690,0.0214
0402860,0.1433
0402920,-0.0411
0403010,0.1440
0403040,0.0706
0403060,-0.0821
0403150,0.0644
0403240,0.0321
0403400,-0.0319
0403420,0.0679
0403500,0.0160
0403780,0.0013
0403820,-0.0180
0403870,0.0387
0403990,-0.0009
0404230,0.0710
0404280,0.0497
0404290,-0.0576
0404320,-0.0732
0404380,-0.0747
0404440,0.0816
0404500,0.0367
0404630,0.0397
0404720,-0.0162
0404970,0.0996
0405030,-0.0625
0405190,-0.1236
0405320,0.0856
0405460,-0.0186
0405530,-0.1103
0405670,0.0683
0405820,0.0389
0405880,-0.0115
0405930,0.0880
0405980,-0.1108
0406070,0.0517
0406210,-0.0963
0406250,0.0821
0406300,0.3395
0406440,-0.0036
0406580,0.0781
0406730,0.0910
0406810,0.0584
0407080,-0.1088
0407130,0.1010
0407170,-0.1112
0407240,0.0425
0407300,0.0301
0407520,-0.0560
0407570,0.0928
0407700,0.0193
0407750,-0.0137
0407820,0.0301
0407890,-0.0108
0408170,0.0911
0408280,0.0545
0408310,0.0419
0408410,0.0705
0408490,0.0040
0408550,-0.0105
0408800,0.0879
0408820,-0.2096
0408850,0.0075
0409060,-0.0009
0409190,-0.0546
0409250,-0.0513
0409600,0.0413
0409733,0.0292
0500001,0.0864
0500006,0.0776
0500009,0.0966
0500012,0.0164
0500015,0.0247
0500017,0.0384
0500019,0.0232
0500023,0.0457
0500026,0.0135
0500028,0.0272
0500029,0.0721
0500042,-0.0328
0500043,0.0971
0500044,-0.0539
0500045,0.0817
0500046,0.0610
0500047,0.0589
0500049,-0.0099
0500067,0.0140
0500068,0.0142
0500070,-0.0138
0500082,-0.0760
0502250,0.0712
0502430,0.0900
0502580,-0.0408
0502610,0.0289
0502700,-0.0183
0502790,-0.0059
0502880,0.0412
0502960,0.0467
0503030,0.0156
0503060,0.0377
0503090,0.0182
0503150,0.0411
0503240,-0.0044
0503450,0.0243
0503640,0.1223
0503690,0.0439
0503710,0.0367
0503750,0.0094
0503960,0.0895
0504020,0.0464
0504050,0.0322
0504110,0.0297
0504200,-0.0259
0504380,0.0840
0504410,-0.0105
0504590,0.0875
0504800,-0.0360
0504930,0.0209
0505430,0.0258
0505500,-0.0310
0505680,0.0270
0505760,-0.0045
0506060,-0.0107
0506090,-0.0050
0506120,0.0666
0506210,0.0368
0506330,0.0694
0506360,0.0022
0506420,0.0032
0506540,-0.0028
0506630,-0.0859
0506690,0.0276
0506840,0.0119
0506900,0.0712
0506930,-0.0034
0506990,0.0806
0507290,0.0638
0507320,-0.0262
0507380,0.0487
0507560,0.0845
0507770,0.0175
0507840,-0.0214
0507890,-0.0605
0507990,-0.0594
0508130,0.0101
0508280,0.1095
0508400,-0.0052
0508610,0.0461
0508670,0.0798
0508700,-0.0177
0508730,-0.0073
0508940,0.0362
0509000,-0.0855
0509060,-0.0102
0509190,-0.0226
0509240,0.0085
0509330,-0.0227
0509390,0.0340
0509480,0.0001
0509540,-0.0104
0509630,-0.0035
0509720,0.0023
0509750,-0.0005
0509840,0.0542
0510200,-0.0261
0510380,-0.0105
0510440,0.0334
0510680,0.0229
0511010,0.0357
0511070,0.0257
0511130,0.0738
0511340,0.0166
0511370,-0.0569
0511610,0.1210
0511700,0.0347
0511760,0.0664
0511850,-0.0349
0511880,0.0133
0511970,0.0434
0512000,-0.0546
0512060,0.0282
0512210,0.1248
0512450,0.0639
0512510,0.0114
0512520,0.0309
0512540,0.0500
0512660,-0.0566
0512960,0.1222
0513080,0.0326
0513110,-0.0014
0513230,-0.0583
0513350,0.0694
0513380,0.0565
0513410,-0.0424
0513530,0.0719
0513680,-0.0360
0513930,-0.0236
0514010,-0.0162
0514140,0.0033
0514430,-0.0540
0600001,0.1095
0600006,0.0042
0600013,-0.0041
0600014,0.0004
0600015,0.1899
0600016,0.0503
0600017,0.0751
0600019,0.1482
0600020,0.0325
0600026,0.0520
0600027,0.0651
0600028,0.0047
0600029,-0.0009
0600032,0.0267
0600034,-0.0300
0600036,0.0277
0600039,-0.0878
0600043,0.0656
0600044,0.0079
0600045,-0.0210
0600046,0.0571
0600047,-0.0166
0600048,0.0498
0600051,-0.0172
0600052,0.0100
0600060,0.0034
0600061,-0.0190
0600062,0.0555
0600063,0.2048
0600064,0.0860
0600065,-0.0002
0600068,0.0573
0600069,-0.0492
0600153,0.0264
0600158,0.0217
0600160,0.0805
0601332,0.0232
0601409,0.0624
0601410,0.0015
0601620,-0.0238
0601710,-0.0693
0601770,0.0577
0601860,0.0386
0601950,0.0870
0602100,0.0111
0602160,-0.0048
0602310,0.2143
0602430,0.0828
0602450,-0.0557
0602610,-0.0607
0602760,-0.0064
0602850,0.0881
0602970,-0.0005
0603000,-0.0167
0603300,0.0140
0603420,0.0821
0603480,0.0655
0603600,-0.0475
0603630,0.0664
0603690,-0.0696
0603840,-0.0509
0604020,0.0745
0604080,0.0844
0604110,0.0841
0604230,0.0638
0604260,0.0436
0604290,-0.0170
0604380,-0.0289
0604440,0.0279
0604530,0.1190
0604620,0.0293
0604740,0.0669
0604800,0.0815
0605240,0.0529
0605580,0.0038
0605610,0.0224
0605670,-0.0237
0605790,-0.0072
0605880,0.0639
0605910,-0.0660
0606270,0.0046
0606330,0.0158
0606360,-0.0208
0606390,-0.0186
0606450,0.1082
0606480,0.0601
