id,mf_avg
0103030,-5.9090
0103062,-5.9993
0103090,-6.3137
0103120,-5.9981
0103150,-5.8558
0103180,-6.1193
0103210,-6.1586
0103240,-5.9262
0103270,-5.9911
0103300,-6.3214
0103330,-6.0329
0103360,-6.2290
0103390,-6.0851
0103420,-6.1122
0103430,-5.7449
0103450,-6.0438
0103480,-6.1008
0103510,-6.4325
0103540,-5.8166
0103580,-6.1780
0200001,-5.8363
0200003,-5.9695
0200020,-5.7616
0200070,-6.1471
0200090,-5.9268
0200100,-5.7671
0200150,-5.9222
0200180,-5.9638
0200210,-5.8548
0200240,-6.2022
0200390,-5.9102
0200480,-6.1416
0200510,-5.9259
0200570,-5.9027
0200600,-5.9106
0200610,-6.0603
0200625,-6.1906
0200660,-6.0105
0200710,-5.7891
0200770,-5.7196
0200780,-6.0574
0200862,-6.1376
0400001,-6.1252
0400003,-5.9888
0400004,-5.9757
0400021,-6.1619
0400023,-6.0958
0400026,-5.8146
0400212,-5.8210
0400295,-5.9734
0400600,-5.9846
0400680,-5.8743
0400790,-6.0435
0400960,-6.0932
0401050,-5.8354
0401080,-5.9413
0401180,-6.2246
0401380,-6.0821
0401460,-5.9791
0401500,-5.9488
0401600,-5.6685
0401680,-6.0026
0401710,-5.9699
0401760,-5.7482
0401870,-5.8977
0401940,-6.1468
0402250,-6.1055
0402320,-5.9512
0402370,-5.8512
0402400,-6.0637
0402430,-5.9761
0402530,-6.0374
0402690,-6.0708
0402790,-5.9111
0402860,-6.0341
0402920,-6.1498
0403010,-5.9926
0403040,-6.0054
0403060,-6.0630
0403150,-5.8706
0403200,-5.9668
0403240,-5.9922
0403290,-6.2022
0403400,-5.8717
0403420,-6.1234
0403500,-6.0099
0403780,-5.9495
0403820,-6.0359
0403870,-5.9232
0403950,-6.1461
0403960,-6.0579
0403990,-6.0235
0404060,-6.3166
0404230,-5.8763
0404280,-5.8905
0404290,-6.0935
0404320,-5.9479
0404380,-6.0034
0404410,-5.7119
0404440,-6.0346
0404500,-5.8746
0404570,-6.1102
0404630,-5.9701
0404720,-6.0792
0404770,-5.8083
0404820,-5.8602
0404970,-5.9139
0405030,-5.9388
0405190,-6.1261
0405320,-5.9504
0405400,-5.7929
0405460,-5.9763
0405530,-5.7695
0405640,-6.1155
0405670,-6.0120
0405820,-6.3139
0405850,-5.8068
0405880,-5.8510
0405930,-5.8678
0405980,-5.9759
0406070,-5.8477
0406210,-6.2186
0406250,-5.9561
0406300,-6.1416
0406440,-6.3030
0406580,-6.0515
0406730,-6.0239
0406740,-6.4237
0406810,-5.8511
0406850,-5.6769
0406870,-6.0120
0406960,-6.2226
0407020,-5.7483
0407080,-6.0466
0407130,-6.0298
0407170,-5.8306
0407200,-5.9292
0407240,-6.1022
0407300,-5.9709
0407520,-6.1111
0407570,-5.8551
0407700,-5.7977
0407750,-5.8990
0407820,-5.8447
0407890,-6.0708
0408020,-5.9291
0408080,-5.7133
0408130,-6.2048
0408170,-6.0189
0408280,-5.8064
0408310,-5.8891
0408410,-5.7196
0408490,-6.0898
0408550,-5.9794
0408600,-5.9330
0408680,-6.2163
0408800,-5.9819
0408820,-6.0676
0408850,-6.0324
0409060,-6.0477
0409160,-6.3918
0409190,-6.0660
0409250,-5.9297
0409310,-6.0894
0409390,-5.6979
0409430,-6.2502
0409460,-5.7623
0409600,-6.0571
0409733,-6.2311
0500001,-6.3951
0500006,-6.5188
0500009,-6.1779
0500012,-6.2696
0500015,-6.3708
0500016,-6.4628
0500017,-6.3086
0500019,-6.1719
0500020,-6.2878
0500021,-5.7694
0500023,-6.3175
0500026,-6.2876
0500028,-6.2598
0500029,-6.0581
0500032,-6.1183
0500042,-6.1216
0500043,-6.4323
0500044,-6.3433
0500045,-6.1633
0500046,-6.2018
0500047,-6.2353
0500048,-6.1910
0500049,-6.1118
0500051,-6.2751
0500065,-6.6246
0500067,-6.6262
0500068,-6.4865
0500070,-6.4371
0500073,-6.5409
0500076,-6.1585
0500079,-6.5646
0500082,-6.2610
0500405,-6.2623
0502250,-5.9979
0502280,-6.0101
0502430,-6.0523
0502580,-6.2759
0502610,-6.2728
0502700,-6.3787
0502730,-6.1448
0502790,-6.2869
0502820,-6.0543
0502880,-6.1472
0502960,-6.0052
0503030,-6.0223
0503060,-6.1368
0503090,-6.2994
0503150,-6.0633
0503240,-6.3024
0503300,-6.0905
0503320,-6.3159
0503450,-6.0202
0503480,-6.3769
0503630,-6.3589
0503640,-6.2800
0503690,-6.1014
0503710,-6.1253
0503750,-6.1148
0503770,-6.1453
0503960,-6.5613
0504020,-6.1491
0504050,-5.8984
0504080,-6.2606
0504110,-6.2681
0504170,-6.3420
0504200,-6.1646
0504350,-6.2111
0504370,-6.0052
0504380,-6.0584
0504410,-6.3102
0504560,-6.1530
0504590,-6.1041
0504680,-6.3248
0504800,-6.6264
0504860,-6.1472
0504890,-6.1455
0504930,-6.2272
0504980,-6.2506
0505190,-6.4123
0505340,-5.7920
0505410,-6.4947
0505430,-6.2461
0505470,-5.9606
0505500,-6.1371
0505550,-6.2826
0505580,-6.2349
0505680,-6.4421
0505760,-6.2784
0505850,-6.1984
0505970,-6.1833
0506060,-6.3157
0506090,-6.1290
0506120,-6.1925
0506150,-6.4628
0506210,-6.2447
0506240,-6.1773
0506270,-6.4420
0506330,-6.0841
0506360,-6.1683
0506420,-6.1877
