id,h_coh
0691134,-0.0698
0691135,-0.0116
0691136,0.2501
0801950,0.0042
0802340,-0.1010
0802580,-0.0922
0802910,-0.0534
0803060,-0.0727
0803360,0.0377
0803540,-0.1524
0803870,-0.0686
0803990,-0.0130
0804050,0.0112
0804410,0.0050
0804530,-0.0284
0804800,-0.1014
0805310,-0.0495
0805370,-0.0324
0805550,0.0440
0805790,-0.0053
0806120,-0.1017
0806150,-0.0527
0806480,0.0053
0806900,-0.0557
0807230,0.0036
0900060,-0.0442
0900070,0.0007
0900270,-0.0129
0900420,0.0666
0900450,-0.0548
0900510,0.0620
0900700,-0.0648
0901020,-0.0007
0901110,-0.0040
0901260,0.0220
0901290,-0.0087
0901470,-0.0251
0901530,0.0367
0901620,0.1571
0901710,0.1080
0901770,0.0131
0901860,-0.0143
0901920,-0.0173
0902310,-0.0656
0902400,0.0395
0902490,0.0021
0902520,0.0068
0902640,0.0522
0902670,0.0525
0902790,-0.0000
0902820,0.0429
0902850,0.0079
0902880,0.0121
0902910,-0.0396
0903090,-0.0261
0903120,-0.0063
0903300,-0.0389
0903450,0.0001
0904050,0.0450
0904170,0.0320
0904230,-0.0290
0904320,0.0322
0904440,-0.1115
0904590,0.0355
0904620,0.1063
0904680,0.0210
0904740,0.0134
0904830,-0.0678
0904920,0.0425
0904950,0.0828
0905070,0.0848
0905190,0.1454
0905220,0.0187
1000080,0.0410
1000170,0.0975
1000180,0.0873
1000190,0.0045
1000200,-0.0776
1000230,0.0263
1000680,-0.0678
1001080,-0.0879
1001240,-0.0097
1001300,-0.0569
1001530,-0.0747
1001620,0.0073
1001850,-0.0162
1100030,0.1131
1200090,-0.0162
1200180,-0.0008
1200240,0.0950
1200270,0.0607
1200300,0.0311
1200330,0.0974
1200360,0.0531
1200390,0.0660
1200420,-0.1053
1200480,0.0090
1200510,-0.0267
1200540,0.0764
1200600,0.0602
1200660,0.0020
1200750,0.0301
1200780,-0.0104
1200810,0.0874
1200840,0.0418
1200870,0.0316
1200930,0.0319
1201050,0.0252
1201080,0.0355
1201110,0.0171
1201140,0.0507
1201230,0.1011
1201260,-0.0355
1201290,-0.0097
1201320,0.0089
1201350,0.0465
1201410,0.0363
1201440,0.0407
1201470,0.0677
1201500,-0.0018
1201530,0.0672
1201560,0.0720
1201590,0.0663
1201620,0.0188
1201650,0.0168
1201680,0.0828
1201710,-0.0027
1201740,0.1415
1201770,0.0307
1201800,0.1004
1201830,0.0855
1201920,0.0477
1201980,0.1060
1202012,0.0846
1300001,-0.0437
1300060,-0.0857
1300090,0.1809
1300120,0.0187
1300290,0.0592
1300330,0.0140
1300360,0.0927
1300420,0.0332
1300570,0.0925
1300600,0.0991
1300630,0.0621
1300720,0.0354
1300780,-0.0128
1300810,0.0241
1300840,0.0819
1300870,0.0330
1300900,0.0398
1300930,-0.0027
1301020,0.0123
1301110,-0.0342
1301170,0.0327
1301230,-0.0095
1301290,0.0427
1301350,0.0443
1301380,-0.0192
1301410,0.0705
1301500,0.0487
1301620,-0.0418
1301710,-0.0030
1301740,-0.0395
1301830,-0.0403
1301860,0.0959
1301950,0.0164
1301980,0.1349
1302010,0.0836
1302070,-0.1025
1302130,0.0006
1302190,-0.0317
1302220,0.0563
1302280,0.0112
