id,wb_grd
0622710,0.0994
0623340,0.0064
0623430,-0.0188
0623610,0.0631
0624090,0.0386
0624540,0.0246
0624600,0.0258
0625130,0.0515
0625320,0.0471
0625530,-0.0389
0625800,0.0564
0625830,-0.0090
0625860,0.0494
0626220,0.0479
0626370,0.1295
0626640,0.0696
0627240,-0.0166
0627690,-0.0144
0627810,0.0549
0628050,0.0610
0628080,0.0162
0628250,0.0235
0628470,0.0614
0628650,-0.0084
0629220,0.0085
0629550,0.0771
0629580,0.0169
0629700,0.0504
0629940,0.0821
0630030,0.0014
0630180,0.0304
0630660,-0.0398
0630990,0.0677
0631320,0.0092
0631530,0.0530
0632070,0.0575
0632370,0.0427
0632550,0.0396
0633150,0.0433
0633600,-0.0208
0633840,0.1144
0633860,0.0229
0634170,-0.0227
0634320,0.1511
0634410,0.2633
0634440,-0.0465
0634590,0.0042
0634620,0.0737
0634710,-0.0081
0634880,0.0117
0635130,-0.0382
0635700,0.0715
0636800,0.0171
0636970,-0.0453
0637380,0.0394
0638010,-0.0242
0638220,-0.0093
0638670,0.0646
0639420,0.0371
0639630,0.0792
0639870,0.0433
0640150,-0.0143
0640590,0.0418
0640740,0.0466
0641040,0.0560
0641160,-0.0181
0641190,0.0571
0641580,0.0653
0642000,0.0050
0642120,0.0592
0643470,0.0884
0684500,0.0806
0691135,0.0726
0802340,0.0699
0802910,0.0625
0803060,0.0451
0803360,0.1548
0803870,0.0463
0804530,0.0305
0900060,0.0897
0900070,-0.0092
0900450,-0.0628
0900510,-0.0030
0900700,0.1327
0901020,0.0138
0901260,0.0370
0901470,0.0671
0901530,0.0247
0901710,0.0945
0901770,0.0170
0901860,0.1016
0901920,0.2119
0902310,0.0350
0902400,0.0744
0902490,0.0446
0902520,0.0434
0902640,0.0233
0902670,0.0488
0902790,0.0173
0902820,0.1118
0902880,0.0430
0903090,0.0888
0903120,0.0347
0904170,0.0750
0904320,0.0742
0904440,0.0184
0904620,-0.0150
0904680,0.0477
0904830,0.0988
0904920,0.0128
0904950,0.0622
0905220,0.0293
1000080,0.0353
1000170,0.0503
1000180,0.0388
1000190,0.0236
1000200,0.1354
1000230,-0.0352
1000680,0.1902
1000790,0.0874
1000810,0.0533
1001080,0.1111
1001240,0.0589
1001300,0.0515
1001530,-0.0498
1001620,-0.0031
1001850,0.0381
1100030,0.1875
1200060,0.0598
1200090,0.0401
1200120,0.0474
1200180,0.0925
1200240,0.0635
1200270,0.0085
1200300,0.0253
1200330,0.0560
1200360,0.1300
1200390,0.1170
1200420,0.0609
1200480,0.0097
1200510,0.1641
1200540,0.0297
1200720,0.0233
1200750,0.0259
1200780,-0.0021
1200810,-0.0278
1200840,0.1180
1200870,0.0455
1200930,0.0819
1200960,-0.0120
1201050,0.0432
1201080,0.0527
1201110,0.1628
1201140,0.0491
1201200,0.0818
1201230,0.0871
1201260,0.0406
1201290,0.0338
1201320,0.0193
1201350,0.0184
1201410,0.1104
1201440,0.0780
1201470,0.0406
1201500,0.0405
1201530,0.0274
1201560,0.0816
1201590,0.0590
1201620,0.0356
1201650,0.0869
1201680,0.0656
1201710,0.0397
1201740,0.1141
1201770,-0.0103
