id,f_grd
19175,1.0851
19177,0.8736
19179,0.9910
19181,1.1186
19183,0.9981
19185,0.9258
19187,0.8752
19189,0.8721
19191,1.1390
19193,0.9760
19195,1.0008
19197,0.9848
20001,0.9051
20003,0.8369
20005,1.0522
20007,0.9575
20009,0.9976
20011,1.1012
20013,1.1074
20015,0.9738
20021,0.8736
20027,0.7832
20029,0.8321
20031,1.0604
20035,1.0499
20037,0.9873
20041,0.8836
20043,0.8963
20045,0.9661
20051,0.8668
20053,0.7689
20055,0.9025
20057,0.8172
20059,0.9668
20061,0.7400
20067,0.9523
20069,1.0858
20073,0.7962
20077,0.9123
20079,0.8201
20081,0.9072
20085,1.0118
20087,0.9462
20091,1.0382
20093,0.9753
20095,0.9725
20099,0.9236
20103,0.9887
20107,1.0202
20111,0.9791
20113,0.8119
20115,0.9597
20117,0.9126
20121,1.0542
20123,0.9921
20125,1.0120
20127,1.0882
20129,0.9264
20131,1.1102
20133,1.0071
20137,0.8114
20139,0.8853
20143,0.9613
20145,0.8339
20147,0.7277
20149,0.8176
20151,0.7431
20155,0.9277
20157,1.0249
20159,0.8629
20161,1.0792
20163,0.7937
20167,0.8379
20169,0.9789
20171,1.1257
20173,0.9069
20175,0.8711
20177,0.9936
20181,1.0700
20183,0.9013
20185,0.8844
20189,0.6779
20191,0.9960
20193,0.9624
20197,0.9799
20201,0.7720
20205,0.8919
20209,0.8388
21001,0.9483
21003,1.0298
21005,0.9506
21007,1.0668
21009,0.9996
21011,0.9903
21013,0.8409
21015,0.9555
21017,0.8492
21019,0.9336
21021,0.9555
21023,0.9638
21025,0.7785
21027,0.9379
21029,0.9745
21031,0.9608
21033,1.0784
21035,1.0795
21037,1.0054
21039,1.0703
21041,0.9219
21043,1.0679
21045,1.0890
21047,0.7702
21049,1.0052
21051,0.9121
21053,0.8740
21055,0.8819
21057,1.1962
21059,0.8380
21061,1.1346
21063,0.9840
21065,0.9163
21067,0.8483
21069,1.0439
21071,0.8601
21073,0.8838
21075,0.8533
21077,0.8482
21079,0.8712
21081,0.8772
21083,0.8260
21085,0.9434
21087,0.7818
21089,0.9902
21091,0.9388
21093,0.9777
21095,1.0685
21097,0.8859
21099,0.9117
21101,0.9405
21103,0.9103
21105,0.9896
21107,1.0023
21109,0.7475
21111,0.9214
21113,0.9533
21115,0.9113
21117,0.9319
21119,0.9206
21121,0.9567
21123,1.1165
21125,1.0320
21127,0.8471
21129,1.0015
21131,0.9607
21133,1.1727
21135,0.9634
21137,0.9743
21139,1.0070
21141,1.0262
21143,1.0740
21145,0.9621
21147,0.8675
21149,0.9045
21151,0.9306
21153,0.7794
21155,0.9347
21157,0.9346
21159,0.9199
21161,0.9877
21163,1.0638
21165,0.8660
21167,1.0239
21169,1.0214
21171,0.4945
21173,1.0841
21175,0.8543
21177,0.8895
21179,0.9926
21181,0.8934
21183,1.0365
21185,1.0670
21187,0.9465
21189,0.9056
21191,0.8816
21193,0.9959
21195,0.8207
21197,0.9218
21199,0.9769
21203,0.8539
21205,1.0603
21207,0.9046
21209,0.8854
21211,0.8778
21213,0.8824
21215,0.9419
21217,0.9946
21219,0.8514
21221,0.7855
21223,0.9571
21225,0.8743
21227,1.0725
21229,0.8915
21231,0.7545
21233,0.9901
21235,1.0299
21237,0.9423
21239,0.9303
22001,1.0231
22003,0.9101
22005,1.1580
22007,1.0905
22009,0.8210
22011,0.8144
22013,1.0605
22015,0.9746
22017,0.9095
22019,0.8872
22021,0.9352
22023,0.9384
22025,0.7988
22027,0.8024
22029,0.9378
22031,1.1731
22033,0.9896
22035,0.8676
22037,1.0245
22039,0.9573
22041,0.9130
22043,0.9973
22045,0.9345
22047,0.8906
22049,0.8942
22051,0.9904
22053,0.7909
22055,1.0100
22057,1.0763
22059,1.0443
22061,1.0101
22063,0.9933
22065,0.7816
22067,0.8446
22069,1.1090
22071,1.1071
22073,0.8257
22075,0.9466
22077,0.9349
22079,0.9001
22081,0.7848
22083,0.9648
22085,0.9407
22087,0.9661
22089,1.1274
22091,0.9793
22093,0.8784
22095,0.9939
22097,0.9248
22099,0.8462
22101,0.9320
22103,0.9736
22105,1.0108
22107,0.8548
22109,0.9268
22111,1.0980
22113,0.9798
22115,1.0142
22117,0.8718
22119,0.9928
22121,1.0310
22123,0.9883
22125,1.0029
22127,1.0311
23001,0.9903
23003,0.9100
23005,1.0980
23007,0.9677
23009,1.0428
23011,0.9286
23013,1.0222
23015,1.0767
23017,0.9193
23019,1.0016
23021,0.9132
23023,0.9877
23025,0.9957
23027,0.9445
23029,0.9451
23031,0.9574
24001,0.8808
24003,0.8390
24005,0.8214
24009,0.8898
24011,1.0322
24013,1.0610
24015,0.9816
24017,1.0142
24019,0.9519
24021,1.0538
24023,1.1216
24025,1.1052
24027,0.9872
24029,0.8959
24031,1.0162
24033,0.9001
24035,0.9868
24037,0.9854
24039,0.9997
24041,0.8979
24043,0.9874
24045,0.8884
24047,0.9863
24510,0.6869
25001,0.9432
25003,0.9407
25005,0.9568
25007,1.0037
25009,0.9901
25011,0.8955
25013,0.8668
25015,0.9882
25017,1.0709
25019,1.0821
25021,1.0259
25023,0.9901
25025,1.0289
25027,0.9778
26001,0.9394
26003,1.1087
26005,0.9586
26007,1.0224
26009,1.0165
26011,0.9568
26013,1.0482
26015,0.9760
26017,0.9421
26019,0.9326
26021,1.0196
26023,1.1486
26025,0.9913
26027,0.9618
26029,1.0430
26031,1.0227
26033,0.9905
26035,1.1283
26037,1.0191
26039,1.1466
26041,0.9469
26043,0.9876
26045,1.0546
26047,1.1031
26049,0.9872
26051,1.0547
26053,0.9270
26055,1.0873
26057,0.9852
26059,1.0093
26061,1.0441
26063,0.9949
26065,0.9418
26067,0.9972
26069,1.0739
26071,1.0893
26073,0.9993
26075,0.9720
26077,1.0061
26079,0.9316
26081,1.0025
26087,0.9566
26089,1.1140
26091,1.0559
26093,0.9938
26095,1.0278
26097,1.1266
26099,0.9991
26101,1.0233
26103,0.9796
26105,0.9808
26107,0.8441
26109,1.0643
26111,1.0856
26113,0.8834
26115,1.0161
26117,0.9757
26119,0.8527
26121,0.9927
26123,0.9481
26125,0.9974
26127,1.0775
26129,1.0933
26131,0.8659
26133,0.9918
26135,1.1134
26137,1.1268
26139,1.0681
26141,0.9078
26143,1.0000
26145,0.9701
26147,1.0135
26149,1.0069
26151,0.9393
26153,0.9552
26155,0.9375
26157,1.0304
26159,0.9992
26161,1.1120
26163,1.0062
26165,0.9218
27001,0.9670
27003,0.9914
27005,0.9265
27007,1.0225
27009,1.0952
27011,0.7890
27013,0.9483
27015,1.0126
27017,0.8981
27019,1.0744
27021,0.8454
27023,0.9647
27025,1.0045
27027,1.0488
27029,1.0438
27031,0.9775
27033,0.8803
27035,1.0212
27037,0.9791
27039,0.9717
27041,1.1551
27043,0.8716
27045,0.9952
27047,0.9287
27049,1.0524
27051,1.0445
27053,1.0372
27055,0.9483
27057,0.8988
27059,1.0579
27061,0.9580
27063,0.7465
27065,0.9565
27067,1.1201
27069,0.9160
27071,1.0718
27073,0.9818
27075,0.9817
27079,0.9085
27081,0.7758
27083,1.0789
27085,1.0444
27087,0.7400
27089,0.8301
27091,0.9790
27093,1.0697
27095,1.0227
27097,0.9772
27099,0.9812
27101,1.0153
27103,1.0471
27105,0.9568
27107,0.9601
27109,0.9421
27111,1.0036
27113,0.9618
27115,0.9047
27117,0.8971
27119,0.8617
27121,0.9309
27123,0.9868
27125,0.9371
27127,1.0014
27129,0.9308
27131,1.0059
27133,1.0809
27135,0.9731
27137,0.9150
27139,1.1196
27141,1.1593
27143,0.8965
27145,1.0482
27147,0.9571
27149,0.9909
27151,0.8413
27153,0.9474
27157,1.0748
27159,1.0064
27161,0.8623
27163,1.0830
27165,0.8876
27167,0.9858
27169,1.0088
27171,1.0828
27173,0.9718
28001,0.8750
28003,0.9303
28005,1.0715
28007,0.8965
28009,1.1255
28011,0.8649
28013,0.9950
28015,0.9973
28017,1.0245
28019,1.0402
28021,0.8223
28023,1.0504
28025,0.9105
28027,0.8150
28029,0.8545
28031,0.8963
28033,0.9532
28035,1.1141
28037,0.9786
28039,1.1387
28041,1.0085
28043,1.1456
28045,1.0838
28047,0.9834
28049,0.8316
28051,0.8236
28053,0.6806
28057,1.0604
28059,0.9570
28061,1.0476
28063,0.8845
28065,1.0470
28067,1.0069
28069,0.9971
28071,1.0512
28073,1.0388
28075,0.9918
28077,0.9125
28079,0.9403
28081,1.0263
28083,0.8526
28085,0.7880
28087,0.8415
28089,1.0321
28091,1.0319
28093,1.0808
28095,1.0282
28097,1.0330
28099,0.9808
28101,0.8752
28103,0.7984
28105,0.8574
28107,1.0430
28109,1.0067
28111,0.8023
28113,0.9552
28115,0.9615
28117,1.0548
28119,1.0641
28121,1.0687
28123,0.8423
28125,0.7449
28127,1.0778
28129,1.0094
28131,0.9631
28133,1.0224
28135,0.9304
28137,0.8934
28139,0.8689
28141,0.9656
28143,0.8133
28145,0.9763
28147,0.8881
28149,0.9296
28151,0.9347
28153,0.8387
28155,1.1457
28157,0.9466
28159,0.9530
28161,0.9542
28163,0.9498
29001,0.9436
29003,1.0903
29005,1.0277
29007,0.9929
29009,0.9862
29011,1.1019
29013,0.9215
29015,0.8767
29017,0.9586
29019,0.9804
29021,0.9123
29023,0.8455
29025,1.0163
29027,0.8584
29029,1.0013
29031,0.8771
29033,0.9692
29035,0.9248
29037,0.9911
29039,0.9663
29041,0.8819
29043,0.9963
29045,0.8048
29047,0.9199
29049,1.1073
29051,0.8258
29053,0.9596
29055,0.8866
29057,0.9673
29059,1.0572
29061,1.0385
29063,1.0626
29065,1.0543
29067,0.9634
29069,0.6537
29071,0.9478
29073,0.9842
29075,1.0572
29077,0.9655
29079,1.0045
29081,0.9997
29083,0.9455
29085,0.9894
29089,1.0079
29091,0.9405
29093,0.9853
29095,0.9464
29097,0.8759
29099,0.8823
29101,1.0563
29105,0.8911
29107,1.0022
29109,1.0204
29111,0.9217
29113,0.9454
29115,1.0421
29117,0.9236
29119,0.8889
29121,0.9299
29123,0.7649
29125,0.9030
29127,0.9225
29129,0.9018
29131,1.0303
29133,0.8597
29135,1.0060
29137,0.8842
29139,1.0501
29141,0.9251
29143,0.6820
29145,0.8949
29147,1.0139
29149,0.9649
29151,0.9626
29153,1.0436
29155,0.7688
29157,0.9026
29159,0.9591
29161,0.9300
29163,1.0151
29165,1.0123
29167,0.9413
29169,0.9456
29171,0.8149
29173,0.9636
29175,0.9305
29177,1.0994
29179,0.8640
29181,1.0415
29183,1.0482
29185,0.9406
29186,0.9217
29187,0.8254
29189,0.9597
29195,1.0067
29197,0.9091
29199,1.0313
29201,0.9001
29203,1.0037
29205,0.9128
29207,0.9273
29209,0.9513
29211,0.9668
29213,1.0069
29215,0.9241
29217,0.9232
29219,0.9379
29221,0.8644
29223,0.9585
29225,0.9061
29229,0.9097
29510,0.9715
30001,1.1232
30003,0.8671
30005,1.0143
30009,0.9931
30013,0.9641
30015,1.0822
30017,0.9333
30021,0.9622
30023,1.0171
30027,1.1895
30029,1.1299
30031,1.0179
30035,0.8822
30041,1.0530
30043,1.0623
30047,1.0751
30049,1.1665
30053,1.1104
30057,1.0216
30063,1.0338
30065,1.0698
30067,1.0901
30071,1.2044
30073,1.0359
30077,0.9662
30081,1.0221
30083,0.8819
30085,0.8519
30087,0.9788
30089,1.0789
30093,0.9778
30095,0.9664
30099,1.0089
30101,1.1108
30105,1.0136
30111,1.0489
31001,1.1137
31003,1.0005
31011,0.9828
31013,1.0583
31019,1.0156
31021,1.1650
31023,0.8311
31025,1.0239
31027,1.0761
31029,0.9584
31031,1.0157
31033,1.1846
31035,1.1714
31037,1.0278
31039,1.0981
31041,1.0385
31043,1.2560
31045,1.0754
31047,1.1185
31051,1.1186
31053,1.1549
31055,0.9752
31059,1.0810
31065,1.0416
31067,1.0460
31079,1.0529
31081,1.0374
31089,1.1699
31093,1.0646
31095,1.2429
31099,1.0098
31101,0.9775
31107,1.0792
31109,0.9478
31111,0.9335
31119,0.9716
31121,0.9917
31123,1.0275
31125,0.9268
31127,1.1623
31131,1.0854
31137,0.9223
31139,1.2281
31141,0.9927
31143,1.0354
31145,1.1303
31147,0.9197
31151,1.0736
31153,1.1586
31155,1.0732
31157,1.0693
31159,1.1226
31161,1.1986
31173,0.9960
31177,1.1458
31179,0.9579
31181,1.0523
31185,1.1688
32001,1.0510
32003,0.9898
32005,1.0682
32007,0.9914
32013,0.9413
32015,0.9208
32017,0.9515
32019,0.9828
32023,0.9949
32027,0.9075
32031,1.0598
32033,1.1526
32510,1.0172
33001,1.0141
33003,0.9310
33005,0.9562
33007,0.8624
33009,0.9835
33011,0.9135
33013,0.9985
33015,0.9920
33017,0.9887
33019,0.9213
34001,1.0555
34003,1.0580
34005,1.0300
34007,1.0192
34009,1.0794
34011,1.0352
34013,0.9633
34015,1.0298
34017,0.9965
34019,1.1179
34021,1.0992
34023,1.0107
34025,1.1046
34027,1.1226
34029,1.0146
34031,1.0281
34033,1.0781
34035,1.1170
34037,1.0247
34039,1.0252
34041,1.0427
35001,0.9814
35005,0.9287
35006,0.9705
35007,0.9731
35009,0.9898
35013,0.9908
35015,0.8761
35017,0.8048
35019,1.0949
35023,0.9595
35025,0.9569
35027,0.9135
35028,1.0556
35029,1.0245
35031,0.9636
35035,1.0002
35037,1.0604
35039,0.8243
35041,0.9539
35043,0.9533
35045,0.9598
35047,0.8320
35049,0.9228
35051,1.1452
35053,0.9066
35055,1.0162
35057,1.0255
35061,0.9602
36001,0.9843
36003,0.9538
36007,0.9907
36009,0.9104
36011,1.0033
36013,0.8908
36015,0.8727
36017,0.8884
36019,0.9839
36021,0.9365
36023,0.9739
36025,0.8289
36027,0.9294
36029,0.9536
36031,0.8955
36033,0.8615
36035,0.8409
36037,0.9528
36039,0.9438
36043,0.8679
36045,0.8818
36049,0.9372
36051,1.0929
36053,0.9409
36055,0.9499
36057,0.9144
36059,0.9170
36061,0.9425
36063,0.9060
36065,0.8898
36067,0.9657
36069,1.0456
36071,0.9536
36073,0.9201
36075,0.9688
36077,0.8706
36079,0.9287
36083,0.9307
36087,0.9779
36089,0.9133
36091,1.0364
36093,0.9372
36095,0.9371
36097,0.9875
36099,0.8898
36101,0.9522
36103,0.9720
36105,0.8427
36107,0.8997
36109,1.0011
36111,0.9013
36113,0.9748
36115,0.9404
36117,0.9764
36119,0.9447
36121,0.8714
36123,0.9670
37001,0.8977
37003,0.7927
37005,0.9062
37007,0.8194
37009,1.1120
37011,0.9966
37013,0.8371
37015,0.9226
37017,0.7839
37019,0.8420
37021,0.9573
37023,0.9695
37025,0.9508
37027,0.9443
37029,0.8543
37031,0.9417
37033,0.6855
37035,0.9753
37037,1.0247
37039,0.9551
37041,0.9776
37043,1.0092
37045,0.7791
37047,0.9878
37049,0.8905
37051,0.8638
37053,0.8928
37055,0.9248
37057,0.9277
37059,0.9849
37061,0.8457
37063,0.8938
37065,0.8352
37067,0.8484
37069,0.8219
37071,0.8780
37073,0.8194
37075,0.8721
37077,0.8943
37079,0.8681
37081,0.9121
37083,0.8947
37085,0.8916
37087,0.8614
37089,0.9967
