id,wh_avg
18167,-5.2562
18173,-4.6326
18177,-4.5560
18181,-4.3548
19005,-3.5878
19013,-3.6604
19021,-3.9780
19033,-4.8304
19039,-4.1455
19045,-4.4662
19047,-4.1197
19049,-3.2015
19057,-4.9539
19061,-4.2897
19063,-3.8925
19069,-3.6957
19079,-3.7841
19087,-4.4757
19103,-2.6035
19111,-4.7674
19113,-4.1917
19115,-3.6262
19127,-3.3444
19139,-3.9774
19149,-4.2316
19153,-3.1916
19155,-4.4330
19163,-3.9222
19167,-3.2042
19169,-4.0317
19171,-3.7230
19179,-4.1410
19181,-4.4754
19183,-4.0409
19187,-3.9031
19193,-3.8718
19197,-3.9414
20009,-4.4008
20015,-4.8110
20035,-4.6595
20037,-4.3510
20045,-4.2696
20051,-3.8455
20055,-4.0659
20057,-4.0299
20059,-4.6993
20061,-4.9509
20067,-3.9395
20069,-4.1478
20075,-4.3079
20079,-4.2769
20081,-4.0671
20091,-3.6688
20093,-4.0621
20099,-5.2617
20103,-4.9467
20111,-4.1369
20113,-4.4220
20125,-4.4507
20155,-4.5544
20159,-4.5986
20161,-4.2958
20169,-4.4163
20171,-4.4827
20173,-3.6743
20175,-3.7431
20177,-3.6545
20181,-4.1375
20189,-4.2898
20191,-5.1930
20209,-4.1984
21009,-4.9375
21015,-3.9783
21017,-4.8591
21021,-4.5268
21029,-4.9290
21037,-4.5130
21047,-4.9345
21049,-4.7840
21059,-4.4448
21067,-3.2925
21073,-4.8163
21083,-4.6156
21093,-4.8838
21107,-4.6945
21111,-4.3646
21113,-4.6172
21117,-4.3696
21145,-4.4576
21151,-4.6374
21179,-4.4057
21183,-5.0138
21185,-3.8157
21199,-5.1016
21209,-4.1656
21211,-4.0694
21227,-4.0707
21233,-4.6289
21239,-3.5892
22005,-3.8384
22015,-3.7946
22017,-4.0770
22019,-4.6783
22033,-2.8560
22045,-4.4450
22051,-4.3489
22055,-4.3695
22057,-4.8765
22061,-3.4857
22063,-4.7702
22071,-2.2413
22073,-4.3234
22075,-5.0303
22079,-4.6471
22087,-4.7940
22089,-4.9072
22095,-5.1070
22097,-4.8492
22101,-4.7220
22103,-4.5198
22105,-4.7502
22109,-4.6175
22111,-4.7148
22113,-4.4012
22115,-5.2556
23001,-4.5081
