id,np_avg
08043,0.8004
08045,1.0616
08047,0.5255
08049,1.4801
08051,1.5428
08059,1.8732
08063,0.7249
08065,0.5618
08067,1.3805
08069,2.1096
08071,0.5787
08073,1.4361
08075,1.3363
08077,1.0204
08081,0.4690
08083,0.6250
08085,1.3643
08087,1.0295
08089,1.1773
08091,1.9745
08093,1.7006
08095,0.9613
08097,1.7453
08099,1.1846
08101,1.0045
08103,1.0797
08105,0.9112
08107,2.0651
08113,2.0242
08117,2.1207
08119,1.2499
08121,0.9244
08123,1.1180
08125,1.1574
09001,2.0116
09003,1.5829
09005,1.0577
09007,1.4970
09009,1.1416
09011,1.3417
09013,1.6200
09015,0.7732
10001,1.0962
10003,1.1392
10005,1.3513
11001,0.5887
12001,1.8261
12003,1.1888
12005,1.2997
12007,0.1804
12009,1.6559
12011,1.5802
12013,1.4134
12015,1.1864
12017,1.3540
12019,1.2011
12021,1.5840
12023,1.1165
12027,0.1780
12029,0.9461
12031,0.9133
12033,1.0079
12035,1.1909
12037,0.5076
12039,-0.2043
12041,1.2780
12043,0.5151
12045,1.0499
12047,-0.1829
12049,0.5996
12051,0.4994
12053,1.1152
12055,1.3174
12057,1.5339
12059,0.6380
12061,1.3300
12063,1.2886
12065,-0.4523
12067,1.1618
12069,1.0017
12071,1.3315
12073,1.7513
12075,0.4894
12077,0.2412
12079,0.2968
12081,1.1989
12083,1.0595
12085,1.4484
12086,1.4600
12087,1.2591
12089,1.4347
12091,1.6187
12093,0.6842
12095,1.5359
12097,0.7368
12099,1.6393
12101,1.0540
12103,1.1861
12105,0.8349
12107,0.7163
12109,1.9911
12111,0.6082
12113,1.7245
12115,1.9942
12117,1.9574
12119,1.6095
12121,0.5901
12123,0.6553
12125,1.3221
12127,1.0855
12129,1.2432
12131,1.4921
12133,0.8100
13001,0.6698
13005,0.6812
13009,0.1021
13011,0.5069
13013,0.4736
13015,0.7564
13017,0.3337
13019,1.2977
13021,0.1366
13023,1.6874
13025,0.6053
13027,-0.1443
13029,1.1830
13031,1.1303
13035,-0.3090
13037,0.0684
