id,mf_avg
12055,-5.6856
12057,-5.7531
12059,-5.8252
12061,-5.7048
12063,-5.7230
12065,-5.9451
12067,-5.6860
12069,-5.7264
12071,-5.6718
12073,-5.7469
12075,-5.6739
12077,-6.0760
12079,-5.8029
12081,-5.6457
12083,-5.7846
12085,-5.7517
12086,-5.7662
12087,-5.8170
12089,-5.7987
12091,-5.6539
12093,-5.6826
12095,-5.7664
12097,-5.7667
12099,-5.7691
12101,-5.7605
12103,-5.7314
12105,-5.7270
12107,-5.6543
12109,-5.7370
12111,-5.8113
12113,-5.6368
12115,-5.6870
12117,-5.6929
12119,-5.7404
12121,-5.6669
12123,-5.7335
12125,-5.6335
12127,-5.7336
12129,-5.7382
12131,-5.7672
12133,-5.7987
13001,-5.9938
13003,-5.7991
13005,-5.9125
13009,-5.8583
13011,-5.9966
13013,-5.9925
13015,-5.9347
13017,-6.0182
13019,-6.0489
13021,-6.0356
13023,-5.9915
13025,-5.6273
13027,-6.0804
13029,-5.8605
13031,-5.9733
13033,-6.0133
13035,-6.1762
13037,-5.9496
13039,-5.9587
13043,-5.9925
13045,-5.9869
13047,-5.7750
13049,-5.9251
13051,-5.9832
13053,-5.8275
13055,-5.8917
13057,-5.9179
13059,-5.9171
13063,-6.1591
13065,-6.0740
13067,-5.9500
13069,-5.8875
13071,-5.9594
13073,-5.8888
13075,-5.9619
13077,-6.0167
13079,-5.9620
13081,-5.8970
13083,-5.9490
13085,-6.1176
13087,-5.9168
13089,-6.1252
13091,-6.0543
13093,-6.2090
13095,-6.0410
13097,-6.0830
13099,-5.8312
13101,-6.1088
13103,-5.8565
13105,-5.9579
13107,-6.0486
13109,-5.9185
13111,-6.1908
13113,-5.9117
13115,-5.9040
13117,-5.8889
13119,-5.9784
13121,-5.9742
13123,-6.0913
13125,-5.8500
13127,-5.9544
13129,-5.9213
13131,-5.9824
13133,-6.3326
13135,-5.9672
13137,-5.9256
13139,-5.9512
13141,-6.2107
13143,-6.1491
13145,-5.9254
13147,-5.9249
13149,-6.0536
13151,-5.9839
13153,-5.8856
13155,-5.7959
13157,-5.9295
13159,-5.9784
13161,-5.9434
13163,-6.1506
13165,-5.8538
13167,-5.9263
13169,-5.9474
13171,-5.8810
13173,-6.0444
13175,-6.0315
13177,-5.8655
13179,-5.9542
13181,-5.9065
13183,-5.9926
13185,-5.8190
13187,-5.8610
13189,-5.9317
13191,-6.3339
13193,-6.1107
13195,-5.9278
13197,-6.0609
13199,-6.1412
13201,-6.2479
13205,-5.9842
13207,-6.0819
13209,-5.9830
13211,-5.8494
13213,-5.8012
13215,-6.0722
13217,-6.0368
13219,-5.9064
13221,-6.0507
13223,-6.0503
13225,-6.0561
13227,-6.0132
13229,-5.9056
13231,-6.0127
13233,-5.9524
13235,-5.9925
13237,-5.8898
13241,-6.0039
13243,-6.2575
13245,-6.0886
13247,-6.0263
13249,-5.8099
13251,-6.0723
13253,-5.9818
13255,-5.9755
13257,-5.8582
13259,-6.0826
13261,-6.0809
13263,-6.0599
13267,-5.9569
13269,-6.1686
13271,-5.9325
13273,-6.1881
13275,-6.0206
13277,-5.8406
13279,-6.1540
13281,-6.1095
13283,-5.9018
13285,-5.9810
13287,-5.9182
13289,-5.9967
13291,-5.9681
13293,-5.9404
13295,-5.9240
13297,-5.9862
13299,-5.9533
13301,-6.1043
13303,-6.1324
13305,-5.9853
13307,-5.9574
13309,-6.2140
13311,-5.9311
13313,-5.9019
13315,-6.1051
