id,b_coh
1303540,0.0323
1303570,-0.0045
1303600,-0.0001
1303630,-0.0672
1303660,-0.0684
1303690,0.0059
1303720,-0.0317
1303750,-0.0358
1303780,-0.0734
1303870,-0.0238
1303930,0.0599
1303960,-0.0002
1303990,0.1129
1304020,0.0508
1304050,-0.0191
1304080,-0.0481
1304140,0.0432
1304170,-0.0014
1304200,-0.0522
1304220,0.0699
1304260,0.0428
1304290,-0.1232
1304350,-0.0751
1304380,-0.0377
1304410,0.0109
1304440,-0.1073
1304500,-0.0696
1304530,0.0434
1304540,0.0678
1304560,-0.0933
1304590,0.0134
1304620,-0.0699
1304650,0.0402
1304770,0.0159
1304800,0.0238
1304830,0.0485
1304860,-0.0889
1304890,-0.0155
1304950,0.0300
1304980,-0.0530
1305040,-0.0180
1305100,0.0048
1305190,-0.0156
1305220,0.0642
1305280,-0.0088
1305310,0.0019
1305340,-0.0327
1305370,-0.0725
1305390,0.0326
1305430,0.0865
1305460,0.0109
1305490,-0.0600
1305550,0.0756
1305640,0.0336
1305730,-0.0239
1305760,0.0540
1305790,-0.0100
1305850,-0.0521
1500030,0.0584
1600360,-0.0164
1602100,0.0125
1700010,0.0166
1700110,-0.0208
1703480,0.0996
1703600,0.0063
1704680,-0.0109
1704710,0.0259
1705580,-0.0003
1705610,-0.1149
1705760,0.0333
1706000,-0.0245
1706060,0.0339
1706480,-0.1122
1706510,-0.0073
1706750,0.0146
1707170,0.0719
1708040,-0.1500
1708070,-0.0319
1708100,-0.0010
1708130,0.0147
1708340,-0.0607
1708550,-0.0333
1709270,-0.0523
1709420,-0.1958
1709930,0.0830
1709960,0.0778
1710200,-0.0537
1710470,-0.0064
1710650,-0.0715
1710950,-0.0074
1711010,0.1270
1711250,0.0752
1711790,-0.0335
1711850,-0.1198
1712000,0.0109
1712120,0.0542
1712420,-0.0779
1712450,0.0090
1712540,0.0190
1713170,0.0000
1713320,-0.2863
1713440,0.0126
1713530,0.0339
1713710,0.0047
1713770,-0.0461
1714220,-0.0495
1714460,-0.0176
1714550,0.0161
1715420,-0.0073
1715450,0.0247
1715900,-0.1298
1716080,-0.1043
1716950,0.0968
1717040,0.0425
1717280,-0.0500
1717310,-0.0830
1717800,-0.1400
1718240,0.0104
1718450,0.0113
1718480,0.0305
1718600,-0.1141
1719230,0.0131
1719530,0.0200
1719680,-0.0205
1720280,0.0061
1720580,-0.0379
1720760,-0.1031
1720880,-0.0210
1721450,-0.0075
1721600,0.2145
1722020,0.0606
1722050,0.1052
1723460,0.1265
1723970,-0.0974
1724600,0.0034
1724720,-0.0046
1724780,0.0312
1724940,-0.0036
1725020,-0.0757
1725110,-0.0792
1725920,0.0611
1726310,0.0305
1726400,-0.0469
1726970,-0.0102
1727340,0.0358
1727610,-0.0641
1727710,0.0018
1728620,-0.0352
1728890,0.1380
1729190,0.0643
1729250,0.0399
1729760,0.0555
1730220,0.0385
1730270,0.0975
1730420,-0.0246
1730510,0.1301
1730810,-0.0425
1730900,0.0094
1731140,-0.1260
1731230,-0.1596
1731740,0.0613
1732190,0.0825
1732370,-0.0657
1733000,-0.0344
1733210,-0.0949
1734410,-0.0201
1734510,-0.0118
1734740,0.1355
1734990,0.0125
1735460,-0.1121
1736300,0.0665
1736450,0.1023
1736480,0.0820
1736720,0.1465
1736750,-0.0210
1737080,0.0572
1737680,-0.0846
1738370,0.0454
1739510,0.0216
1739960,-0.1547
1740070,0.0758
1740350,0.1107
1741250,-0.0484
1741520,0.0668
1741690,0.0441
1741790,0.0005
1742180,0.0147
1742300,0.0779
1743110,-0.0534
1743860,-0.0681
1743960,-0.0076
1800030,0.0850
1800150,0.1381
1800270,0.1462
1800630,0.1074
1801020,0.2548
1801200,0.0160
1802400,0.0788
1802640,0.0804
1802850,0.0558
1802880,0.0344
1803270,0.1333
1803450,0.1612
1803630,0.0433
1803750,0.0397
1803870,-0.0197
1803940,0.0259
1804170,0.0164
1804320,0.1421
1804770,0.0391
1805370,-0.0735
1805400,0.1041
1805450,0.0595
1805460,0.2093
1805670,0.1243
1806390,0.1445
1806570,0.1385
1807260,-0.0571
1807320,0.1012
1807410,0.0087
1807650,0.0142
1808760,0.1549
1808820,0.1125
1808910,0.0564
1809150,0.0195
1809510,0.0488
