id,b_coh
22117,-0.0813
22119,0.0552
22121,0.0572
22123,-0.0209
22125,-0.0369
22127,-0.1098
23001,-0.0300
23005,0.0264
23019,-0.0559
23031,-0.0217
24001,0.0401
24003,-0.0210
24005,-0.0547
24009,-0.0372
24011,0.0433
24013,0.1302
24015,-0.0563
24017,-0.0110
24019,-0.0259
24021,0.0893
24025,0.0858
24027,-0.0211
24029,-0.1403
24031,-0.0013
24033,0.0099
24035,0.0077
24037,-0.0493
24039,0.0028
24041,-0.0031
24043,-0.1228
24045,-0.0263
24047,0.0080
24510,-0.1456
25001,-0.0568
25003,-0.0832
25005,-0.0417
25009,0.0895
25013,0.0617
25015,-0.0275
25017,0.0360
25021,-0.0004
25023,-0.0071
25025,0.0370
25027,0.0176
26017,-0.0724
26021,-0.1254
26025,-0.0922
26027,-0.0114
26045,0.0501
26049,-0.0055
26065,-0.0869
26075,0.0281
26077,-0.0200
26081,-0.0606
26091,0.0854
26099,-0.0463
26115,0.0112
26121,-0.0222
26125,-0.0490
26139,0.0310
26145,-0.0827
26147,-0.0702
26149,-0.0101
26159,-0.0286
26161,-0.0118
26163,-0.0873
27003,0.0368
27013,0.0623
27019,-0.0244
27027,-0.1587
27037,0.0114
27053,-0.0290
27067,0.0111
27099,0.0624
27109,-0.0627
27123,-0.0644
27131,-0.0656
27137,-0.0787
27139,0.1330
27141,0.0673
27145,-0.1359
27147,0.0025
27163,0.0584
27171,0.0649
28001,0.0586
28003,-0.0503
28005,0.1344
28007,0.0651
28009,-0.0133
28011,0.0213
28013,0.0387
28015,0.0560
28017,0.1984
28019,0.1961
28021,-0.0350
28023,0.0153
28025,0.0817
28027,0.1159
28029,0.0401
28031,0.0727
28033,0.0625
28035,0.0607
28037,0.1405
28039,0.0732
28041,0.0652
28043,0.1313
28047,-0.0173
28049,-0.0195
28051,-0.0502
28053,-0.1586
28057,0.0777
28059,0.1069
28061,0.1164
28063,0.0251
28065,0.0847
28067,0.0755
28069,0.2032
28071,0.1223
28073,0.0676
28075,0.0721
28077,-0.0082
28079,0.1279
28081,0.1465
28083,0.0425
28085,-0.0547
28087,-0.0132
28089,0.0319
28091,0.1373
28093,0.0362
28095,0.1217
28097,0.0649
28099,-0.0218
28101,0.0341
28103,0.0379
28105,0.1036
28107,0.1936
28109,0.0882
28111,-0.0897
28113,0.0207
28115,0.0077
28117,0.0760
28119,0.0936
28121,0.1306
28123,-0.0222
28125,-0.1118
28127,0.0814
28129,0.0640
28131,-0.0012
28133,0.0841
28135,0.1679
28137,0.0473
28139,-0.0561
28143,0.0377
28145,0.0517
28147,0.1200
28149,0.1285
28151,0.1054
28153,-0.0186
28155,0.1673
28157,0.0026
28159,0.0642
28161,-0.0135
28163,-0.0085
29019,-0.1023
29021,-0.0187
29023,-0.0083
29031,-0.0510
29037,0.0266
29047,0.0031
29051,-0.1312
29069,-0.0526
29077,-0.1219
29095,-0.0192
29097,-0.0521
29099,-0.0577
29101,-0.0022
29127,-0.0213
29133,-0.0157
29143,-0.1066
29155,0.0694
29159,0.0244
29165,-0.0491
