id,p_coh
0610770,-0.0279
0610890,0.0244
0611040,0.0247
0611110,0.0338
0611130,0.0150
0611220,0.0177
0611280,0.0923
0611460,0.1218
0611490,0.0374
0611520,0.1138
0611730,0.0402
0611760,0.0175
0611850,0.0903
0611910,0.0344
0611940,0.0308
0612030,-0.0141
0612090,0.0835
0612180,0.0418
0612210,0.0980
0612330,0.0708
0612600,-0.1692
0612630,-0.0401
0612690,-0.0392
0612750,0.1569
0612810,-0.0361
0612840,0.0175
0612880,0.0899
0612930,-0.0056
0612960,0.0791
0613080,0.1528
0613140,-0.0259
0613170,-0.0542
0613200,0.0956
0613290,0.0435
0613360,0.0116
0613470,0.0043
0613500,0.0898
0613800,0.0151
0613840,-0.0452
0613890,0.0138
0613920,-0.0362
0614070,0.0293
0614220,0.1338
0614250,0.0904
0614370,0.1347
0614400,0.0961
0614550,-0.0175
0614700,0.0626
0614730,0.0059
0614790,-0.0158
0614880,0.0458
0614940,0.1665
0614950,-0.0265
0615090,-0.0159
0615180,0.0815
0615240,0.0811
0615270,0.0075
0615510,0.0757
0615600,0.0877
0615780,0.0630
0616050,0.0321
0616080,0.0824
0616260,-0.0215
0616300,0.0068
0616320,-0.1130
0616323,-0.1179
0616325,0.0131
0616470,0.0640
0616570,0.0169
0616650,0.0049
0616680,0.0057
0616740,0.0574
0616830,0.1798
0616860,0.0242
0616920,-0.0532
0617160,0.0585
0617220,-0.0775
0617340,0.0477
0617430,0.1390
0617490,0.0256
0617850,0.0231
0618030,0.1279
0618210,0.1129
0618390,-0.0156
0618690,-0.0719
0618730,0.0720
0618840,0.0673
0618870,0.1486
0618990,0.0127
0619140,0.0667
0619260,-0.0149
0619320,-0.0673
0619440,0.0659
0619490,-0.0438
0619590,0.0287
0619620,0.0711
0619680,0.0928
0619700,0.0507
0619740,0.0683
0619770,0.2843
0619800,0.1015
0619890,-0.0795
0619950,-0.0720
0620070,-0.0393
0620190,-0.0265
0620250,0.0684
0620370,0.1339
0620460,0.0444
0620640,0.0435
0620670,0.1056
0620730,0.0808
0620760,0.0247
0620790,0.0684
0620850,-0.0110
0620880,0.0503
0621000,-0.0077
0621150,0.0049
0621210,0.0670
0621240,-0.0004
0621330,0.0850
0621360,0.1508
0621420,-0.0043
0621450,0.0481
0621690,0.0406
0621810,0.0284
0621870,0.1140
0621930,0.1107
0621990,0.1794
0622050,0.1465
0622110,0.0413
0622170,-0.0036
0622230,0.0699
0622410,0.0941
0622500,0.0359
0622560,-0.0549
0622590,0.1414
0622710,0.0364
0622740,-0.0153
0622860,-0.0657
0622890,-0.0481
0622950,-0.1381
0623010,0.0645
0623040,-0.0513
0623080,0.0348
0623130,0.0701
0623160,0.0798
0623340,-0.0661
0623430,0.0900
0623530,0.1141
0623610,0.0079
0623800,0.0897
0623820,0.1121
0623940,-0.0992
0623970,0.0933
0624000,0.0850
0624030,-0.0117
0624090,-0.0176
0624180,0.0463
0624230,0.0268
0624300,-0.0621
0624360,-0.0172
0624390,0.0426
0624500,0.1521
0624540,0.0225
0624600,0.0073
0624720,0.0514
0624750,0.1687
0624900,0.0079
0625130,-0.0731
0625190,-0.0415
0625230,-0.0530
0625320,0.0098
0625350,-0.0390
0625470,-0.0049
0625530,0.0927
0625690,0.0699
0625770,0.1237
0625800,-0.0096
0625830,0.0811
0625860,0.0482
0625980,0.0399
0626040,0.0257
0626100,0.0670
0626190,0.0123
0626220,0.0100
0626280,0.1339
0626370,0.0317
0626400,0.0774
0626490,0.0343
0626640,-0.0012
0626670,-0.0193
0626760,0.0588
0626820,-0.0308
0626910,0.0114
0626970,-0.0111
0627030,-0.1177
0627060,0.1003
0627180,0.0444
0627200,0.0862
0627240,0.0868
0627450,0.0614
0627480,0.0676
0627590,0.0852
0627690,0.0769
0627720,0.1144
0627780,-0.0111
0627810,0.0687
0627840,0.1636
0627900,-0.0215
0627930,0.0571
0628050,-0.0613
0628080,-0.0253
0628140,0.0748
0628170,0.0227
0628250,0.0454
0628270,0.0016
0628320,0.0421
0628470,-0.0473
0628530,-0.0055
0628650,0.0595
0628680,0.1413
0628710,0.0609
0628950,-0.1034
0629100,-0.0091
0629220,-0.0734
0629280,0.0487
0629370,-0.0201
0629400,-0.2003
0629430,0.1054
0629490,0.0133
0629540,0.0189
0629550,-0.0207
0629580,0.0082
0629610,0.1865
0629640,0.0454
0629670,0.1105
0629820,0.0303
0629850,0.0235
0629910,0.0024
0629940,-0.0715
0630030,0.0639
0630180,0.0711
0630230,0.0605
0630250,0.1291
0630360,0.1366
0630450,-0.0068
0630510,0.0401
0630600,0.0702
0630630,-0.0495
0630660,0.1249
0630720,0.0698
0630780,0.0019
0630840,-0.0221
0630930,0.0300
0630990,0.0678
0631050,-0.0920
0631170,0.0093
0631180,0.1533
0631290,-0.0625
0631320,0.0757
0631350,-0.0234
0631530,0.0980
0631680,-0.1235
0631710,0.0417
0631860,0.0054
0631980,0.0379
0632040,0.0712
0632070,0.0982
0632130,0.0395
0632270,0.0941
0632310,0.1327
0632370,-0.0477
0632430,-0.0545
0632550,0.0369
0632610,-0.0088
0632640,-0.0425
0632710,0.0675
0632730,-0.2487
0632760,0.0977
0632880,0.0777
0633110,0.0341
0633150,0.0359
0633240,0.0509
0633270,-0.0418
0633390,-0.0243
0633480,0.1290
0633510,0.0604
0633570,0.1179
0633600,0.0057
0633720,-0.0420
0633750,0.0579
0633840,-0.0329
0633860,0.0465
0633900,0.0705
0633930,-0.0265
0634170,0.0404
0634230,0.0026
0634320,0.0663
0634410,0.0147
0634425,0.0470
0634440,0.0555
0634590,0.0487
0634620,-0.0465
0634680,0.0242
0634710,0.0350
0634740,-0.0266
0634800,0.1631
0634880,-0.0038
0634920,0.0650
0635010,0.1217
0635070,0.0252
0635090,0.0351
0635130,0.0883
0635220,-0.0447
0635250,-0.0148
0635310,-0.0096
0635360,0.0519
0635430,0.0187
0635590,0.0495
0635600,0.1689
0635700,0.1315
0635730,0.1712
0635790,-0.0225
0635810,-0.0498
0635830,0.0094
0635880,0.0481
0635970,0.0971
0636000,-0.0411
0636030,0.0975
0636180,0.1099
0636210,0.1499
0636270,-0.0220
0636330,0.0587
0636670,0.0334
0636800,0.0681
0636805,-0.0475
0636820,0.1558
0636840,-0.0181
0636970,-0.0203
0636990,0.1173
0637050,0.0709
0637110,0.1945
0637140,0.1472
0637200,0.0839
0637230,-0.0658
0637290,0.0926
0637320,-0.0214
0637350,0.1634
0637380,0.0963
0637470,0.0410
0637500,0.1534
0637530,0.0349
0637560,-0.0276
0637590,-0.0402
0637620,0.0767
0637830,0.0823
0637890,-0.1200
0637950,0.0140
0638010,0.0060
0638130,-0.0281
0638220,0.1813
0638340,-0.0048
0638430,0.0160
0638460,0.1397
0638550,0.1043
0638640,0.0280
0638670,-0.0209
0638700,0.1178
0638770,0.1349
0638880,-0.0065
0638980,0.0289
0639000,0.0188
0639060,-0.0898
0639180,0.0220
0639300,0.0775
0639420,0.0673
0639600,-0.0941
0639630,-0.0142
0639870,-0.0208
0639940,0.0675
0640150,0.0347
0640300,0.0701
0640320,0.1149
0640380,-0.1026
0640470,-0.0389
0640590,0.0566
0640650,0.0987
0640680,0.0350
0640740,-0.0178
0640980,0.0507
0641040,-0.1081
0641130,0.1056
0641160,0.1048
0641190,-0.0169
0641250,0.0138
0641280,0.0524
0641400,0.0343
0641460,0.0171
0641580,0.0383
0641820,0.1998
0641880,-0.0140
0641980,-0.0065
0642000,0.0676
0642060,0.1154
0642120,0.0249
0642140,0.0138
0642150,0.1168
0642180,-0.0711
0642210,-0.0352
0642330,-0.0170
0642450,0.0518
0642510,0.0999
0642540,-0.0299
0642560,0.0051
0642710,0.0028
0642810,0.0269
0642930,0.0592
0642960,0.0743
0642990,0.1004
0643080,0.0466
0643170,-0.1600
0643200,-0.0601
0643380,0.0767
0643470,-0.0187
0643560,0.0779
0684500,0.0929
0691005,0.1433
0691007,0.1544
0691012,0.4972
0691021,-0.0552
0691026,-0.1373
0691029,-0.0726
0691030,0.8298
0691031,0.1513
0691035,0.0973
0691045,0.0299
0691078,0.2413
0691134,-0.0822
0691135,-0.0221
0691136,0.2545
0801950,-0.0106
0802340,-0.1100
0802580,-0.1088
0803360,0.0306
0803540,-0.1850
0803990,-0.0269
0804080,-0.0871
0804410,-0.0053
0804800,-0.1035
0805310,-0.0646
0805370,-0.0391
0805550,0.0248
0805790,-0.0348
0806120,-0.1214
0806150,-0.0552
0806480,0.0199
0806900,-0.0558
0807230,-0.0145
0900060,-0.0628
0900070,-0.0403
0900210,-0.0222
0900270,-0.0346
0900330,0.0617
0900420,0.0535
0900450,-0.0599
0900510,0.0240
0900570,0.0528
0900700,-0.1214
0900750,0.0217
0900810,0.0610
0900840,0.0739
0900960,0.1070
0900990,-0.0091
0901020,0.0313
0901110,0.0423
0901260,0.0136
0901290,-0.0130
0901320,0.0292
0901350,0.0531
0901470,-0.0206
0901530,-0.0087
0901560,0.0446
0901620,0.0696
0901710,0.1126
0901740,0.0695
0901770,0.0396
0901800,-0.0033
0901860,0.0265
0901920,0.0004
0902070,0.0350
0902160,-0.0514
0902310,-0.0799
0902340,0.0443
0902400,0.0296
0902490,0.0034
0902520,-0.0378
0902550,0.0898
0902580,0.0691
0902640,0.0145
0902670,0.0440
0902790,-0.0173
0902820,0.0161
0902850,-0.0065
0902880,0.0243
0902910,-0.0033
0902970,0.0778
0903030,0.0521
0903090,0.0227
0903120,-0.0285
0903270,0.0112
0903300,-0.0256
0903330,0.0238
0903390,0.0706
0903450,-0.0103
0903480,0.0487
