id,pn_coh
05089,0.0223
05091,-0.0162
05093,0.0395
05101,-0.0335
05103,0.0164
05105,0.0889
05109,0.0320
05111,0.0284
05113,-0.0401
05115,-0.0031
05117,-0.0196
05119,-0.0584
05121,0.0286
05125,-0.0070
05127,-0.0517
05129,-0.0642
05131,-0.0382
05133,-0.0350
05135,-0.0034
05137,-0.0089
05139,-0.0319
05141,0.0338
05143,-0.0150
05145,0.0290
05149,-0.0668
06001,0.1187
06005,-0.0281
06007,0.0392
06009,0.0265
06011,-0.0124
06013,0.0950
06015,0.0206
06017,0.0453
06019,0.0056
06021,0.0245
06023,0.0651
06025,0.0322
06027,0.0069
06029,0.0258
06031,0.0359
06033,-0.1306
06035,-0.0282
06037,0.0285
06039,0.0849
06041,0.0090
06043,0.1070
06045,0.0168
06047,0.0111
06049,0.0524
06051,0.0285
06053,0.0114
06055,0.0281
06057,-0.0185
06059,0.0867
06061,0.0393
06063,0.0391
06065,0.0499
06067,0.0350
06069,-0.0115
06071,0.0577
06073,0.0409
06075,0.1126
06077,-0.0117
06079,0.0124
06081,0.0548
06083,0.0062
06085,0.0515
06087,0.0137
06089,0.0502
06093,0.0010
06095,0.0129
06097,0.0025
06099,0.0147
06101,0.0036
06103,0.0110
06105,-0.0038
06107,0.0033
06109,0.0236
06111,0.0621
06113,0.0404
06115,0.0669
08001,0.0087
08005,0.0628
08013,-0.0084
08031,0.0089
08041,-0.0083
08059,0.0564
08069,0.0329
08101,0.0636
08123,-0.0229
09001,0.0225
09003,-0.0209
09005,-0.0130
09007,-0.0149
09009,-0.0085
09011,0.0013
09013,-0.0003
09015,-0.0373
10001,0.0359
10003,0.0477
10005,0.0148
11001,0.2827
12001,-0.0170
12003,0.0113
12005,0.0128
12007,0.0274
12009,-0.0095
12011,0.0308
12013,0.0075
12015,0.0092
12017,0.0251
12019,-0.0302
12021,0.0161
12023,-0.0078
12027,-0.0353
12031,-0.0439
12033,-0.0268
12035,-0.0052
12039,-0.0337
12041,-0.0329
12043,0.0077
12045,0.0456
12047,-0.0865
12049,-0.0442
12051,-0.0320
12053,-0.0029
12055,0.0395
12057,0.0028
12059,0.0177
12061,0.0323
12063,-0.0090
12067,-0.0381
12069,0.0318
12071,-0.0082
12073,-0.0357
12075,-0.0702
12077,0.0103
12079,-0.1606
12081,0.0164
12083,0.0290
12085,-0.0314
12086,0.0254
12087,-0.0272
12089,0.0276
12091,-0.0144
12093,0.0955
12095,-0.0180
12097,-0.0236
12099,-0.0084
12101,0.0385
12103,-0.0381
12105,-0.0562
12107,0.0088
12109,-0.0389
12111,-0.0180
12113,-0.0024
12115,-0.0151
12117,0.0324
12119,0.0270
12121,-0.0872
12123,-0.0870
12125,-0.0459
12127,0.0108
12129,0.0096
