id,wb_coh
17197,0.0161
17199,-0.0216
17201,0.0316
18003,0.0070
18019,0.0065
18035,0.0052
18039,-0.0269
18043,0.0228
18053,-0.0695
18057,0.0478
18059,0.0754
18063,-0.0718
18067,0.0800
18081,0.0523
18089,0.0465
18091,-0.0531
18095,-0.0440
18097,-0.0035
18105,0.0356
18127,0.0108
18141,0.0547
18157,-0.0234
18163,0.0162
18167,-0.0056
19013,-0.0039
19033,0.1029
19045,0.0009
19049,0.0708
19057,0.0381
19061,0.0894
19103,0.0917
19113,0.0780
19153,0.0551
19155,0.0122
19163,0.1026
19169,0.0227
19187,0.0849
19193,0.0193
20045,0.0409
20061,0.0014
20091,0.0510
20103,0.0545
20125,-0.0631
20155,0.0243
20161,0.1039
20169,0.0215
20173,0.0463
20177,0.0797
20209,0.0723
21009,0.0355
21015,0.0650
21021,0.0796
21037,0.0260
21047,0.0456
21049,0.0678
21059,0.0887
21067,0.1070
21073,0.0133
21083,0.0588
21093,0.0915
21101,0.0713
21107,0.0081
21111,0.0684
21113,0.0461
21117,0.0322
21141,-0.0096
21145,0.1016
21151,-0.0031
21179,0.0300
21185,0.0010
21209,0.0667
21211,-0.0043
21213,0.0325
21227,0.0925
22001,0.0486
22003,0.0097
22005,0.0297
22007,0.0344
22009,0.0964
22011,0.0371
22013,0.0184
22015,0.0352
22017,-0.0090
22019,-0.0102
22021,-0.0130
22025,0.0222
22027,0.0394
22029,0.0251
22031,0.0340
22033,0.0084
22037,0.0456
22039,-0.0343
22041,-0.0768
22043,0.0134
22045,0.0198
22047,0.0088
22049,0.0061
22051,0.0075
22053,0.0303
22055,-0.0072
22057,0.0103
22059,-0.0725
22061,0.0676
22063,-0.0481
22067,0.0546
22069,0.0705
22071,-0.0637
22073,0.0312
22075,0.0333
22077,-0.0283
22079,0.0056
22081,-0.0003
22083,0.0366
22085,-0.0183
22087,-0.0063
22089,-0.0124
22093,0.0062
22095,0.0208
22097,-0.0094
22099,-0.0616
22101,0.0243
22103,-0.0175
22105,0.0118
22109,0.0078
22111,0.0507
22113,0.0359
22115,-0.0208
22117,0.0560
22119,-0.0038
22121,-0.0366
22123,-0.0221
22125,0.0272
22127,0.1197
23001,0.0437
23005,-0.0127
23019,0.0366
23031,0.0062
24001,-0.0210
24003,-0.0025
24005,0.0351
24009,-0.0145
24011,-0.0820
24013,-0.0788
24015,0.0447
24017,0.0240
24019,-0.0083
24021,-0.0349
24025,0.0487
24027,-0.0202
24029,0.0935
24031,-0.0279
24033,-0.0426
24035,-0.0046
24037,0.0103
24039,-0.0329
24041,-0.0072
24043,0.0192
24045,0.0182
24047,-0.0216
24510,0.1034
25001,0.0136
25003,0.0523
25005,0.0434
25009,-0.0745
25013,-0.0488
25015,0.0353
25017,-0.0191
25021,0.0054
25023,0.0062
25025,0.0468
25027,-0.0169
26017,0.0501
26021,0.1495
26025,0.0791
26027,0.0683
26045,0.0158
26049,0.0175
26065,0.1157
26075,-0.0261
26077,0.0456
26081,0.0753
26091,-0.0333
26099,0.0662
26111,0.0268
26115,0.0375
26121,0.0483
26125,0.0185
26139,0.0285
26145,0.1377
26147,0.0846
26149,0.0086
26159,0.0527
26161,0.0437
26163,0.1143
27003,0.0106
27013,0.0018
27019,0.0462
27027,0.1735
27037,0.0070
27053,0.0659
27067,0.1122
27099,-0.0606
27109,0.0367
27123,0.1019
27131,0.0833
27137,0.1155
27139,-0.0349
27141,0.0550
27145,0.1751
27147,0.0081
27163,-0.0176
27171,0.0112
28003,0.1008
28007,-0.0717
28009,0.1571
28011,-0.0581
28013,0.0650
28017,-0.0441
28019,0.0338
28023,-0.0172
28025,-0.0222
28029,0.0957
28031,-0.0036
28033,0.0165
28035,0.0768
28037,0.0201
28039,0.0192
28041,-0.0049
28043,-0.0221
28047,0.0276
28049,0.1524
28057,0.0087
28059,0.0047
28061,0.0360
28067,-0.0288
28071,0.0058
28073,-0.0372
28075,-0.0461
28077,0.0018
28079,-0.0948
28081,-0.0201
28085,0.0709
28087,0.1464
28089,0.0243
28091,0.0089
28093,-0.0026
28095,-0.0180
28097,-0.0674
28099,0.0170
28101,0.0507
28105,-0.0245
28107,-0.0544
28109,-0.0526
28111,0.0541
28113,0.0453
28115,0.0148
28117,0.0054
28121,-0.0060
28123,-0.0434
28127,0.0117
28129,0.0282
28131,0.0478
28135,-0.0569
28137,0.0376
28139,0.0133
28145,0.0525
28147,-0.0936
28149,-0.0486
28151,-0.0575
28153,-0.0039
28155,0.0003
28159,0.0888
28161,0.0070
28163,-0.0551
29019,0.0869
29021,0.0135
29023,-0.0260
29031,0.0232
29037,-0.0125
29047,0.0045
29051,0.0004
29069,-0.0607
29077,0.0497
29095,0.0115
29097,0.0089
29099,0.0604
29101,0.0111
29127,0.0274
29133,-0.0438
29143,0.0316
29155,-0.0357
29159,-0.0162
29165,0.0493
29169,0.0065
29183,0.0099
29189,0.0432
29201,0.0111
29510,0.1283
30013,-0.0226
30111,0.0605
31055,-0.0348
31109,0.0566
31153,0.0157
32003,0.1021
32031,0.0863
33011,-0.0969
34001,0.0420
34003,0.0170
34005,-0.0065
34007,-0.0088
34009,0.0084
34011,0.0059
34013,0.0197
34015,0.0037
34017,-0.0686
34019,0.0320
34021,0.0397
34023,0.0079
34025,0.0321
34027,-0.0173
34029,0.0536
34031,-0.0512
34033,0.0355
34035,-0.0033
34037,-0.0222
34039,-0.0206
34041,-0.0558
35001,0.0187
35009,-0.0313
35013,-0.0037
35025,-0.0497
35035,0.0280
35043,0.0383
36001,-0.0070
36007,0.0555
36015,0.0544
36027,0.0551
36029,0.0439
36045,-0.0171
36055,0.1587
36059,0.0599
