id,pn_avg
06077,-3.6559
06079,-3.4139
06081,-2.4178
06083,-2.8190
06085,-2.0428
06087,-2.7982
06089,-4.0635
06093,-3.9184
06095,-3.5283
06097,-3.3907
06099,-3.6683
06101,-4.0400
06103,-3.8881
06105,-4.0389
06107,-3.4943
06109,-4.0593
06111,-2.7865
06113,-2.6483
06115,-3.9504
08001,-3.4533
08003,-3.1322
08005,-2.7440
08007,-3.8824
08013,-2.5582
08015,-3.7330
08019,-4.2109
08021,-4.4015
08029,-4.3913
08031,-2.3380
08035,-3.8198
08037,-3.2238
08039,-4.3881
08041,-3.7741
08043,-4.3370
08045,-3.6013
08049,-3.4637
08051,-3.4752
08059,-3.2750
08063,-4.0001
08065,-3.4261
08067,-3.5740
08069,-3.1110
08071,-4.3201
08073,-4.0427
08075,-3.9881
08077,-4.0001
08081,-3.8945
08083,-3.7969
08085,-3.5620
08087,-3.7910
08089,-3.5731
08093,-4.1829
08095,-4.1721
08099,-3.7096
08101,-3.9128
08103,-3.8456
08105,-3.6243
08107,-3.7192
08113,-3.4807
08117,-2.6962
08119,-4.0897
08121,-4.3184
08123,-3.3720
08125,-3.8584
09001,-2.2094
09003,-2.3947
09005,-3.9457
09007,-3.4200
09009,-3.0004
09011,-3.1640
09013,-3.3982
09015,-3.5800
10001,-3.7991
10003,-3.1438
10005,-3.7991
11001,-2.8343
12001,-2.4838
12003,-3.8881
12005,-3.6448
12007,-4.1798
12009,-3.6568
12011,-3.4177
12013,-4.0354
12015,-4.0780
12017,-4.1736
12019,-4.1869
12021,-3.2839
12023,-3.8525
12027,-4.3343
12029,-4.1692
12031,-3.6302
12033,-3.5063
12035,-4.1880
12037,-4.3430
12039,-4.8180
12041,-4.2485
12043,-4.6203
12045,-4.0582
12047,-4.4646
12049,-4.1715
12051,-4.1129
12053,-4.0494
12055,-3.4725
12057,-3.0697
12059,-4.1882
12061,-3.4823
12063,-3.8253
12065,-4.1835
12067,-3.7165
12069,-3.8547
12071,-3.7695
12073,-2.9113
12075,-4.2548
12077,-4.5532
12079,-3.4249
12081,-3.1957
12083,-3.7036
12085,-3.6882
12086,-3.5961
12087,-3.8559
12089,-4.1410
12091,-3.9146
12093,-3.8854
12095,-3.2960
12097,-4.0051
12099,-3.2846
12101,-3.7553
12103,-3.4003
12105,-3.7261
12107,-3.8657
12109,-3.1373
12111,-4.1294
12113,-3.9283
12115,-3.6476
12117,-3.3682
12119,-3.7794
12121,-4.0190
12123,-4.0872
12125,-3.9679
12127,-3.7926
12129,-4.1270
12131,-3.7997
12133,-4.0909
13001,-3.8113
13005,-4.1088
13009,-4.0598
13011,-4.6432
13013,-4.2578
13015,-4.0067
13017,-4.0049
13019,-3.9315
13021,-3.4368
13023,-3.4562
13025,-4.3887
13027,-4.6771
13029,-3.7757
13031,-3.3128
13035,-4.2761
