id,f_grd
0600033,0.8991
0600034,0.9583
0600035,0.9798
0600036,1.0462
0600038,1.0338
0600039,1.1005
0600040,0.7420
0600043,1.0501
0600044,1.0996
0600045,0.9395
0600046,1.0525
0600047,0.9844
0600048,1.0567
0600049,1.2098
0600051,0.9279
0600052,1.1312
0600060,1.0330
0600061,1.0435
0600062,0.8878
0600063,1.1163
0600064,0.9046
0600065,0.8830
0600067,1.0323
0600068,1.0685
0600069,1.0140
0600116,0.9441
0600153,1.1283
0600158,1.0734
0600159,1.0029
0600160,1.1590
0601331,1.2607
0601332,0.9408
0601339,1.1218
0601409,1.1759
0601410,1.1094
0601415,0.8992
0601620,1.1347
0601680,1.0817
0601710,0.7829
0601770,1.0571
0601860,1.1835
0601950,1.0854
0602100,0.8661
0602160,0.9772
0602220,0.8923
0602310,1.0096
0602360,0.9589
0602430,1.0465
0602450,1.0260
0602610,0.9113
0602760,1.2147
0602850,0.9455
0602970,1.0931
0603000,1.3216
0603060,1.3285
0603180,0.9407
0603270,1.0319
0603300,1.1079
0603420,0.9334
0603480,1.1509
0603600,0.9577
0603630,0.9889
0603690,0.9990
0603840,0.7996
0604020,0.9145
0604080,1.0651
0604110,1.0940
0604200,1.1593
0604230,1.0702
0604260,1.1488
0604290,0.9170
0604380,1.0966
0604440,0.9736
0604530,1.1636
0604620,0.9743
0604650,1.0057
0604740,1.0894
0604800,1.0849
0604830,1.2028
0605040,0.9207
0605240,0.9420
0605280,1.1826
0605580,1.1161
0605610,0.9203
0605670,1.1604
0605790,0.9656
0605880,1.1076
0605910,1.1432
0606030,1.0400
0606060,1.2571
0606090,1.0770
0606270,1.0520
0606330,1.1935
0606360,0.9583
0606390,0.9972
0606450,0.9954
0606480,1.2770
0606570,0.7584
0606750,1.0117
0606780,1.0313
0606810,1.0395
0606870,1.1009
0606900,1.0788
0606990,0.8754
0607020,1.0714
0607140,1.0685
0607170,1.0296
0607200,0.9505
0607440,1.2081
0607470,1.1233
0607500,1.0077
0607530,1.0546
0607560,1.0109
0607680,1.0218
0607740,1.0344
0607800,0.9106
0607900,0.9230
0607950,0.9914
0607970,0.8761
0607980,0.9501
0608070,0.8926
0608130,0.8991
0608190,0.9583
0608250,1.1398
0608370,1.2169
0608460,1.0135
0608520,0.9516
0608610,1.0886
0608760,1.0642
0608970,1.0430
0609030,0.9784
0609070,0.9456
0609120,0.8899
0609330,1.0161
0609390,0.9429
0609450,1.1523
0609480,1.0986
0609570,1.1383
0609620,0.7356
0609640,1.1100
0609690,0.8030
0609780,0.8513
0609850,1.0061
0609870,1.0748
0609940,0.9201
0609990,1.0700
0610050,1.0226
0610260,1.0701
0610290,1.1735
0610320,0.7486
0610350,0.8055
0610380,0.9889
0610440,1.2395
0610620,1.3017
0610710,1.1659
0610740,1.1741
0610770,1.0315
0610890,1.0217
0611040,0.7862
0611110,0.9674
0611220,1.1407
0611280,1.1419
0611460,1.0190
0611490,0.9512
0611520,0.9483
0611730,1.0345
0611760,1.0259
0611850,0.9770
0611910,1.0008
0611940,1.1678
0612030,1.0212
0612090,1.2142
0612180,1.0983
0612210,1.0745
0612330,1.0425
0612630,0.7893
0612690,1.0855
0612750,1.1475
0612810,1.0394
0612840,1.0325
0612880,1.0605
0612930,0.9484
0612960,1.0865
0613080,1.1258
0613140,1.0480
0613170,0.9489
0613200,0.9569
0613290,1.0037
0613360,0.9735
0613470,1.0758
0613500,1.1457
0613800,0.9698
0613840,0.8449
0613890,1.0461
0613920,0.9386
0613980,0.9508
0614010,1.1159
0614070,1.0777
0614220,1.1257
0614250,1.0529
0614340,0.9846
0614370,1.0562
0614400,1.1930
0614550,0.8987
0614700,1.0693
0614730,1.0699
0614790,0.9667
0614880,1.1410
0614940,1.1955
0614950,0.9283
0615180,1.1452
0615240,1.0708
0615270,1.0600
0615390,1.1783
0615450,1.0461
0615510,1.0903
0615600,1.1864
0615690,1.0305
0615780,1.1571
0615840,1.2240
0616050,0.9831
0616080,1.0509
0616260,1.0236
0616300,1.0900
0616323,1.0610
0616325,1.0354
0616470,1.1072
0616570,0.9744
0616620,1.2862
0616650,1.0536
0616680,0.9660
0616740,1.1560
0616830,1.0889
0616860,1.0330
0616920,0.9082
0617040,1.0248
0617160,1.2112
0617190,0.9807
0617220,0.9885
0617340,1.0443
0617430,1.2386
0617490,1.0450
0617850,1.0933
0618030,1.0220
0618210,1.1400
0618390,0.7681
0618660,1.0901
0618730,1.0889
0618840,1.1179
0618870,1.0879
0618990,1.0610
0619140,1.1356
0619260,0.9382
0619320,0.9642
0619380,1.2302
0619440,1.0514
0619490,0.9812
0619590,0.8375
0619620,1.0369
0619680,0.9551
0619700,1.1632
0619740,1.2261
0619770,1.2311
0619800,1.0788
0619890,1.0000
0619950,0.8861
0620040,1.1177
0620070,0.9294
0620130,1.1954
0620190,0.8997
0620250,1.0908
0620310,1.0964
0620370,1.1971
0620460,1.0860
0620640,1.0355
0620670,1.1177
0620730,1.0188
0620790,1.0775
0620850,0.9287
0620880,1.0631
0620910,1.0167
0621000,1.0178
0621150,0.9915
0621210,0.9990
0621240,1.0327
0621330,1.0296
0621360,1.1411
0621420,0.9389
0621450,0.9744
0621690,1.1146
0621810,1.0038
0621870,1.2229
0621930,0.9989
0621990,1.1526
0622050,1.1545
0622110,0.9927
0622170,0.8613
0622230,1.0759
0622350,1.0337
0622380,1.0750
0622410,1.0574
0622500,0.9811
0622560,1.0970
0622590,1.0411
0622650,1.1117
0622710,0.9042
0622740,0.9188
0622830,1.1961
0622890,0.9212
0622950,0.8120
0623010,1.0365
0623080,1.0168
0623130,1.1069
0623160,0.8908
0623340,0.9092
0623430,0.9195
0623530,1.1752
0623610,1.0445
0623800,1.2093
0623940,1.0410
0623970,1.0091
0624000,1.1533
0624030,0.8652
0624090,0.8623
0624180,1.0381
0624230,1.0676
0624300,1.0766
0624360,1.0486
0624390,1.0427
0624500,1.2673
0624540,0.9970
0624570,1.1912
0624600,0.9487
0624720,1.3009
0624750,1.1282
0624870,1.1384
0624900,1.0731
0625130,0.9299
0625190,0.9697
0625230,0.9195
0625320,1.0698
0625350,0.8574
0625470,0.9844
0625530,1.0270
0625690,1.0182
0625740,1.0226
0625770,1.0456
0625800,0.9488
0625830,1.0660
0625860,1.0501
0625980,1.0929
0626040,1.1093
0626100,1.1809
0626190,0.9626
0626220,0.8500
0626280,1.0776
0626370,0.9627
0626400,1.0263
0626490,0.9115
