id,f_coh
19097,0.0414
19099,0.0787
19101,0.0419
19103,0.0456
19105,0.0155
19107,0.0763
19109,0.0110
19111,0.0212
19113,0.0174
19115,0.0506
19117,-0.0542
19119,0.0098
19121,0.1214
19123,-0.0760
19125,0.0476
19127,0.1128
19129,0.0960
19131,0.0416
19133,-0.0395
19135,0.0930
19137,0.0952
19139,-0.0768
19141,0.0214
19143,0.0920
19145,0.1340
19147,-0.0160
19149,0.0875
19151,0.0266
19153,0.0786
19155,0.0234
19157,0.1035
19159,-0.0033
19161,0.0503
19163,0.0305
19165,-0.0209
19167,-0.0196
19169,0.0825
19171,0.0761
19173,0.0966
19175,0.0486
19177,0.0032
19179,0.0352
19181,0.1188
19183,0.0321
19185,0.0060
19187,-0.0453
19189,0.0222
19191,0.0782
19193,0.0729
19195,0.0593
19197,0.0833
20001,-0.1012
20003,0.0412
20005,-0.0852
20007,0.0117
20009,-0.1559
20011,0.0099
20013,0.0134
20015,-0.0019
20021,-0.0456
20027,-0.1637
20029,-0.0900
20031,0.1144
20035,-0.0516
20037,0.0279
20041,-0.0779
20043,0.0294
20045,0.0218
20051,-0.1063
20053,-0.0242
20055,-0.0483
20057,-0.0473
20059,-0.0686
20061,-0.0669
20067,-0.1037
20069,-0.0279
20073,-0.0693
20077,0.0074
20079,-0.1184
20081,0.0158
20085,0.0075
20087,-0.0530
20091,0.0132
20093,0.0216
20095,0.0254
20099,-0.0267
20103,0.0005
20107,-0.0151
20111,0.0191
20113,-0.0327
20115,-0.0039
20117,-0.0157
20121,-0.0359
20123,-0.0052
20125,0.0417
20127,-0.0023
20129,0.0820
20131,-0.0136
20133,0.0431
20137,0.0537
20139,0.0069
20143,0.0027
20145,-0.0531
20147,-0.0721
20149,-0.0557
20151,-0.1288
20155,-0.0365
20157,0.0361
20159,0.0001
20161,0.0665
20163,-0.1318
20167,-0.0297
20169,-0.0529
20171,0.0056
20173,0.0059
20175,0.0168
20177,-0.0035
20179,0.0796
20181,0.1174
20183,-0.0637
20185,-0.0383
20189,-0.1278
20191,-0.0294
20193,-0.0145
20197,0.0197
20201,-0.1206
20205,-0.1157
20209,-0.0652
21001,-0.0380
21003,0.0003
21005,0.0171
21007,-0.0508
21009,0.0042
21011,0.0536
21013,-0.0875
21015,-0.0101
21017,-0.0350
21019,0.0366
21021,0.0136
21023,-0.0607
21025,-0.2325
21027,0.0869
21029,0.0227
21031,-0.1025
21033,-0.0282
21035,0.1343
21037,0.0113
21039,0.0728
21041,-0.0676
21043,0.0536
21045,0.0908
21047,-0.0096
21049,0.0977
21051,0.0585
21053,-0.0348
21055,0.0422
21057,0.0883
21059,-0.0685
21061,0.1194
21063,0.0511
21065,-0.0842
21067,-0.1036
21069,0.0496
21071,0.0674
21073,-0.0044
21075,-0.0928
21077,-0.0524
21079,-0.0015
21081,-0.0311
21083,-0.0915
21085,0.0155
21087,-0.0247
21089,0.0964
21091,-0.0848
21093,0.0585
21095,0.0374
21097,-0.0094
21099,-0.1044
21101,0.0388
21103,-0.0379
21105,-0.0286
21107,0.0794
21109,-0.0245
21111,0.0510
21113,0.0240
21115,-0.0165
21117,0.0620
21119,0.0160
21121,-0.0101
21123,0.0534
21125,0.0767
21127,0.0561
21129,0.1812
21131,-0.0460
21133,0.0883
21135,-0.0133
21137,-0.0214
21139,0.0377
21141,0.0338
21143,-0.0294
21145,0.0592
21147,-0.0343
21149,-0.0773
21151,-0.0181
21153,-0.0526
21155,0.0420
21157,0.0253
21159,-0.0187
21161,-0.0340
21163,0.0510
21165,0.0077
21167,0.0793
21169,0.0194
21171,-0.0369
21173,0.1893
21175,0.0510
21177,0.0062
21179,0.0590
21181,0.0208
21183,-0.0677
21185,-0.0034
21187,-0.0144
21189,-0.0893
21191,-0.0737
21193,-0.0093
21195,-0.0173
21197,0.0411
21199,0.0530
21203,-0.0547
21205,0.0279
21207,-0.0412
21209,0.0089
21211,-0.0027
21213,-0.0389
21215,0.1479
21217,-0.0810
21219,-0.0632
21221,-0.0848
21223,0.0200
21225,-0.0584
21227,0.0178
21229,0.0344
21231,-0.1094
21233,-0.0013
21235,0.0008
21237,0.0074
21239,0.0128
22001,0.1328
22003,0.0210
22005,0.1420
22007,0.0850
22009,-0.0055
22011,-0.0131
22013,0.0646
22015,0.0611
22017,0.0154
22019,-0.0046
22021,0.0125
22023,0.0763
22025,-0.0356
22027,-0.0326
22029,0.0065
22031,0.1219
22033,0.0925
22035,-0.0545
22037,0.1040
22039,0.0703
22041,0.0465
22043,0.0502
22045,0.0765
22047,0.0990
22049,-0.0896
22051,0.0961
22053,-0.0585
22055,0.0191
22057,0.1270
22059,0.0343
22061,0.0575
22063,0.0764
22065,0.0025
22067,-0.1104
22069,0.0911
22071,0.1238
22073,-0.0478
22075,0.1305
22077,0.0472
22079,-0.0176
22081,-0.0914
22083,-0.0780
22085,-0.0861
22087,0.0621
22089,0.1701
22091,0.0873
22093,0.0441
22095,0.0226
22097,0.0016
22099,0.0436
22101,0.0697
22103,0.0612
22105,0.0216
22107,-0.0547
22109,0.0603
22111,0.0777
22113,0.0869
22115,0.0468
22117,-0.0092
22119,0.0805
22121,0.0690
22123,-0.0303
22125,0.0002
22127,-0.0263
23001,-0.0052
23003,0.0111
23005,0.0146
23007,-0.0429
23009,0.0211
23011,0.0154
23013,-0.0100
23015,0.0146
23017,-0.0047
23019,0.0005
23021,0.0105
23023,0.0087
23025,0.0216
23027,-0.0047
23029,0.0181
23031,-0.0200
24001,0.0455
24003,-0.0159
24005,-0.0140
24009,-0.0237
24011,-0.0181
24013,0.0649
24015,-0.0061
24017,0.0113
24019,-0.0114
24021,0.0688
24023,-0.0016
24025,0.1386
24027,-0.0243
24029,-0.0531
24031,-0.0160
24033,0.0068
24035,-0.0077
24037,-0.0317
24039,0.0212
24041,-0.0216
24043,-0.0733
24045,-0.0094
24047,-0.0155
24510,-0.1199
25001,-0.0390
25003,-0.0238
25005,0.0120
25007,-0.0570
25009,0.0291
25011,0.0213
25013,0.0443
25015,0.0005
25017,0.0288
25019,-0.0372
25021,0.0205
25023,-0.0065
25025,0.0579
25027,0.0099
26001,-0.0382
26003,0.0920
26005,0.0257
26007,0.0490
26009,0.0255
26011,0.1234
26013,0.0425
26015,0.0286
26017,-0.0025
26019,-0.0717
26021,0.0021
26023,0.0631
26025,0.0033
26027,0.0458
26029,0.1096
26031,0.0035
26033,0.0699
26035,0.0975
26037,0.0339
26039,0.0611
26041,0.0199
26043,0.0844
26045,0.0953
26047,0.0451
26049,0.0296
26051,0.1305
26053,0.0209
26055,0.0559
26057,-0.0352
26059,0.0598
26061,0.0336
26063,0.0398
26065,0.0195
26067,0.0654
26069,0.0845
26071,0.1285
26073,-0.0286
26075,0.0045
26077,0.0287
26079,-0.0086
26081,0.0150
26085,0.0280
26087,0.0166
26089,0.0045
26091,0.0769
26093,0.0145
26095,0.1528
26097,0.0398
26099,0.0142
26101,0.0425
26103,0.0204
26105,0.0048
26107,0.0101
26109,0.0521
26111,0.0026
26113,-0.0337
26115,0.0540
26117,0.0120
26119,-0.0069
26121,0.0321
26123,-0.0317
26125,-0.0136
26127,-0.0074
26129,0.1234
26131,0.0065
26133,-0.0004
26135,0.0711
26137,0.0435
26139,0.0780
26141,0.0064
26143,-0.0481
26145,0.0286
26147,0.0355
26149,0.0141
26151,0.0306
26153,0.1371
26155,0.0141
26157,0.0348
26159,0.0239
26161,0.0545
26163,0.0097
26165,0.0416
27001,-0.0875
27003,0.0223
27005,0.0182
27007,0.0311
27009,0.0078
27011,-0.0385
27013,0.0389
27015,0.0231
27017,0.0113
27019,0.0081
27021,-0.0410
27023,0.0145
27025,0.0144
27027,0.0141
27029,-0.0227
27033,-0.0433
27035,0.0159
27037,-0.0058
27039,0.0265
27041,0.0833
27043,-0.0759
27045,-0.0264
27047,0.0017
27049,0.0236
27051,0.0410
27053,-0.0013
27055,-0.0560
27057,0.0084
27059,0.0747
27061,0.0103
27063,-0.1719
27065,0.0689
27067,0.0710
27069,-0.0182
27071,-0.0015
27073,0.0442
27075,0.0114
27079,0.0282
27081,-0.1399
27083,-0.0198
27085,0.0455
27087,-0.0284
27089,-0.0310
27091,-0.0222
27093,0.0336
27095,0.0505
27097,-0.0068
27099,-0.0529
27101,0.0300
27103,0.0616
27105,-0.0075
27107,-0.0580
27109,-0.0625
27111,0.0246
27113,-0.0496
27115,-0.0231
27117,-0.1438
27119,-0.0419
27121,0.0286
27123,-0.0306
27125,0.1118
27127,0.0107
27129,0.0607
27131,-0.0070
27133,0.0319
27135,0.0158
27137,0.0263
27139,0.0987
27141,0.1405
27143,-0.0193
27145,-0.0066
27147,0.0036
27149,0.0789
27151,-0.0908
27153,-0.0272
27155,0.0055
27157,0.0617
27159,0.0773
27161,-0.0499
27163,0.0295
27165,0.0607
27167,0.0375
27169,0.0476
27171,0.0754
27173,0.0004
28001,0.0722
28003,0.0281
28005,0.1648
28007,0.0346
28009,0.1070
28011,0.0222
28013,0.0504
28015,0.0907
28017,0.1454
28019,0.2165
28021,0.0108
28023,0.0308
28025,0.1094
28027,0.1120
28029,0.0887
28031,0.0327
28033,0.0542
28035,0.1091
28037,0.1717
28039,0.1140
28041,0.0857
28043,0.1009
28045,0.0221
28047,-0.0163
28049,-0.0157
28051,-0.0458
28053,-0.1471
28057,0.1278
28059,0.1012
28061,0.1638
