id,wh_grd
09007,0.0321
09009,0.0862
09011,0.0724
09013,-0.0174
09015,0.1265
10001,0.0280
10003,0.0745
10005,-0.0054
11001,0.2479
12005,-0.0268
12011,0.0206
12015,-0.0172
12017,-0.0548
12019,-0.0126
12021,0.0492
12023,0.0361
12027,-0.0581
12031,0.0471
12033,0.0829
12035,-0.0399
12043,0.0074
12049,0.0254
12051,-0.0316
12053,-0.0021
12055,0.0300
12057,0.0487
12061,0.0648
12069,-0.0294
12071,0.0152
12073,0.0190
12075,-0.0701
12081,0.0191
12083,0.0255
12085,0.0222
12086,0.0560
12087,0.0643
12089,-0.0761
12093,-0.0532
12095,0.0609
12097,0.0488
12099,0.0236
12101,-0.0231
12103,0.0069
12105,-0.0099
12107,-0.0702
12109,-0.0559
12111,-0.0295
12113,0.0325
12115,0.0376
12117,0.0365
12119,-0.0113
12121,-0.0519
12127,0.0224
12131,-0.0411
13001,-0.0445
13003,-0.0250
13013,-0.0007
13015,-0.0327
13017,-0.0329
13021,-0.0074
13029,-0.0412
13031,-0.0066
13039,-0.0060
13043,0.0030
13045,0.0033
13047,0.0173
13051,0.0836
13055,-0.0967
13057,0.0143
13059,0.0980
13063,-0.0738
13067,0.1139
13069,0.0006
13071,-0.0388
13073,0.0117
13075,-0.0365
13077,-0.0064
13087,0.0469
13089,0.2071
13097,-0.0554
13103,-0.0961
13109,-0.0273
13113,-0.0049
13115,-0.0148
13117,0.0018
13121,0.1375
13123,0.0016
13127,-0.0013
13129,0.0269
13131,0.0123
13135,0.0855
13137,-0.0206
13139,0.0945
13151,0.0353
13153,-0.0143
13157,-0.0194
13161,-0.0304
13179,0.0230
13183,-0.0138
13185,-0.0534
13187,-0.0328
13195,-0.0354
13213,-0.0469
13215,0.0398
13217,-0.0348
13219,-0.0044
13223,-0.0615
13225,0.0230
13233,-0.0329
13241,0.0304
13245,-0.0082
13247,-0.0649
13255,0.0157
13261,-0.0581
13267,0.0535
13277,0.0530
13279,-0.0132
13285,-0.0178
13295,0.0104
13297,-0.0356
13299,0.0006
13305,-0.0570
13313,0.0195
15003,-0.0241
16001,-0.0244
16005,0.0620
16011,-0.0194
16013,-0.1022
16019,-0.0270
16027,0.0255
16031,0.0134
16039,-0.0293
16043,-0.0401
16045,-0.0438
16047,0.0471
16051,0.0092
16053,-0.0439
16055,-0.0393
16063,-0.0214
16067,0.0094
16073,-0.0590
16075,-0.0007
16077,-0.0134
16083,0.0147
16087,0.0209
17007,-0.1460
17011,0.0002
17017,-0.1416
17019,0.0318
17031,-0.1096
17037,-0.0779
17041,-0.1022
17043,-0.1047
17063,-0.0581
17073,-0.0663
17075,-0.0022
17077,0.0219
17089,-0.0826
17091,-0.0157
17093,-0.0901
17095,-0.0245
17097,-0.0421
17099,-0.0857
17111,-0.0970
17113,-0.0410
17115,-0.0233
17119,-0.0348
17141,-0.0639
17143,-0.0156
17161,-0.0793
17163,-0.0520
17167,-0.0240
17177,0.0485
17179,0.0130
17183,-0.0328
17187,-0.0219
17195,0.0623
17197,-0.0776
17201,-0.0605
18001,0.0445
18003,0.0068
18005,-0.0686
18011,-0.0418
18017,-0.0783
18019,0.0202
18023,-0.0310
18027,0.1084
18035,0.0046
18037,0.0458
18039,-0.0422
18043,0.0134
18053,-0.1085
18057,-0.0298
18063,-0.0341
18067,-0.0228
18071,0.1511
18073,0.0074
18081,-0.0484
18085,-0.0814
18087,0.0516
18089,0.0367
18091,-0.0271
18095,-0.0848
18097,-0.0251
18099,0.0332
18105,-0.0331
18107,-0.1284
18113,-0.0292
18127,-0.0013
18141,0.0388
18145,-0.0718
18157,-0.0352
18163,0.0194
18167,-0.0247
18181,-0.0334
19005,0.0433
19013,-0.0566
19021,0.0271
19033,0.0382
19045,0.0598
19047,-0.0509
19049,0.0036
19057,0.0494
19061,-0.0089
19069,-0.0083
19103,0.0390
19113,0.0204
19115,-0.0013
19127,0.0805
19139,-0.0369
19153,0.0831
19155,0.0235
19163,0.0270
19167,0.1341
19169,0.0340
19171,0.0333
19179,0.0146
19181,0.0661
19183,-0.0303
19187,0.0361
19193,-0.0113
19197,0.0166
20009,-0.0774
20015,-0.0073
20035,0.0470
20037,0.0231
20045,0.0017
20055,0.0297
20057,0.0043
20061,-0.0463
20067,0.0018
20079,0.0518
20091,0.0745
20103,-0.0953
20111,0.0502
20125,0.0395
20155,-0.0407
20159,0.1509
20161,0.0733
20169,-0.0413
20173,0.0921
20175,-0.0528
20177,0.0306
20189,0.0720
20209,-0.0329
21015,0.0642
21017,-0.0047
21047,-0.0031
21059,0.0054
21067,0.0882
21073,0.0368
21083,0.0933
21093,-0.0348
21111,0.0816
21117,0.0105
21151,0.0040
21185,0.0271
21209,0.0358
21211,0.0672
21227,0.0920
21239,0.0350
22005,-0.0265
22015,-0.0955
22017,0.0209
22019,-0.0245
22033,0.0819
22045,-0.0154
22051,0.1829
22055,0.0329
22057,-0.0134
22063,0.0213
22071,0.2096
22073,0.0517
22075,-0.0592
22079,0.0226
22087,-0.0466
22089,0.0020
22101,0.0900
22103,-0.0270
22105,0.0583
22109,0.0382
22111,-0.0197
22115,-0.0305
23005,-0.0235
23031,-0.0357
24003,0.0691
24005,0.0703
24009,-0.0650
24011,-0.0072
24013,-0.0069
24015,0.0112
24017,0.0665
24021,0.0800
24025,0.0393
24027,0.0271
24031,0.2129
24033,0.1448
24037,0.0737
24041,-0.0308
24043,-0.0117
24045,0.0293
24510,0.1059
25001,0.0644
25003,0.0196
25005,0.0938
25009,0.1027
25011,0.0694
25013,0.1426
25015,-0.0187
25017,0.0502
25021,0.0321
25023,0.0378
25025,0.0869
25027,0.0691
26005,-0.0138
26015,0.0170
26017,-0.0085
