id,h_coh
40015,0.1051
40017,0.1393
40019,0.0319
40021,0.1066
40027,0.0529
40031,0.0623
40037,0.1021
40039,0.0683
40047,0.0626
40049,0.1312
40051,0.1730
40065,0.1178
40071,0.0242
40073,0.1385
40079,0.1411
40085,0.1788
40087,0.1770
40089,0.1440
40095,0.1392
40101,0.1123
40109,0.0752
40115,0.1258
40119,0.2299
40121,0.1699
40123,0.1040
40125,0.0585
40131,0.0967
40135,0.0107
40137,0.1439
40139,0.0574
40141,0.2043
40143,0.0236
40147,0.0798
40153,0.0148
41003,0.0802
41005,0.0343
41007,0.0437
41009,0.0539
41011,0.0790
41013,0.1090
41017,0.0757
41019,-0.0211
41027,0.0628
41029,0.1122
41031,0.0817
41033,0.0434
41035,0.0970
41039,0.0310
41041,0.0279
41043,0.0503
41045,0.0086
41047,-0.0147
41049,0.0218
41051,0.0189
41053,0.0830
41057,-0.0662
41059,0.0410
41065,0.0964
41067,0.0570
41071,0.0951
42001,0.0599
42003,0.0096
42011,-0.0777
42017,0.0203
42025,0.0259
42029,0.0871
42041,0.0882
42043,0.0709
42045,-0.0108
42049,-0.0212
42055,0.1179
42069,-0.0581
42071,0.0740
42075,0.0520
42077,0.0173
42079,-0.1058
42081,0.0043
42089,0.0031
42091,0.0187
42095,0.0052
42097,0.0939
42101,-0.0621
42103,-0.1157
42107,-0.0476
42125,0.0745
42129,-0.0260
42133,0.0399
44003,0.0255
44005,0.0750
44007,0.0527
44009,0.0040
45003,-0.0393
45007,-0.0916
45013,0.0811
45015,-0.0128
45019,-0.0081
45021,0.0797
45025,0.0489
45035,0.0686
45041,-0.0398
45043,-0.0249
45045,0.0691
45047,0.0353
45051,0.0776
45053,-0.0616
45055,0.0127
45057,0.0051
45059,0.0070
45063,0.0009
45071,0.0531
45073,0.0350
45077,-0.0214
45079,0.0131
45081,-0.1090
45083,-0.0062
45085,-0.0793
45091,0.0290
46099,-0.0236
46103,0.0072
47003,0.1680
47009,0.0783
47011,0.0375
47031,0.2013
47033,0.1699
47037,0.1959
47063,0.1947
47065,0.1080
47089,0.1161
47093,0.0571
47105,0.1360
47107,0.1375
47113,0.1807
47117,0.1425
47119,0.0310
47123,0.2033
47125,0.1688
47141,0.0302
47147,0.1809
47149,0.1574
47155,0.0363
47157,0.1435
47163,0.1291
47165,0.2036
47177,0.1676
47179,0.2272
47187,0.2441
47189,0.1771
48001,0.0668
48003,-0.0740
48005,-0.0117
48007,0.0007
48013,-0.0136
48015,-0.0081
48017,-0.0617
48019,0.0336
48021,0.0264
48025,-0.0109
48027,0.0685
48029,0.0178
48031,0.0187
48035,0.1068
48037,0.0456
48039,-0.0091
48041,0.0476
48043,-0.0020
48047,0.0396
48049,-0.0307
48051,0.0303
48053,0.0217
48055,-0.0740
48057,0.0026
48059,0.0368
48061,0.0590
48063,0.1602
48067,0.0049
48069,0.0525
48071,0.0426
48073,0.0426
48075,0.1042
48079,0.0736
48083,0.0970
48085,0.0642
48089,0.0665
48091,0.0720
48093,0.0202
48097,0.0363
48099,0.0143
48103,-0.0202
48105,-0.0605
48107,0.0204
48109,0.0508
48111,0.0274
48113,0.0038
48115,-0.0062
48117,0.1423
48121,0.0018
48123,0.0302
48127,-0.0719
48131,0.0328
48133,0.0580
48135,-0.0972
48137,-0.0304
48139,0.0690
48141,0.0506
48143,0.1301
48145,0.0439
48147,-0.0164
48149,0.0288
48153,0.0525
48157,0.0887
48159,0.1016
48161,0.0533
48163,-0.0122
48165,-0.0116
48167,0.0297
48169,-0.0612
48171,0.0775
48175,0.0093
48177,0.0276
48179,0.0284
48181,0.0480
48183,0.0500
48185,-0.0443
48187,0.0650
48189,0.0207
48195,0.0146
48199,0.0883
48201,0.0165
48203,0.0041
48207,0.0485
48209,0.0067
48211,0.1085
48213,0.0327
48215,0.0453
48217,0.0301
48219,0.0535
48221,0.0035
48223,0.0491
48225,0.0638
48227,-0.0116
48229,0.1778
48231,0.0442
48233,0.0898
48237,-0.0692
48239,0.0499
48241,-0.0240
48245,0.0027
48247,-0.0205
48249,0.0051
48251,0.0553
48253,0.0105
48255,-0.0795
48257,0.0276
48259,0.0748
48265,0.0083
48271,0.1054
48273,0.0780
48275,0.0265
48277,0.0694
48279,0.0608
48281,0.0609
48283,0.1086
48285,0.0791
48287,0.0270
48289,0.1078
48291,0.1176
48293,-0.0750
48295,0.0257
48297,0.0356
48299,-0.0327
48303,0.0344
48305,0.0522
48307,0.0442
48309,0.0265
48313,0.0025
48317,0.0044
48321,0.0151
48323,0.0449
48325,0.0231
48329,-0.0105
48331,0.0421
48335,0.0118
48337,0.0576
48339,0.0416
48341,0.0041
48347,0.0227
48349,-0.0500
48353,-0.0264
48355,0.0151
48357,0.0808
48361,0.0236
48363,0.0282
48365,0.1619
48367,0.0153
48369,0.0414
48371,0.0572
48373,-0.0209
48375,0.0683
48377,0.0368
48381,0.0589
48383,0.0021
48389,0.0339
48391,0.0412
48395,-0.0084
48397,0.0929
48399,-0.0374
48401,0.1115
48407,0.0255
48409,0.0357
48411,0.2870
48413,0.0023
48415,0.0062
48419,-0.0535
48421,-0.0043
48423,0.0197
48425,0.0196
48427,0.0023
48429,0.0736
48435,0.2075
48437,-0.0719
48439,0.0602
48441,0.0012
48445,-0.0011
48449,-0.0093
48451,-0.0133
48453,0.0711
48455,0.0048
48459,0.0372
48461,-0.0457
48463,-0.0106
48465,-0.0147
48467,0.0195
48469,-0.0790
48471,-0.1006
48473,0.0154
48475,-0.1037
48477,0.0058
48479,0.1066
48481,-0.0079
48483,0.1612
48485,-0.0191
48487,0.0598
48489,0.0281
48491,0.0337
48493,0.0765
48495,0.0286
48497,0.0680
48499,0.0614
48501,-0.0002
48503,0.0658
48505,0.0231
48507,-0.0027
49003,0.0949
49005,0.0321
49007,0.0820
49011,0.1270
49021,-0.0032
49027,0.0142
49035,0.0723
49039,-0.0509
49043,0.0806
49045,0.0920
49047,0.0300
49049,0.1051
49051,0.0542
49053,0.1440
49057,0.1613
50007,-0.0250
51001,0.0039
51013,0.1261
51015,0.0221
51041,0.0460
51047,0.0371
51059,-0.0105
51061,-0.0112
51085,-0.0084
51087,-0.0376
51089,0.0573
51095,0.0018
51107,0.1054
51149,0.0998
51153,0.0602
51161,0.0639
51171,-0.0364
51177,0.0338
51179,0.0710
51199,0.0485
51510,0.0346
51540,-0.0277
51550,0.0180
51630,0.0984
51640,0.0696
51650,0.0685
51660,-0.0105
51683,0.1158
51685,-0.0158
51700,0.0340
51710,0.0829
51740,0.0639
51760,-0.0668
51770,0.1327
51800,0.0129
51810,0.1292
51820,-0.0344
51840,0.0535
53001,0.1083
53005,0.0675
53007,-0.0328
53011,0.1346
53015,0.0317
53017,0.0700
53021,0.1522
53025,0.0591
53027,0.0858
53033,0.1431
53035,0.1424
53041,0.1117
53045,0.0857
53047,0.0310
53053,0.1684
53057,0.1453
53061,0.1859
53063,0.0991
53067,0.1412
53071,0.0115
53073,0.1625
53077,0.0839
54003,0.0260
54037,0.0329
55009,-0.0898
55019,0.0340
55021,0.0708
55025,0.0023
55027,0.0834
55035,0.0802
55039,0.0973
55055,0.0543
55059,0.0264
55063,0.0156
55071,0.0803
55073,-0.0000
55079,0.0600
55081,0.0459
55087,0.0592
55089,0.0345
55097,-0.0261
55101,-0.0705
55105,0.0496
55109,0.0802
55111,0.0226
55117,-0.0185
55121,0.1382
55127,0.0767
55131,0.0498
55133,0.0527
55135,0.0189
55137,0.0822
55139,0.0388
55141,0.0612
56001,0.0291
56003,0.0257
56005,-0.0191
56007,0.0726
56013,-0.0303
56015,0.0496
56021,0.0143
56025,0.0555
56029,0.0461
56037,0.1272
56039,0.0459
56041,0.0144
56043,0.0115
