id,np_avg
0200720,1.0349
0200770,0.3437
0200780,1.0830
0200862,-0.4838
0400001,1.4922
0400003,0.4991
0400004,1.1267
0400021,0.7620
0400023,-1.5214
0400026,0.6049
0400212,0.8621
0400295,0.2632
0400600,-0.2333
0400680,1.1513
0400790,0.3822
0400960,-0.0282
0401050,-1.3063
0401180,-0.5117
0401380,-0.5917
0401460,0.5072
0401500,0.0186
0401600,-0.2113
0401680,-1.3883
0401710,0.1798
0401760,1.9452
0401810,-2.9011
0401870,1.6846
0401940,-1.9834
0402250,-0.0510
0402320,0.0403
0402370,0.2647
0402400,0.3146
0402430,-0.9724
0402530,-0.5924
0402600,-0.4004
0402690,0.5952
0402860,0.5316
0402920,-0.3180
0403010,0.2847
0403040,0.7498
0403060,-0.2482
0403150,0.3423
0403200,-1.8117
0403240,-1.2730
0403290,-2.2951
0403400,1.0736
0403420,-0.0779
0403500,-0.5957
0403780,1.2038
0403820,0.4625
0403870,0.6252
0403950,-2.6835
0403990,0.0068
0404010,-0.5353
0404060,-1.2541
0404230,1.7386
0404280,1.1223
0404290,-0.2486
0404320,0.4581
0404380,0.9521
0404410,-1.1226
0404440,-0.1738
0404500,1.4788
0404570,-0.1541
0404630,0.7824
0404720,0.2120
0404770,-0.9741
0404970,1.0385
0405030,-0.6131
0405190,-0.1075
0405320,0.3684
0405460,-0.3711
0405530,0.4281
0405640,-0.8342
0405670,-0.2041
0405820,-0.1508
0405850,0.1524
0405880,0.9457
0405930,1.3423
0405980,-0.3399
0406070,0.4455
0406210,0.0345
0406250,1.0034
0406300,-0.0132
0406440,0.0205
0406580,0.8506
0406730,0.9994
0406740,-1.3600
0406810,1.1111
0406850,-0.7471
0406900,-0.6190
0406960,-4.0631
0407080,-1.7321
0407130,-0.1891
0407170,-0.1702
0407200,-2.3526
0407240,0.3283
0407300,0.6081
0407500,-0.2041
0407520,0.2014
0407570,1.8278
0407700,0.3147
0407750,1.1592
0407820,0.8847
0407890,-0.9407
0408020,0.7863
0408080,0.3429
0408170,-1.1115
0408230,-1.9028
0408280,1.6694
0408310,0.8191
0408410,0.8630
0408490,-0.8004
0408550,-1.1934
0408600,-0.0869
0408680,-2.2880
0408800,0.2484
0408820,-0.7678
0408850,1.7553
0409060,0.2090
0409190,0.5765
0409250,-0.3061
0409310,-0.6320
0409390,-0.7533
0409430,-2.3415
0409460,-0.9074
0409600,0.1547
0409733,0.5697
0500001,0.7307
0500006,0.5476
0500009,0.9337
0500012,0.4019
0500015,0.8007
0500016,-0.6788
0500017,0.5701
0500019,1.1209
0500023,1.1407
0500026,-0.6743
0500028,0.2549
0500029,1.0764
0500042,0.4922
0500043,1.0536
0500044,0.9070
0500045,0.2708
0500046,0.7319
0500047,0.5031
0500049,1.2887
0500067,0.7350
0500068,0.9562
0500070,0.3375
0500082,0.4209
0502250,0.3471
0502280,1.1463
0502430,1.1655
0502550,1.1709
0502580,0.1409
0502610,1.2826
0502700,0.4895
0502790,-0.0830
0502820,0.0223
0502880,0.4865
0502960,1.5060
0503030,0.9601
0503060,1.7054
0503090,1.2917
0503150,0.8802
0503240,1.3792
0503450,0.7717
0503640,0.5675
0503690,1.3431
0503710,1.3270
0503750,0.9875
0503960,0.8084
0504020,0.4282
0504050,1.0823
0504110,1.1269
0504170,0.4450
0504200,1.5224
0504370,0.1037
0504380,1.0981
0504410,1.6604
0504590,1.7836
0504680,1.3920
0504800,0.0519
0504890,1.2335
0504930,0.8776
0505340,0.5863
0505430,1.3693
0505470,0.4376
0505500,0.1734
0505580,0.1878
0505680,1.2066
