id,f_coh
0601332,-0.0061
0601339,0.0020
0601409,-0.0092
0601410,0.0857
0601415,0.0223
0601620,0.1364
0601680,0.0817
0601710,-0.1141
0601770,0.1397
0601860,0.1366
0601950,0.0681
0602100,-0.1183
0602160,0.0769
0602220,-0.1265
0602310,0.0802
0602360,0.0676
0602430,0.0371
0602450,0.0049
0602610,-0.0406
0602760,0.1302
0602850,-0.0162
0602970,0.0358
0603000,0.1252
0603060,0.1774
0603180,0.0063
0603270,0.0353
0603300,0.0718
0603420,0.0880
0603480,-0.0142
0603600,0.0768
0603630,0.0369
0603690,0.0336
0603840,-0.0071
0604020,-0.0636
0604080,-0.0113
0604110,0.0730
0604200,0.1149
0604230,-0.0038
0604260,0.0969
0604290,0.0311
0604350,0.0456
0604380,0.0127
0604440,0.0549
0604530,0.1395
0604620,0.0366
0604650,0.0148
0604740,0.1597
0604800,0.1679
0604830,0.1405
0605040,-0.0410
0605240,-0.0643
0605280,0.0851
0605580,0.0189
0605610,0.0578
0605670,0.2047
0605790,0.0090
0605880,0.0954
0605910,0.1269
0606030,0.0577
0606060,0.1790
0606090,0.1504
0606270,0.0622
0606330,0.1814
0606360,-0.0164
0606390,0.0332
0606450,0.0975
0606480,0.2465
0606570,-0.0375
0606750,0.1540
0606780,-0.0055
0606810,0.0272
0606870,0.0118
0606900,-0.0298
0606990,-0.0458
0607020,0.0634
0607140,0.0298
0607170,-0.0866
0607200,0.0478
0607440,0.1443
0607470,0.0334
0607500,0.1270
0607530,0.1316
0607560,0.0982
0607680,0.0028
0607740,0.0803
0607800,0.0437
0607900,0.0266
0607950,0.0590
0607970,-0.0198
0607980,0.0097
0608070,0.1043
0608130,0.0013
0608190,0.0519
0608250,0.0853
0608370,0.1033
0608460,0.0708
0608520,-0.0078
0608610,0.1113
0608760,0.0977
0608970,0.0898
0609030,0.0476
0609070,-0.0494
0609120,0.0127
0609330,-0.0592
0609390,0.0312
0609450,0.1008
0609480,0.0102
0609570,0.1633
0609620,0.0656
0609640,0.0715
0609690,-0.0772
0609780,-0.0562
0609850,0.0830
0609870,0.0826
0609940,0.0176
0609990,0.0255
0610050,0.1190
0610260,0.1765
0610290,0.1200
0610320,-0.0873
0610350,0.0410
0610380,-0.0049
0610440,0.1269
0610620,0.1104
0610710,0.1286
0610740,0.0942
0610770,-0.0144
0610890,0.0371
0611040,-0.0669
0611110,0.0516
0611220,0.1177
0611280,0.0307
0611460,0.1463
0611490,0.0281
0611520,0.1021
0611730,0.0550
0611760,0.0679
0611850,0.1122
0611910,0.0284
0611940,0.0765
0612030,-0.0185
0612090,0.1043
0612180,0.0691
0612210,0.1205
0612330,0.0725
0612630,-0.0122
0612690,-0.0273
0612750,0.1004
0612810,0.0170
