id,wb_avg
1201650,-3.9052
1201680,-2.9911
1201710,-3.1485
1201740,-2.9654
1201770,-3.8949
1201800,-3.6709
1201830,-3.7001
1201860,-4.1201
1201890,-3.8437
1201920,-3.6238
1201950,-4.0808
1201980,-3.2670
1202010,-3.9267
1202012,-4.5512
1202015,-3.5309
1300001,-3.5163
1300060,-3.8734
1300090,-4.2460
1300120,-0.9316
1300150,-3.8946
1300210,-4.1703
1300290,-4.2194
1300330,-4.3872
1300360,-4.0444
1300390,-4.1763
1300420,-3.3053
1300440,-3.3257
1300540,-4.0799
1300570,-4.0432
1300600,-3.3643
1300630,-3.4543
1300660,-4.0216
1300690,-4.1707
1300720,-2.8611
1300750,-4.0109
1300780,-3.9285
1300810,-4.0431
1300840,-4.2509
1300870,-2.5980
1300900,-3.3065
1300930,-4.3393
1300990,-3.8009
1301020,-3.3774
1301050,-4.1527
1301080,-4.6389
1301110,-4.1604
1301170,-2.0360
1301230,-5.0837
1301260,-3.8135
1301290,-3.1002
1301350,-4.0274
1301380,-3.5266
1301410,-4.0771
1301470,-3.9669
1301500,-3.7513
1301530,-4.5900
1301560,-3.6397
1301620,-3.2748
1301680,-2.3204
1301710,-3.6758
1301740,-1.7311
1301770,-3.8722
1301830,-3.4643
1301860,-4.3036
1301870,-3.1486
1301890,-3.7179
1301920,-3.5994
1301980,-4.0078
1302010,-3.7579
1302040,-3.8187
1302070,-4.1610
1302130,-3.9500
1302190,-4.0810
1302220,-4.0826
1302250,-3.8372
1302280,-2.1664
1302310,-2.3841
1302400,-3.1179
1302460,-4.0799
1302490,-3.6178
1302520,-4.1624
1302550,-3.5610
1302610,-3.7166
1302700,-3.8698
1302730,-3.8781
1302790,-3.7234
1302820,-4.6039
1302880,-3.7376
1302910,-3.9405
1302940,-4.0350
1302970,-4.1094
1303000,-3.9130
1303030,-3.2981
1303060,-3.8506
1303090,-4.0602
1303120,-3.5758
1303150,-4.2263
1303210,-4.3254
1303240,-4.2290
1303270,-4.1438
1303300,-4.3885
1303330,-3.6458
1303360,-4.4325
1303390,-4.0103
1303480,-3.9252
1303510,-2.7060
1303540,-3.9505
1303570,-3.9125
1303600,-4.4854
1303630,-4.2689
1303660,-3.8801
1303690,-4.2827
1303720,-3.8218
1303750,-4.5433
1303780,-3.2964
1303870,-3.3359
1303930,-4.3986
1303960,-3.2986
1303990,-3.4353
1304020,-4.5353
1304050,-3.6270
1304080,-4.2192
1304140,-3.9837
1304170,-3.9332
1304200,-4.1219
1304220,-3.5042
1304260,-4.3363
1304380,-4.0854
1304410,-4.5983
1304440,-2.8963
1304470,-3.7386
1304500,-3.6287
1304530,-3.6154
1304540,-3.7515
1304560,-3.8001
1304620,-4.1798
1304770,-3.8202
1304800,-3.9008
1304830,-3.5074
1304890,-3.8281
1304950,-2.3076
1304980,-3.3125
1305040,-4.2218
1305100,-3.9535
1305190,-4.0622
1305220,-4.6124
1305280,-4.2801
1305310,-3.1947
1305340,-2.8786
1305370,-4.2027
1305390,-3.9272
1305430,-4.1089
1305490,-3.8737
1305550,-3.7198
1305640,-3.9491
1305700,-4.5389
1305730,-3.4664
1305760,-4.2622
1305790,-4.3517
1305850,-3.9981
1500030,-4.1756
1600360,-2.2446
1602100,-3.3967
1602340,-3.8644
1700010,-3.7780
1700110,-3.5491
1703480,-4.3603
1703600,-3.6037
1703930,-4.1427
1704560,-4.1384
1704680,-3.8402
1704710,-2.7732
1704920,-3.4228
1705220,-2.7849
1705580,-3.8850
1705610,-3.6221
1705790,-3.8848
1706000,-4.5958
1706060,-4.0025
1706480,-2.8203
1706510,-3.8808
1706750,-3.4470
1707170,-3.9360
1708040,-4.5596
1708340,-2.9067
1708550,-2.7397
1709170,-4.2944
1709270,-4.5734
1709420,-2.0817
1709930,-2.4405
