id,b_avg
2307320,-2.5968
2309930,-1.9932
2400027,-1.3480
2400030,-0.8277
2400060,-0.6915
2400090,-1.8757
2400120,-0.7943
2400150,-0.3611
2400180,-0.9930
2400210,-0.3586
2400240,-1.4554
2400270,-0.6819
2400300,-2.0762
2400330,-0.6306
2400390,-0.6849
2400420,-0.1845
2400450,-2.0366
2400480,-0.4811
2400510,-1.0381
2400540,-1.0081
2400570,-0.9865
2400600,-1.0337
2400630,-1.8069
2400660,-1.0473
2400690,-1.4361
2400720,-0.2596
2501980,-0.5253
2502190,0.2143
2502310,-0.6606
2502790,-0.7104
2502940,0.9363
2503090,-0.9105
2503150,0.1832
2503240,0.3572
2503270,-0.0864
2503300,0.0945
2503540,-0.7993
2503660,-0.1260
2504050,0.0242
2504770,-0.3893
2504830,-0.9249
2504890,-0.3909
2504950,-0.2396
2504980,-0.6436
2505970,-0.4401
2506270,-1.5840
2506660,-0.1426
2506780,0.0390
2506840,0.7522
2507020,-0.4301
2507110,-0.4283
2507170,-0.3593
2507560,-0.7351
2507620,0.4799
2507740,-0.0158
2507980,0.2543
2508370,0.1375
2508430,-0.7683
2508610,0.1965
2509060,-0.1166
2509360,-0.3273
2509630,-0.6430
2509870,-0.8358
2509930,-0.9223
2510050,0.2140
2510380,-0.3533
2510620,0.5230
2510890,-0.9580
2511130,-0.7662
2511250,0.0924
2511520,-0.5435
2512000,-0.0977
2512060,-1.2695
2512270,-0.3728
2512840,-0.3785
2513200,0.5481
2513230,-0.4992
2600005,-2.5247
2600015,-2.3369
2600016,-1.5520
2601001,-3.9401
2601950,-1.9369
2602070,-1.9709
2602820,-1.1081
2603540,-2.2832
2603690,-0.9254
2604260,-2.2995
2604500,-2.7979
2604830,-2.8413
2605010,-0.7134
2605430,-0.8772
2605850,0.1872
2606090,-0.1412
2606780,-2.0901
2607230,-2.5582
2607890,-1.2800
2608070,-2.2207
2608430,-1.7185
2608580,-2.2713
2609570,-1.4426
2609840,-1.7057
2609930,-1.4739
2610080,-1.7561
2610590,-2.3807
2610620,-2.0096
2610980,-1.7589
2611600,-1.8690
2611610,-1.7024
2611640,-2.2784
2612000,-2.4365
2612150,-2.3016
2612450,-2.7823
2612600,-0.7267
2612930,-2.4290
2614070,-0.9650
2614280,-1.8689
2614460,-1.9337
2614520,-2.3890
2614550,-1.1666
2614610,-0.8651
2614820,-1.5251
2615540,-2.3067
2615870,-1.8978
2616110,-1.5028
2616350,-1.2169
2616410,-1.4327
2616440,-2.7807
2617520,-2.1507
2617760,-2.1698
2618030,-2.2605
2618330,-2.6492
2618420,-1.9537
2618480,-1.3778
2619140,-1.7099
2619620,-2.2538
2619950,-2.6036
2620070,-1.3049
2620160,-1.5993
2620280,-1.4029
2620340,-1.1343
2620730,-0.9118
2620850,-1.5284
2620880,-1.3268
2621120,-1.5807
2621150,-2.4176
2621570,-1.6395
2621600,-2.3424
2621840,-1.5008
2621870,-1.4378
2622290,-2.1436
2623460,-1.9103
2623850,0.0593
2624120,-1.7427
2624150,-2.1707
2624690,-2.0778
2624720,-1.9005
2624840,-2.5459
2624870,-3.2708
2625230,-1.3789
2625560,-0.9789
2625740,-0.8170
2625950,-2.2069
2625980,-0.5022
2626130,-0.5541
2626190,-2.3269
2626280,-0.2651
2626760,-2.2009
2628560,-0.7994
2628740,-2.6615
2628830,-2.2549
2628950,-1.2797
2629460,-2.3077
2629760,-3.2449
2629940,-0.2733
2630120,-1.3862
2630210,-2.2072
2630300,-1.5038
2630390,-2.5601
2630450,-1.6051
2632220,-1.8021
2632250,-0.8333
2632280,-1.8149
2632300,-1.4584
2632310,-1.4947
2632340,-1.8185
2632670,-1.0793
2633420,-2.0285
2633540,-2.0019
2633840,-2.0589
2634260,-0.2816
2634470,-1.0616
