id,wb_avg
17113,-2.9124
17115,-3.1083
17119,-3.3680
17121,-4.5162
17137,-2.7598
17143,-2.5428
17153,-3.7512
17157,-3.8495
17161,-3.1644
17163,-2.9333
17167,-2.9807
17177,-2.9317
17179,-3.7155
17183,-3.7943
17197,-3.5895
17199,-3.8475
17201,-2.7638
18003,-3.0476
18005,-3.8697
18019,-4.2082
18035,-3.5731
18039,-2.9904
18043,-3.7578
18053,-3.5907
18057,-3.7747
18059,-4.0174
18063,-3.9429
18067,-3.7427
18081,-4.1089
18089,-3.3007
18091,-3.3017
18095,-3.6272
18097,-3.5215
18105,-3.4865
18127,-3.7541
18141,-2.8909
18157,-3.2161
18163,-3.0129
18167,-3.9628
18177,-4.0725
19013,-2.6556
19033,-4.0551
19045,-3.7575
19049,-3.5008
19057,-3.0434
19061,-2.2639
19103,-1.7754
19113,-2.6671
19153,-2.4877
19155,-4.1973
19163,-2.5406
19169,-3.0072
19187,-3.5718
19193,-3.4942
20045,-3.5279
20061,-4.4475
20091,-3.3139
20103,-3.4423
20125,-3.3307
20155,-4.0509
20161,-3.6684
20169,-4.0405
20173,-3.0240
20177,-3.0985
20209,-3.7811
21009,-4.2473
21015,-4.0537
21017,-3.9381
21021,-3.4512
21037,-2.9881
21047,-3.9179
21049,-4.1782
21059,-3.8229
21067,-2.9383
21073,-4.4636
21075,-3.8403
21083,-3.5258
21093,-4.0176
21101,-4.1013
21107,-4.1650
21111,-3.3540
21113,-3.9799
21117,-3.4828
21141,-3.4321
21145,-3.1492
21151,-4.1423
21155,-4.4716
21161,-3.8374
21179,-3.8017
21185,-3.2416
21209,-3.6400
21211,-3.5515
21213,-4.0373
21219,-3.3605
21225,-4.3733
21227,-3.5088
22001,-3.5935
22003,-4.4530
22005,-3.3767
22007,-3.8708
22009,-3.7574
22011,-4.3777
22013,-3.7341
22015,-3.4035
22017,-3.0038
22019,-3.8740
22021,-4.4349
22025,-3.9775
22027,-4.0472
22029,-3.3165
22031,-3.4812
22033,-2.6262
22037,-3.6637
22039,-4.1924
22041,-4.0020
22043,-3.4858
22045,-4.1209
22047,-3.8520
22049,-3.8824
22051,-3.8522
22053,-4.1377
22055,-3.3495
22057,-3.7598
22059,-3.5555
22061,-2.8906
22063,-4.0590
22067,-3.9090
22069,-3.2978
22071,-1.5379
22073,-3.5181
22075,-4.0742
22077,-4.0971
22079,-3.5955
22081,-4.1214
22083,-3.6468
22085,-3.6724
22087,-4.1815
22089,-3.7559
22093,-3.6363
22095,-4.3371
22097,-4.0188
22099,-4.2065
22101,-3.9861
22103,-3.6445
22105,-3.6182
22109,-3.8644
22111,-3.8250
22113,-3.7357
22115,-4.6400
22117,-4.0318
22119,-3.5529
22121,-4.0825
22123,-3.7697
22125,-3.6192
22127,-3.7034
23001,-2.8604
23005,-2.7063
23019,-4.7452
23031,-4.4073
24001,-4.3484
24003,-3.1880
24005,-3.5020
24009,-3.6153
24011,-3.6422
24013,-3.8389
24015,-3.9787
24017,-3.6587
24019,-3.1434
24021,-3.5734
24025,-3.4638
24027,-3.0424
24029,-3.0749
24031,-2.5517
24033,-3.5388
24035,-3.3492
24037,-3.2401
24039,-4.1634
24041,-2.9177
24043,-3.7557
24045,-3.2134
24047,-2.9268
24510,-3.5123
