id,w_coh
1304560,-0.0534
1304620,-0.0601
1304770,0.1006
1304800,-0.0091
1304830,0.0874
1304890,-0.0259
1304950,0.0289
1304980,0.0011
1305040,0.0014
1305070,0.0368
1305100,-0.0066
1305130,0.0425
1305190,0.0403
1305220,0.0951
1305250,0.1029
1305280,0.0465
1305310,-0.0103
1305340,-0.0354
1305370,0.0066
1305390,0.0996
1305430,0.0946
1305490,-0.0239
1305550,0.0826
1305640,0.1197
1305670,0.0073
1305700,0.0661
1305730,0.0562
1305760,0.1235
1305790,0.0104
1305850,-0.0394
1500030,0.0709
1600001,-0.1224
1600002,-0.0048
1600009,0.1145
1600030,0.0192
1600060,-0.0489
1600139,0.0614
1600180,0.0214
1600240,0.0136
1600270,-0.0557
1600300,-0.0317
1600360,-0.0020
1600420,-0.0174
1600480,-0.0718
1600490,0.1059
1600510,-0.0727
1600600,0.0135
1600660,-0.0251
1600720,-0.0842
1600780,0.0716
1600810,-0.0282
1600930,-0.0034
1600960,0.0344
1601020,-0.0704
1601050,-0.0188
1601080,-0.1629
1601110,-0.0210
1601140,-0.0600
1601200,0.0600
1601260,-0.0609
1601290,0.0549
1601470,-0.0819
1601530,-0.0394
1601570,-0.0748
1601590,-0.0752
1601620,0.0252
1601650,0.0355
1601710,0.0231
1601770,-0.0158
1601800,0.0090
1601860,0.0215
1601920,-0.0120
1601950,0.0573
1601980,-0.0201
1602030,0.0785
1602070,0.0101
1602100,0.0839
1602130,0.0085
1602190,0.0494
1602220,0.0733
1602250,0.0022
1602340,-0.0085
1602370,-0.0129
1602460,-0.2136
1602490,-0.0773
1602520,0.0269
1602550,0.0646
1602580,-0.0423
1602640,0.0319
1602670,0.0627
1602700,-0.0974
1602790,-0.0146
1602850,-0.0595
1602910,-0.0533
1602940,0.1504
1602970,0.0026
1603000,-0.0435
1603060,-0.0754
1603090,-0.0384
1603180,0.0706
1603240,-0.0109
1603270,-0.1480
1603300,0.0431
1603330,0.0177
1603360,-0.1505
1603400,-0.0154
1603420,0.0630
1700001,0.1216
1700002,-0.0618
1700003,-0.0581
1700004,-0.0107
1700005,-0.0569
1700007,0.1059
1700009,0.0233
1700010,-0.0273
1700014,0.0262
1700041,-0.0034
1700044,-0.0375
1700045,-0.0171
1700077,0.0444
1700092,-0.0135
1700099,0.1542
1700105,-0.0782
1700106,0.0796
1700109,-0.0630
1700112,-0.0598
1700113,0.0514
1700114,0.0199
1700115,-0.1805
1700119,-0.0683
1700122,-0.0785
1700123,-0.0925
1700125,-0.0463
1700126,-0.0403
1700153,-0.1333
1700176,-0.0581
1700217,-0.1913
1700222,0.0745
1700223,-0.0125
1700310,-0.0779
1700314,-0.0738
1700319,-0.0946
1700320,-0.0248
1700321,0.0380
