id,b_grd
26145,0.8292
26147,0.9404
26149,0.9015
26159,0.9381
26161,0.9999
26163,0.8916
27003,0.9383
27013,0.8569
27019,0.8973
27037,0.8940
27053,0.8998
27067,0.9103
27099,0.9445
27109,0.8900
27123,0.8494
27131,0.6592
27137,0.7543
27139,0.9999
27141,1.0401
27145,0.6538
27147,0.9568
27163,1.0158
27171,1.0067
28001,0.8096
28003,0.8084
28005,1.0513
28007,0.8381
28009,1.0408
28011,0.8500
28013,0.9197
28015,0.9256
28017,1.0336
28019,0.9528
28021,0.7729
28023,0.8829
28025,0.8835
28027,0.8017
28029,0.7881
28031,0.9061
28033,0.9421
28035,1.0167
28037,0.9139
28039,1.0497
28041,0.9127
28043,1.0938
28045,0.9711
28047,0.9265
28049,0.7770
28051,0.8006
28053,0.6416
28059,0.9298
28061,0.9975
28063,0.8380
28065,0.9550
28067,0.8970
28069,0.9725
28071,0.9642
28073,0.9775
28075,0.9097
28077,0.8907
28079,0.9353
28081,0.9096
28083,0.8551
28085,0.7237
28087,0.7487
28089,0.9214
28091,0.9545
28093,1.0629
28095,0.8689
28097,1.0154
28099,0.9333
28101,0.7559
28103,0.7491
28105,0.8263
28107,1.0248
28109,1.0107
28111,0.8070
28113,0.9367
28115,0.9107
28117,0.8676
28119,1.0115
28121,1.0218
28123,0.8203
28125,0.6854
28127,1.0048
28129,0.9739
28131,0.8779
28133,0.9929
28135,0.9528
28137,0.8713
28139,0.7857
28143,0.7935
28145,0.8033
28147,0.8967
28149,0.9053
28151,0.8902
28153,0.7450
28155,1.1370
28157,0.8895
28159,0.8619
28161,0.9745
28163,0.9721
29019,0.8470
29021,0.8208
29023,0.7678
29031,0.6795
29037,0.9226
29047,0.8407
29051,0.6506
29069,0.5139
29077,0.8952
29095,0.8919
29097,0.7856
29099,0.8090
29101,1.0578
29127,0.7554
29133,0.8421
29143,0.6989
29155,0.6284
29165,0.8470
29169,0.8731
29183,0.9756
29189,0.8606
29201,0.7784
29510,0.9401
30013,0.9296
30111,0.9058
31055,0.8851
31109,0.8574
31153,1.1173
32003,0.8514
32031,0.9449
33011,0.9175
34001,0.9245
34003,0.8876
34005,0.9529
34007,0.9561
34009,0.9570
34011,0.9904
34013,0.9045
34015,0.9954
34017,0.9183
34019,0.9431
34021,0.9814
34023,0.9215
34025,0.9763
34027,1.0311
34029,0.8580
34031,0.9945
34033,0.9217
34035,1.0187
34037,1.0014
34039,0.9228
34041,0.9605
35001,0.9795
35009,0.9966
35013,0.9992
35025,0.9182
35035,0.9616
35043,0.9061
36001,0.7681
36007,0.8134
36011,0.8168
36013,0.7362
36015,0.7120
36027,0.7926
36029,0.8303
36045,0.8488
36055,0.6990
36059,0.7506
36061,0.8633
36063,0.7252
36065,0.6251
36067,0.6897
36069,0.7891
36071,0.8548
36083,0.7888
36087,0.8144
36091,0.9467
36093,0.7002
36103,0.8296
36105,0.7959
36109,0.8636
36111,0.7776
36117,0.8395
36119,0.6536
37001,0.8076
37007,0.7227
37013,0.7531
37015,0.8444
37017,0.7433
37019,0.7609
37021,0.8617
37023,0.8612
37025,0.8906
37027,0.8790
37031,0.8396
37033,0.6924
37035,0.8616
37037,0.9098
37041,0.9424
37045,0.7022
37047,0.9157
37049,0.8883
37051,0.8247
37057,0.8577
37059,0.8834
37061,0.7820
37063,0.8364
37065,0.8074
37067,0.7658
37069,0.8144
37071,0.8232
37073,0.8202
37077,0.8783
37079,0.8202
37081,0.8092
37083,0.8423
37085,0.8827
37089,0.8591
37091,0.7633
37093,0.8839
37097,0.8310
37101,0.8268
37103,0.9806
37105,0.8010
37107,0.7948
37109,1.0021
37117,0.8678
37119,0.8910
37123,0.7684
37125,0.8537
37127,0.7329
37129,0.8733
