id,wh_coh
0625470,-0.0367
0625530,-0.0003
0625690,-0.0026
0625770,0.0506
0625800,-0.0161
0625830,-0.0180
0625860,-0.0091
0625980,-0.0655
0626100,0.0672
0626220,-0.0056
0626280,0.0557
0626370,0.0527
0626490,0.0256
0626640,-0.0064
0626910,-0.0229
0627060,0.0911
0627180,0.0338
0627200,-0.0056
0627240,-0.0380
0627450,-0.0414
0627480,0.0120
0627590,-0.0816
0627690,-0.0192
0627720,-0.0535
0627780,-0.0513
0627810,-0.0478
0627840,-0.0507
0628050,-0.0064
0628080,-0.0063
0628140,0.0035
0628250,-0.0247
0628270,0.0053
0628320,0.0146
0628470,0.0062
0628650,-0.0024
0628710,-0.0510
0628950,-0.0430
0629100,-0.0615
0629220,-0.0051
0629370,0.0110
0629490,0.0065
0629540,0.0031
0629550,-0.0020
0629580,-0.0337
0629610,-0.0816
0629640,-0.0068
0629700,-0.0605
0629820,0.0303
0629940,0.0205
0630030,-0.0208
0630180,0.0097
0630230,-0.0604
0630250,-0.0565
0630360,-0.0251
0630450,-0.0670
0630510,-0.0380
0630660,-0.0456
0630780,-0.0108
0630990,-0.0440
0631180,-0.0343
0631320,-0.0913
0631530,0.0099
0631710,0.0196
0631980,-0.0522
0632040,0.0022
0632070,0.0154
0632130,-0.0337
0632310,-0.0043
0632370,0.0058
0632550,0.1157
0632610,-0.0414
0632640,-0.0131
0632710,0.0211
0632760,0.0422
0632880,-0.0183
0633110,-0.0072
0633150,-0.0267
0633240,-0.0219
0633390,-0.0204
0633480,-0.0453
0633600,-0.0404
0633840,0.0456
0633860,0.0063
0633900,-0.0160
0633930,-0.0815
0634170,-0.0677
0634230,0.0416
0634290,-0.0050
0634320,0.1179
0634410,0.1590
0634425,0.0298
0634440,0.0112
0634590,0.0163
0634620,0.0070
0634710,-0.0628
0634740,0.0072
0634800,-0.0321
0634880,0.0421
0634920,-0.0070
0635010,-0.0613
0635090,0.0293
0635130,-0.0322
0635250,0.0781
0635310,0.1008
0635360,-0.0061
0635430,0.0839
0635590,0.0169
0635600,-0.0305
0635700,0.0125
0635790,0.0169
0635810,0.0145
0635830,-0.0004
0635880,-0.0377
0635970,-0.0695
0636270,0.0277
0636800,-0.0195
0636820,0.0309
0636840,0.0038
0636970,0.0077
0636990,-0.1457
0637110,-0.0664
0637200,-0.0578
0637290,-0.0121
0637380,0.0351
0637500,-0.0740
0637530,0.0259
0637620,-0.0518
0637710,0.0411
0637830,0.0740
0637890,0.0009
0637950,0.0450
0638010,-0.0713
0638220,-0.0706
0638340,0.0131
0638460,0.0100
0638670,-0.0401
0638700,0.0191
0638770,-0.0633
0638880,0.0201
0638980,-0.0591
0639000,-0.0057
0639420,-0.0360
0639630,0.0166
0639870,-0.0119
0640150,-0.0026
0640300,-0.0237
0640320,-0.0447
0640590,-0.0460
0640740,0.0032
0640980,0.0337
0641040,-0.0154
0641160,-0.0108
0641190,-0.0382
0641250,-0.0162
0641280,0.0135
0641580,0.0542
0641790,0.0155
0641880,-0.0456
0642000,-0.0654
0642120,-0.0371
0642140,0.0253
0642150,0.0468
0642330,-0.0300
0642450,-0.0667
0642510,-0.0304
0642710,-0.0675
0642810,0.0083
0642930,-0.0902
0643080,-0.0316
0643200,0.0207
0643470,-0.0241
0643560,0.0010
0684500,-0.0537
0691012,-0.0180
0691135,0.0214
0691136,-0.0739
0802340,0.0121
0802490,-0.0062
0802580,0.0094
0802910,0.0041
0803060,-0.0076
0803360,0.0374
0803450,-0.0287
0803990,-0.0394
0804350,-0.0435
0804410,-0.0659
0804800,0.0252
0805370,-0.0052
0806120,0.0234
0806900,-0.0020
0900060,-0.0797
0900070,-0.0006
0900270,-0.0457
0900420,-0.0233
0900450,-0.0519
0900510,-0.0666
0900700,-0.0629
0901020,-0.0580
0901110,0.0207
0901260,0.0056
0901290,-0.0113
0901470,-0.0267
0901530,-0.0424
0901620,-0.0729
0901710,-0.0653
0901770,0.0175
0901860,0.0777
0901920,0.0902
0902310,-0.0030
0902400,-0.0883
0902490,0.0281
0902520,-0.0151
0902640,-0.0317
0902670,-0.0900
0902790,-0.0612
0902820,0.0112
0902850,-0.0262
0902880,-0.0179
0902910,0.0043
0903090,0.0344
0903120,-0.0539
0903300,-0.0240
0904050,0.0135
0904170,0.0513
0904230,-0.0087
0904320,0.0197
0904440,0.0026
0904590,-0.0386
0904620,-0.0533
0904680,-0.0798
0904740,-0.0548
0904830,-0.0040
0904920,-0.0396
0904950,-0.0094
0905070,-0.0979
0905190,-0.0124
0905220,-0.0450
1000080,0.0077
1000170,-0.0367
1000180,-0.0287
1000190,0.0471
1000200,0.0632
1000230,-0.0272
1000680,0.0436
1001080,0.0036
1001240,-0.0207
1001300,0.0457
1001530,0.0593
1001620,0.0436
1001850,-0.0464
1100030,0.0307
1200090,0.0212
1200150,-0.0116
1200180,0.0119
1200240,-0.0989
1200270,-0.0393
1200300,-0.0282
1200330,0.0051
1200360,0.0053
1200390,0.0050
1200420,-0.0696
1200480,0.0298
1200510,0.0249
1200540,-0.0171
1200660,-0.0450
1200750,-0.0044
1200780,-0.0252
1200810,-0.0446
1200840,-0.0064
1200870,-0.0014
1200930,-0.0255
1201050,-0.0260
1201080,0.0017
1201110,0.0446
1201140,-0.0711
1201230,-0.0265
1201260,0.0010
1201290,-0.0181
1201320,-0.0331
1201350,0.0227
1201410,-0.0133
1201440,-0.0085
1201470,-0.0245
1201500,0.0261
1201530,-0.0137
1201560,-0.0254
