id,wh_grd
0617220,-0.1559
0617340,-0.0725
0617490,0.0286
0617850,-0.0918
0618030,-0.0416
0618210,-0.0333
0618840,-0.0205
0618870,-0.0434
0619140,-0.0257
0619260,-0.0372
0619320,-0.0510
0619440,-0.0315
0619490,-0.0575
0619620,0.0663
0619700,-0.0272
0619770,0.0167
0619800,-0.0542
0620070,-0.0270
0620130,0.0117
0620190,0.0208
0620250,-0.0426
0620310,0.0095
0620370,-0.0074
0620460,0.0173
0620640,-0.0453
0620670,0.0099
0620730,-0.0629
0620790,-0.0381
0620880,-0.0013
0621000,-0.0013
0621210,-0.0120
0621330,-0.0375
0621360,-0.0055
0621690,0.0117
0621810,-0.0540
0621930,-0.0156
0621990,-0.0128
0622050,-0.0641
0622110,0.0043
0622230,-0.0321
0622410,-0.0338
0622500,0.0402
0622560,0.0483
0622590,-0.0142
0622650,0.0232
0622710,0.0201
0622740,-0.0421
0622830,-0.0403
0623010,-0.0494
0623080,-0.0690
0623340,-0.0292
0623430,-0.1209
0623530,0.0522
0623610,-0.0184
0623940,-0.0781
0624000,-0.0636
0624030,-0.0270
0624090,-0.0344
0624180,-0.0287
0624360,-0.0905
0624500,0.0842
0624540,-0.0173
0624570,-0.0323
0624600,-0.0474
0624720,0.0205
0624750,-0.0831
0625130,-0.0474
0625230,-0.0137
0625320,0.0247
0625470,0.0814
0625530,-0.0924
0625690,0.0030
0625770,0.1597
0625800,0.0204
0625830,-0.0214
0625860,-0.0399
0625980,0.0203
0626100,0.0874
0626220,0.0113
0626280,0.0526
0626370,0.0651
0626490,0.0239
0626640,0.0001
0626910,0.0352
0627060,0.0355
0627180,0.0115
0627200,-0.0842
0627240,-0.0968
0627450,-0.0371
0627480,-0.0140
0627590,-0.2066
0627690,-0.0342
0627720,-0.0212
0627780,-0.0768
0627810,-0.0017
0628050,-0.0250
0628080,-0.0256
0628140,0.0505
0628250,-0.0186
0628270,0.0041
0628320,0.0465
0628470,-0.0295
0628650,-0.0250
0628710,-0.0591
0628950,0.0407
0629100,-0.0123
0629220,0.0073
0629370,0.0077
0629490,-0.0450
0629540,-0.0281
0629550,-0.0516
0629580,-0.0427
0629610,0.1058
0629640,0.0189
0629700,0.0170
0629820,0.0543
0629940,0.1146
0630030,-0.1000
0630180,0.0080
0630230,0.0800
0630360,-0.0705
0630450,-0.1389
0630510,-0.0198
0630600,-0.0073
0630660,-0.0457
0630780,-0.0123
0630990,-0.0010
0631180,-0.0366
0631320,-0.0843
0631530,0.0429
0631710,-0.0278
0631980,-0.0669
0632040,0.0036
0632070,0.0524
0632130,0.0411
0632310,-0.0104
0632370,0.0171
0632550,-0.0399
0632610,-0.0064
0632640,-0.0602
0632710,0.0086
0632760,0.0199
0632880,-0.0143
0633110,-0.0388
0633150,-0.0276
0633240,-0.0703
0633390,-0.0261
0633480,-0.0019
0633600,-0.0291
0633750,-0.0283
0633840,0.0500
0633860,-0.0332
0633900,-0.0436
0633930,-0.1059
0634170,-0.0776
0634230,0.0361
0634290,0.0186
0634320,0.1213
0634410,0.2455
0634425,-0.1060
0634440,0.0149
0634590,0.0432
0634620,0.0029
0634680,-0.0207
0634710,-0.1087
0634740,0.0270
0634800,0.0340
0634880,-0.0118
0634920,-0.0040
0635010,-0.0160
0635090,0.0886
0635130,0.0059
0635250,0.1068
0635310,0.3897
0635360,0.0890
0635430,0.1150
0635700,0.0226
0635790,0.0415
0635810,-0.0800
0635880,0.0047
0635970,-0.0783
0636270,0.0468
0636800,0.0023
0636820,0.0365
0636840,0.0061
0636970,-0.0831
0636990,-0.0256
0637200,-0.0484
0637290,0.0533
0637380,-0.0758
0637500,0.0792
0637530,0.0022
0637620,-0.0273
0637710,-0.0315
0637830,0.0866
0637890,-0.0340
0637950,0.0263
0638010,-0.0754
0638220,-0.0148
0638340,0.0509
0638460,0.1273
0638670,0.0045
0638700,-0.0661
0638770,0.0162
0638880,0.0404
0638980,-0.0116
0639000,-0.0787
0639420,0.0263
0639630,0.0114
0639870,-0.0203
0640150,-0.0980
0640300,0.0102
0640320,-0.0309
0640590,-0.0105
0640740,-0.0211
0640980,0.0189
0641040,-0.0601
0641160,-0.0233
0641190,-0.0284
0641250,0.0044
0641280,0.0356
0641580,0.0244
0641880,-0.0513
0642000,0.0088
0642120,-0.0109
0642140,0.0195
0642150,-0.0304
0642330,0.0375
0642450,-0.0757
0642710,-0.1183
0642810,-0.0219
0642930,-0.0935
0643080,-0.0052
0643200,0.0256
0643470,-0.0558
0643560,-0.0532
0684500,0.0435
0691012,0.0403
0691135,-0.0124
0691136,-0.0971
0801920,0.0016
0802340,0.0084
0802490,0.0696
0802580,0.0096
0802910,0.0309
0803060,0.0320
0803360,0.0850
0803450,-0.0339
0803540,0.0430
0803870,-0.0026
0803990,0.0379
0804080,0.0029
0804260,0.0365
0804350,0.0073
0804410,-0.0071
0804530,0.0386
0804800,0.1058
0805310,0.0380
0805370,0.1185
0805400,0.0021
0805790,-0.0183
0806120,-0.0103
0806150,-0.0689
0806240,0.0167
0806480,0.0212
0806900,0.0188
0807230,-0.0387
0900060,-0.0478
0900070,-0.0063
0900270,-0.0353
0900420,0.0285
0900450,-0.0416
0900510,-0.0701
0900700,0.1513
0901020,0.0037
0901110,0.0226
0901260,0.0200
0901290,-0.0615
0901470,-0.0006
0901530,-0.0220
0901620,-0.0292
0901710,0.0446
0901770,-0.0340
0901800,-0.0228
0901860,-0.0007
0901920,0.3122
0902310,0.0714
0902400,0.0247
0902490,0.0159
0902520,0.0365
0902640,-0.0033
0902670,0.0568
0902790,-0.0053
0902820,0.0984
0902850,-0.0267
0902880,0.0484
0903090,0.0814
0903120,0.0359
0903300,-0.0298
0903810,-0.0019
0904050,0.0450
0904170,0.0593
0904230,-0.0512
0904320,0.0555
0904440,0.0462
0904590,0.0267
0904620,-0.0344
0904680,-0.0399
0904740,-0.0544
0904830,0.0793
0904920,0.0129
0904950,-0.0047
0905040,-0.0402
0905070,-0.0555
0905190,0.0415
0905220,-0.0333
1000080,-0.0239
1000170,-0.0415
1000180,-0.0228
1000190,0.0346
1000200,0.1106
1000230,-0.0364
1000680,0.0017
1000790,-0.0521
1001080,0.0131
1001240,0.0321
1001300,0.0774
1001530,-0.1561
1001620,0.0704
1001850,-0.0524
1100030,0.2464
1200090,-0.0286
1200150,-0.0211
1200180,0.0206
1200240,-0.0227
1200270,-0.0544
1200300,-0.0123
1200330,0.0490
1200360,0.0430
1200390,0.0564
1200420,-0.0548
1200480,0.0486
1200510,0.0869
1200540,-0.0401
1200660,0.0077
1200750,0.0287
1200780,-0.0308
1200810,-0.0030
1200840,0.0306
1200870,0.0486
1200930,0.0660
1201050,-0.0306
1201080,0.0155
1201110,0.0194
1201140,-0.0714
1201230,0.0178
1201260,0.0283
1201290,0.0239
1201320,0.0656
1201350,-0.0785
1201410,-0.0519
1201440,0.0603
1201470,0.0481
1201500,0.0200
1201530,-0.0234
1201560,0.0051
1201590,-0.0097
1201620,-0.0716
1201650,0.0372
1201680,0.0369
1201710,0.0347
1201740,-0.0508
1201770,-0.0292
1201800,-0.0111
1201830,-0.0517
1201920,0.0219
1201980,-0.0429
1202012,0.0366
1300001,-0.0144
1300060,-0.0397
1300090,-0.0211
1300120,0.2019
1300290,0.0027
1300330,-0.0420
1300360,-0.0284
1300420,-0.0087
1300570,-0.0433
1300600,0.0874
1300630,-0.0094
1300720,-0.0436
1300780,-0.0055
1300810,0.0052
1300840,-0.0195
1300870,0.0552
1300900,0.0649
1300930,0.0250
1301020,0.0880
1301110,0.0154
1301170,0.0994
1301230,-0.0709
1301290,0.1078
1301350,0.0030
1301380,-0.0371
1301410,0.0121
1301470,-0.0400
1301500,-0.0034
1301620,0.0414
1301710,0.0533
1301740,0.1809
1301830,0.0852
1301860,-0.0567
1301980,-0.0952
1302010,0.0270
1302070,-0.0092
1302130,-0.0076
1302190,0.0320
1302220,0.0007
1302280,0.1431
1302310,0.0957
1302340,0.0052
1302400,-0.0025
1302430,0.0328
1302460,0.0168
1302520,0.0219
1302550,0.0831
1302580,-0.0223
1302610,0.0809
1302820,0.0372
1302880,-0.0153
1302940,-0.0306
1303000,-0.0257
1303300,0.0274
1303360,-0.0073
1303390,-0.0302
1303420,-0.0325
1303480,-0.0309
1303510,0.0719
1303840,-0.0436
1303870,0.0408
1303930,-0.0346
1303960,-0.0114
1304020,-0.0617
1304050,0.0306
1304200,-0.0264
1304260,-0.0012
1304320,0.0358
1304380,-0.0034
1304410,-0.0655
1304440,0.1077
1304620,-0.0575
1304770,0.0598
1304980,0.0548
1305040,-0.0482
1305370,-0.0046
1305390,-0.0378
1305430,0.0041
1305550,-0.0559
1305700,-0.0169
1500030,-0.0249
1600030,0.0458
1600060,-0.0326
1600270,0.0323
1600300,-0.1146
1600360,-0.0305
1600480,-0.0564
1600510,0.0036
1600600,0.0051
1600660,0.0080
