id,p_avg
0200240,-0.9102
0200390,-0.2871
0200480,-0.7426
0200485,-1.4586
0200510,-0.6441
0200525,-0.8355
0200570,-1.6896
0200600,-1.0115
0200610,-3.0782
0200625,-3.3147
0200660,0.1435
0200710,-3.4989
0200760,-2.9705
0200775,-3.0544
0200862,-1.6498
0400001,-0.2545
0400003,-0.8270
0400004,-0.5447
0400005,-2.6611
0400021,0.2375
0400023,-2.4432
0400026,-0.3402
0400212,-0.5486
0400295,-1.3129
0400520,-2.0486
0400600,-1.3806
0400680,-1.0204
0400790,-1.1993
0400840,-0.9378
0400910,-0.9128
0400960,-1.5347
0401000,-0.7958
0401050,-1.6515
0401080,-1.5903
0401180,-1.5965
0401380,-1.3928
0401460,-0.9651
0401500,-1.0062
0401600,-1.4408
0401680,-1.3444
0401710,-1.1488
0401760,0.1515
0401870,-0.8565
0401940,-2.4866
0402190,-0.8203
0402250,-1.1538
0402320,-1.9505
0402370,-1.1843
0402400,-0.6210
0402430,-1.6596
0402530,-1.8215
0402600,-1.8395
0402690,-0.9261
0402790,-2.1060
0402860,-1.8812
0402920,-1.3527
0403010,-0.6418
0403040,-1.0003
0403060,-1.3434
0403080,-2.0715
0403150,-0.4180
0403200,-2.1650
0403240,-1.8384
0403290,-1.9535
0403310,-2.8640
0403400,-0.2828
0403420,-1.8225
0403500,-1.7699
0403730,-2.5441
0403780,0.1140
0403820,-1.2952
0403870,-0.4261
0403950,-3.1184
0403960,-1.9884
0403990,-1.0402
0404010,-1.2746
0404060,-2.1784
0404230,-0.5627
0404280,-0.0346
0404290,-1.1812
0404320,-1.3199
0404380,-0.7079
0404410,-1.6497
0404440,-1.4128
0404500,-0.8007
0404570,-0.9790
0404630,-0.6658
0404720,-1.3375
0404770,-1.4663
0404820,-1.7571
0404970,-1.0095
0405030,-1.6152
0405190,-0.9719
0405320,-0.4780
0405400,-1.7178
0405430,-2.8364
0405460,-1.4443
0405530,-0.5572
0405640,-1.4718
0405670,-1.3025
0405820,-2.4254
0405850,-0.9487
0405880,-0.4049
0405930,-1.1016
0405980,-1.6804
0406070,-0.9134
0406120,-3.6083
0406210,-1.1534
0406250,-0.7751
0406300,-1.8161
0406360,-1.7691
0406440,-0.8476
0406580,-1.0177
0406730,-0.4439
0406740,-2.7799
0406780,-1.8305
0406810,-0.0929
0406850,-1.4654
0406870,-2.3968
0406960,-4.1319
0407020,-1.7361
0407080,-1.7269
0407130,-1.0691
0407170,-1.4887
0407200,-2.6706
0407240,-0.7465
0407300,-0.8609
0407520,-0.9567
0407570,-0.8258
0407700,-1.0174
0407750,-0.4845
0407820,-0.4201
0407890,-1.3602
0408080,-0.6712
0408130,-1.5673
0408170,-1.8274
0408230,-2.1194
0408280,-0.1822
0408310,-1.2712
0408410,0.0479
0408490,-1.3427
0408550,-1.8094
0408600,-1.0120
0408680,-1.9903
0408800,-1.7083
0408820,-1.4126
0408850,0.4519
0409060,-1.3252
0409090,-1.7731
0409160,-2.6612
0409190,-1.1139
0409250,-1.9058
0409310,-1.7354
0409390,-0.9586
0409430,-2.5730
0409460,-1.1660
0409600,-1.4881
0409733,-1.3401
0500001,-1.2250
0500006,-1.5552
0500009,-0.8060
0500012,-0.8656
0500015,-0.6558
0500016,-1.4139
0500017,-1.2315
0500019,-0.7283
