id,p_grd
1301200,0.8157
1301230,0.9076
1301260,0.8946
1301290,0.9572
1301350,0.9125
1301380,0.8696
1301410,0.9301
1301440,0.7756
1301470,0.9195
1301500,0.9750
1301530,0.8800
1301560,0.8259
1301590,0.9467
1301620,0.8452
1301650,0.9604
1301680,0.9640
1301710,0.7992
1301740,0.8537
1301770,0.7801
1301800,0.9042
1301830,0.8824
1301860,0.9146
1301870,0.8116
1301890,0.6776
1301920,0.9984
1301950,0.9450
1301980,0.9094
1302010,0.9455
1302040,0.8867
1302070,0.9966
1302100,0.9216
1302130,0.9509
1302190,0.8430
1302220,1.0250
1302250,0.7397
1302280,0.8229
1302310,0.9799
1302340,1.1984
1302370,0.9829
1302400,0.9685
1302430,1.0286
1302460,0.8745
1302490,0.9143
1302520,0.8202
1302550,0.9778
1302580,1.0247
1302610,0.9487
1302640,0.9115
1302670,1.0511
1302700,0.9254
1302730,0.9246
1302790,1.1862
1302820,0.8861
1302880,0.8647
1302910,0.7147
1302940,0.8573
1302970,0.8590
1303000,0.9511
1303030,1.0095
1303060,0.9730
1303090,0.7214
1303120,0.8703
1303150,0.9702
1303210,0.7548
1303240,0.9260
1303270,0.8802
1303300,0.8531
1303330,0.8640
1303360,0.8148
1303390,0.8810
1303420,0.8770
1303450,0.8850
1303480,0.8690
1303510,0.8556
1303540,0.8237
1303570,0.8264
1303600,0.8686
1303630,0.7636
1303660,1.0751
1303690,1.0848
1303720,0.8552
1303750,0.8177
1303780,0.7323
1303840,0.8155
1303870,0.8933
1303930,0.9175
1303960,0.8503
1303990,1.0524
1304020,0.8931
1304050,0.9818
1304080,0.9835
1304110,0.8644
1304140,0.9087
1304170,0.8970
1304200,0.9480
1304220,0.9007
1304260,0.8332
1304290,0.7979
1304320,0.8643
1304350,0.6882
1304380,0.8964
1304410,0.8571
1304440,1.0815
1304470,0.8979
1304500,0.8927
1304530,1.0191
1304540,0.9289
1304560,1.0003
1304590,0.8933
1304620,0.8129
1304650,0.9758
1304770,1.0691
1304800,0.7998
1304830,0.9771
1304860,0.6922
1304890,0.8689
1304950,1.0016
1304980,0.9329
1305040,0.8257
1305070,1.0504
1305100,0.6908
1305130,1.0287
1305190,0.8217
1305220,0.9752
1305250,0.9098
1305280,0.8884
1305310,0.8482
1305340,0.9333
1305370,0.8915
1305390,0.9201
1305430,1.0473
1305460,0.9966
1305490,0.8312
1305550,0.8708
1305580,1.1807
1305640,0.8076
1305670,0.8643
1305700,0.9239
1305730,0.9290
1305760,0.9563
1305790,1.0895
1305850,0.9377
1500030,0.9532
1600001,0.9594
1600002,1.0213
1600030,1.0178
1600060,0.8907
1600139,1.0118
1600240,1.0060
1600270,0.7909
1600300,1.1263
1600360,0.9563
1600420,0.9264
1600480,1.0023
1600510,0.8813
1600600,0.9607
1600660,0.8697
1600780,0.9545
1600815,0.9898
1600930,0.9423
1600960,1.0414
1601020,1.0152
1601050,0.9527
1601080,0.9087
1601110,0.9393
1601140,0.8328
1601230,1.0394
1601260,1.0204
1601470,0.8674
1601530,1.0039
1601570,0.8784
1601590,0.8869
1601620,1.1236
1601650,0.9608
1601710,1.1105
1601770,1.0142
1601800,1.0460
1601830,0.8230
1601860,1.0107
1601920,0.7106
1601950,1.1152
1601980,1.0515
1602030,1.0707
1602070,0.9888
1602100,1.0718
1602130,0.7897
1602190,1.0109
1602220,0.9807
1602250,1.0161
1602340,0.9584
1602370,0.7798
1602460,0.8684
1602490,1.0175
1602520,0.9593
1602550,0.9216
1602580,0.8633
