id,m_avg
13309,-1.3357
13311,-0.0092
13313,-0.7883
13315,-1.2547
13317,-1.0625
13319,-1.1100
13321,-0.9940
15003,-0.6743
16001,0.3690
16003,-0.2419
16005,0.4033
16007,0.1388
16009,-0.2178
16011,-0.3996
16013,0.5748
16015,0.0791
16017,0.3833
16019,0.1422
16021,-0.3476
16023,-0.4683
16027,-0.3787
16029,0.1425
16031,-0.3294
16035,-0.4299
16037,-0.1762
16039,-0.5658
16041,-0.1447
16043,-0.4425
16045,-0.1603
16047,-0.9790
16049,-0.4186
16051,0.1602
16053,-0.7779
16055,0.6188
16057,0.4695
16059,0.1489
16061,-0.5200
16063,-1.0601
16065,0.9520
16067,-0.4731
16069,-0.1822
16071,-0.0273
16073,-0.5496
16075,-0.0063
16077,-0.6470
16079,-0.6988
16081,-1.0985
16083,-0.0838
16085,0.8888
16087,0.0767
17001,-0.6422
17003,-1.8853
17005,0.0183
17007,-0.4336
17009,-0.4397
17011,-0.6717
17013,0.2576
17015,-0.3967
17017,-1.5890
17019,-0.2215
17021,-0.3754
17023,0.0185
17025,-0.4379
17027,0.5314
17029,-0.0951
17031,-0.5132
17033,-0.5708
17035,-0.3174
17037,-0.0310
17039,-0.4788
17041,-0.3282
17043,1.0678
17045,-0.1806
17047,-0.4588
17049,0.2753
17051,-0.8776
17053,0.2724
17055,-1.0253
17057,-0.7850
17059,-0.7996
17061,-0.8269
17063,0.3497
17065,-0.4972
17067,-0.4289
17069,-1.3412
17071,-0.6042
17073,-0.1563
17075,0.2574
17077,-0.8406
17079,-0.0635
17081,-0.9658
17083,-0.1285
17085,0.1523
17087,-0.2985
17089,-0.0938
17091,-0.6298
17093,0.5586
17095,-0.4168
17097,0.4977
17099,-0.4367
17101,-0.3489
17103,-0.4184
17105,0.0939
17107,-0.3358
17109,0.0669
17111,0.4578
17113,0.4482
17115,-0.6859
17117,-0.2299
17119,-0.4107
17121,-0.8052
17123,0.2694
17125,-0.4418
17127,0.1335
17129,-0.2658
17131,0.0611
17133,0.9539
17135,-0.6114
17137,-0.2990
17139,0.0358
17141,0.1094
17143,-0.4587
17145,-0.6512
17147,0.3600
17149,-0.8092
17151,-1.1550
17153,-2.2604
17155,-0.1337
17157,-0.7890
17159,-0.3370
17161,-0.9659
17163,-0.4757
17165,-1.1715
17167,-0.3719
17169,-0.5437
17171,-0.5286
17173,0.2442
17175,0.1498
17177,-0.5792
17179,0.1846
17181,-0.8151
17183,-1.0992
17185,-0.3974
17187,-0.8470
17189,-0.2300
17191,-0.0034
17193,-0.4519
17195,-0.0398
17197,-0.0470
17199,-0.2877
17201,-0.8442
17203,0.5913
18001,0.6989
18003,0.1099
18005,0.2950
18007,0.0888
18009,0.1575
18011,1.3647
18013,0.4276
18015,0.4614
18017,-0.2214
18019,-0.1251
18021,0.2937
18023,-0.2786
18025,0.6309
18027,0.3602
18029,0.2796
18031,0.5905
18033,0.2524
18035,0.0807
18037,1.0269
18039,-0.1343
18041,0.3215
18043,0.4455
18045,-0.1673
18047,0.4323
18049,0.2953
18051,0.5014
18053,-0.1355
18055,0.1447
18057,1.7300
18059,0.4883
18061,0.5658
18063,1.3360
18065,0.2066
18067,0.0446
18069,0.4952
18071,-0.0758
18073,0.3551
18075,0.6588
18077,-0.1885
18079,0.2376
18081,0.8766
18083,0.0311
18085,0.3553
18087,0.2107
18089,-0.3019
18091,0.1772
18093,-0.1594
18095,-0.1509
18097,-0.4521
18099,0.4301
18101,0.1477
18103,0.1270
18105,0.7192
18107,0.3825
18109,0.2827
18111,0.1514
18113,-0.1024
18115,-0.3688
18117,0.2311
18119,0.0934
18121,-0.3078
18123,0.8011
18125,0.1543
18127,0.8803
18129,0.7715
18131,0.5721
18133,0.1022
18135,0.0761
18137,0.4862
18139,0.2186
18141,-0.0041
18143,-0.2343
18145,0.6311
18147,1.1139
