id,np_coh
0405880,0.1006
0405930,0.1006
0405980,-0.0309
0406070,0.0294
0406210,0.0099
0406250,0.1175
0406300,0.2621
0406440,0.1066
0406580,0.0729
0406730,0.0143
0406810,0.1393
0406900,0.1404
0407080,0.0464
0407130,0.1089
0407170,0.2539
0407200,0.2080
0407240,0.1460
0407300,0.0498
0407520,-0.0673
0407570,0.0553
0407700,0.0231
0407750,0.0979
0407820,0.1870
0407890,-0.0547
0408020,0.2021
0408080,0.0171
0408170,0.0648
0408280,0.0362
0408310,0.0665
0408410,0.0406
0408490,0.0736
0408550,-0.0490
0408680,0.1302
0408800,0.1400
0408820,0.0249
0408850,0.0637
0409060,0.1196
0409190,0.0895
0409250,0.1062
0409430,0.0115
0409460,-0.0202
0409600,0.1512
0409733,-0.0738
0500001,0.0447
0500006,-0.0962
0500009,-0.0129
0500012,0.0268
0500015,-0.0332
0500016,-0.2700
0500017,-0.0868
0500019,-0.0771
0500023,0.0673
0500026,0.1444
0500028,-0.1906
0500029,0.0551
0500043,-0.0480
0500044,0.0312
0500045,0.0113
0500046,0.1002
0500047,-0.0979
0500049,-0.0063
0500067,-0.0606
0500068,0.0472
0500082,-0.1226
0502250,0.0563
0502430,0.0034
0502580,-0.0496
0502610,-0.0447
0502700,-0.1191
0502790,0.0002
0502880,-0.0374
0502960,0.0130
0503030,-0.1673
0503060,-0.0202
0503090,-0.0542
0503150,-0.0349
0503240,0.0898
0503450,-0.0745
0503640,0.1669
0503690,0.0069
0503710,-0.0425
0503750,-0.0183
0503960,0.1390
0504020,-0.1120
0504050,-0.0249
0504110,0.0886
0504200,-0.0908
0504380,-0.1056
0504410,0.0945
0504590,-0.0377
0504800,0.1324
0504930,-0.0851
0505430,0.0665
0505500,-0.0814
0505680,-0.1444
0505760,-0.1270
0506060,-0.0159
0506090,-0.0332
0506120,0.0723
0506150,-0.0547
0506330,0.0385
0506360,0.0128
0506420,0.1232
0506540,-0.0152
0506630,-0.0764
0506690,0.0705
0506840,0.0682
0506900,0.1000
0506930,0.0050
0506990,-0.0016
0507290,0.0230
0507320,0.0872
0507380,0.0141
0507560,-0.0547
0507770,-0.0262
0507840,-0.0345
0507860,-0.0173
0507890,-0.0481
0507990,0.0206
0508130,-0.0373
0508280,0.0046
0508400,-0.0963
0508610,-0.0818
0508670,-0.0496
0508700,-0.0418
0508730,-0.0118
0508940,0.0882
0509000,-0.0119
0509060,-0.1047
0509190,0.0399
0509240,-0.1081
0509330,-0.0182
0509390,-0.1378
0509540,0.0481
0509630,-0.0950
0509720,-0.0485
0509750,-0.0798
0509840,-0.0688
0510200,-0.0535
0510380,-0.0215
0510440,-0.0490
0510680,-0.1009
0510980,0.0456
0511010,-0.0233
0511070,0.0965
0511130,-0.0227
0511220,-0.0569
0511340,0.0781
0511370,-0.1408
0511610,-0.0249
0511700,0.0577
0511760,-0.0793
0511850,0.0631
0511880,0.0713
0511970,-0.0015
0512000,-0.0711
0512060,-0.0626
0512210,0.0335
0512450,0.0052
0512510,0.0567
0512520,-0.0538
0512540,-0.0092
0512630,-0.0049
0512660,0.0345
0512960,0.0212
0513080,-0.0146
0513110,0.0236
0513230,-0.0290
0513350,-0.0311
0513380,0.0213
0513410,0.0107
0513530,-0.0492
0513680,0.0473
0513930,-0.1415
0514010,-0.0847
0514140,0.0485
0514400,-0.1023
0514430,-0.0698
0600001,0.0553
0600006,0.0949
0600013,0.0864
0600014,-0.0178
0600015,0.1616
0600016,0.0353
0600017,0.0341
0600019,0.2753
0600020,0.1408
0600021,0.1392
0600025,0.0267
0600026,0.0539
0600027,0.0451
0600028,0.0767
0600029,0.0940
0600032,0.1125
0600034,-0.0329
0600036,0.0757
0600037,-0.1029
0600039,-0.0359
0600043,0.0561
0600044,0.1162
0600045,-0.0104
0600046,0.0803
0600047,0.0343
0600048,0.0466
0600051,0.0879
0600052,-0.0331
0600060,0.0386
0600061,0.0079
0600062,-0.0340
0600063,0.1172
0600064,0.0198
0600065,0.0400
0600068,0.0400
0600069,0.0525
0600153,0.1607
0600158,0.0186
0600160,0.1161
0601331,0.0323
0601332,0.0366
0601409,0.0549
0601410,0.0499
0601620,0.1109
0601680,0.1102
0601710,-0.1618
0601770,0.1056
0601860,0.1045
0601950,0.1480
0602100,-0.0799
0602160,0.0431
0602310,0.2248
0602430,0.1014
0602450,-0.0121
0602610,0.0206
0602760,0.1582
0602850,0.0978
0602970,0.0300
0603000,0.0594
0603060,0.1502
0603300,0.0482
0603420,0.1870
0603480,-0.0047
0603600,0.0842
0603630,0.1216
0603690,-0.0542
0603840,-0.1275
0604020,0.0587
0604080,0.0278
0604110,0.1768
0604230,0.0621
0604260,0.1195
0604290,0.0394
0604380,-0.0389
0604440,0.0805
0604530,0.1520
0604620,0.0387
0604650,0.0064
0604740,0.1455
0604800,0.1636
0604830,0.1115
0605240,-0.0719
0605280,0.0928
0605580,0.0110
0605610,0.0753
0605670,0.1543
0605790,-0.0263
0605880,0.1021
0605910,0.1217
0606060,0.2268
0606090,0.0831
0606270,0.0436
0606330,0.2407
0606360,-0.0343
0606390,-0.0009
0606450,0.1039
0606480,0.2424
0606570,-0.0214
0606750,0.1719
0606780,0.0462
0606810,0.0534
0606870,0.0635
0606900,0.1325
0607140,0.0140
0607170,-0.1127
0607200,0.0792
0607440,0.1568
0607470,0.0319
0607500,0.1248
0607530,0.1399
0607560,0.0791
0607680,-0.0789
0607740,0.0867
0607800,0.0533
0607900,0.0443
0607950,0.0711
0607970,0.0313
0607980,-0.0036
0608070,0.0977
0608130,-0.0261
0608190,0.0675
0608370,0.1200
0608460,0.1042
0608520,-0.0040
0608610,0.1426
0608760,0.1044
0608970,-0.0004
0609030,0.0573
0609120,0.0107
0609270,0.0729
0609300,0.0638
0609330,-0.0601
0609390,0.1025
0609450,0.0421
0609480,-0.0054
0609570,0.1499
0609620,0.0697
0609640,0.0942
0609690,-0.0796
0609780,-0.1036
0609850,0.0922
0609870,0.0517
0609940,0.0198
0609990,0.0414
0610050,0.1496
0610260,0.2021
0610290,0.1073
0610320,-0.0320
0610380,0.0130
0610440,0.1257
0610620,0.0865
0610710,0.1515
0610740,0.1087
0610770,0.0163
0610890,0.0981
0611040,-0.0389
0611110,0.0605
0611220,0.1582
0611280,0.0016
0611460,0.1467
0611490,0.0297
0611520,0.1525
0611730,0.0620
0611850,0.1439
0611910,0.0455
0612030,0.0149
0612090,0.1066
0612180,0.1064
0612210,0.1401
0612330,0.0797
0612690,-0.0185
0612750,0.1024
0612810,0.0034
0612840,-0.0006
0612880,-0.0111
0612930,0.0321
0612960,0.1082
0613080,0.1278
0613140,0.0456
0613170,-0.0503
0613200,0.0605
0613360,0.0328
0613470,0.0866
0613500,0.1181
0613800,-0.0059
0613890,0.0761
0613920,-0.0452
0613980,-0.0156
0614010,0.0512
0614070,-0.0380
0614220,0.1375
0614250,0.0635
0614340,0.2353
0614370,0.2828
0614400,0.1586
0614520,0.0957
0614550,-0.1401
0614700,0.0469
0614730,0.0937
0614790,-0.0421
0614880,0.1350
0614940,0.1640
0614950,0.0283
0615180,0.0896
0615240,0.0700
0615270,0.0624
0615390,0.0276
0615450,-0.0158
0615510,0.0869
0615600,0.1723
0615690,0.1024
0615780,0.0788
0615840,0.1693
0616050,0.0045
0616080,0.2156
0616300,0.0259
0616323,-0.1415
0616325,-0.0106
0616470,0.0737
0616620,0.1750
0616650,0.0524
0616680,0.0443
0616740,0.0049
0616860,-0.0271
0616920,-0.0651
0617040,0.0500
0617160,0.0683
0617190,0.0641
0617220,-0.0595
0617340,0.0431
0617430,0.1953
0617490,0.1337
0617850,-0.0443
0618030,0.1808
0618210,0.0812
0618390,-0.0568
0618660,0.1079
0618730,0.0682
0618780,-0.1552
0618840,0.0398
0618870,0.1674
0618990,0.0996
0619140,0.0972
0619200,0.1295
0619260,0.0007
0619320,-0.0718
0619380,0.0731
0619440,-0.0044
0619490,0.0358
0619590,0.0463
0619620,0.2356
0619680,-0.0420
0619700,0.0678
0619770,0.2757
0619800,0.1070
0620040,0.0463
